Stock Name,,Atlantic cod - Gulf of Maine,Atlantic menhaden - Atlantic Coast,Atlantic wolffish - Gulf of Maine / Georges Bank,Haddock - Gulf of Maine,Pollock - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,Winter flounder - Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine
Stock ID,,10508,11089,11562,10519,10515,10518,10028,10035
Assessment ID,,11716,12496,12525,12527,12537,12536,12534,12532
Assessment Year,,2021,2022,2022,2022,2022,2022,2022,2022
Assessment Month,,9,11,9,9,9,9,9,9
Parameter,Year,Catch,Catch,Catch,Catch,Catch,Catch,Catch,Catch
Description,,Total Catch,Predicted Total landings,Total Catch,Total Catch,Total Catch,Total Catch,Total Catch,Estimated Commercial Catch
Unit,,Metric Tons,Thousand Metric Tons,Metric Tons,Metric Tons,Metric Tons,Metric Tons,Metric Tons,Metric Tons
,1935,,,,,,,,
,1936,,,,,,,,
,1937,,,,,,,,
,1938,,,,,,,,
,1939,,,,,,,,
,1940,,,,,,,,
,1941,,,,,,,,
,1942,,,,,,,,
,1943,,,,,,,,
,1944,,,,,,,,
,1945,,,,,,,,
,1946,,,,,,,,
,1947,,,,,,,,
,1948,,,,,,,,
,1949,,,,,,,,
,1950,,,,,,,,
,1951,,,,,,,,
,1952,,,,,,,,
,1953,,,,,,,,
,1954,,,,,,,,
,1955,,656.5233154,,,,,,
,1956,,735.303894,,,,,,
,1957,,629.4885864,,,,,,
,1958,,527.0769043,,,,,,
,1959,,682.1287231,,,,,,
,1960,,551.1011963,,,10401,,,
,1961,,603.0717773,,,8220,,,
,1962,,567.4421997,,,6151,3262,,
,1963,,372.4631042,,,6241,3792,,
,1964,,290.8114014,,,9004,3063,,
,1965,,298.4338989,,,8987,2735,,
,1966,,234.6351929,,,9908,1631,,
,1967,,206.1286011,,,8477,1275,,
,1968,,245.6884003,116.3899994,,5152,1280,,
,1969,,173.1381073,165.0299988,,9836,1381,,
,1970,,281.6987,155.6999969,,11555,1859,,
,1971,,264.7301025,173.0599976,,14319,2636,,
,1972,,378.4092102,246.5399933,,12995,3023,,
,1973,,363.8216858,245.6999969,,13080,3189,,
,1974,,307.7056885,356.1000061,,12014,3850,,
,1975,,272.5332947,314.5700073,,13482,3714,,
,1976,,360.3059998,405.0899963,,12731,4156,,
,1977,,364.0067139,393.9899902,3256.100098,15516,5022,,
,1978,,369.7185059,606.4500122,5023.5,21512,4901,,
,1979,,388.0349121,663.9000244,4387.600098,17645,4096,,
,1980,,426.8775024,837.6099854,6520.600098,22201,4868,,
,1981,,403.8557129,680.4099731,6282.299805,26414,5982,,
,1982,17534,402.2876892,848.1900024,6933.600098,23697,6178,7953,
,1983,17988,438.2697144,1129.23999,7656.600098,22584,6408,4441,
,1984,14457,341.0983887,967.2299805,4164.5,21676,6756,4162,
,1985,18101,351.9071045,955.1400146,3083.199951,23737,7370,5788,1326
,1986,14686,274.7164001,861.4699707,1941.599976,25900,6390,3563,1572
,1987,14307,363.8309937,779.8200073,907.9000244,20805,5828,3322,1624
,1988,12143,363.7366943,545.5300293,444.2000122,16022,4786,2506,1630
,1989,15284,354.4143066,552.2199707,302.8999939,12423,4554,3334,1555
,1990,21932,433.3298035,450.6700134,468.7999878,10214,4931,1812,4461
,1991,21375,417.9281921,500.75,446.3999939,8611,5607,1271,2251
,1992,13023,338.4124146,472.8500061,321.3999939,8114,8444,1076,1746
,1993,11178,362.2940979,525.3400269,206.6999969,6195,7466,937,932
,1994,9775,295.6047058,490.3900146,185.6999969,4696,4737,708,1352
,1995,8445,379.2435913,491.9200134,448.3999939,4596,4324,843,1515
,1996,8014,329.0390015,373.0799866,339.6000061,3910,3281,756,1512
,1997,6015,299.7531128,333.7999878,1064.699951,5229,2223,751,1686
,1998,4894,285.1401978,313.9500122,985.7999878,7243,2366,758,1621
,1999,3878,206.7254028,267.0899963,601.2000122,6090,2621,443,1452
,2000,6581,201.0514069,216.7899933,1111.900024,5182,2984,640,2587
,2001,8600,269.5184937,267.3900146,1205.900024,6177,3482,825,2620
,2002,7142,211.7904053,167.4299927,1276.599976,5483,3266,780,2157
,2003,6686,200.2783966,156.4499969,1373.400024,6074,4435,784,1970
,2004,7005,215.3108063,133.0299988,1413.800049,6986,3511,674,1186
,2005,7088,192.5572968,132.1000061,1734.199951,7455,2670,368,997
,2006,4264,186.9459991,98.48999786,1118.699951,7280,1700,260,620
,2007,5966,218.4597015,81.58000183,1879.199951,9673,1529,324,633
,2008,8303,189.9904938,70.34999847,1550,15569,1333,506,699
,2009,9485,184.1891022,47.61000061,1348.699951,9855,1696,471,639
,2010,9100,226.8692932,4.769999981,1294.900024,10858,1808,268,633
,2011,8007,227.9335022,5.75,925.9000244,13764,2897,389,758
,2012,4204,226.2234039,2.789999962,1059.699951,10356,2770,426,1092
,2013,2723,168.8623047,1.580000043,1277,13384,2235,288,676
,2014,1806,174.2201996,1.25,1409.900024,8613,1906,315,475
,2015,420,191.1092987,1.320000052,1512.400024,6138,1641,271,351
,2016,850,188.4358978,0.879999995,3406.300049,5226,1369,240,368
,2017,1177,177.3381042,2.329999924,4894.100098,6597,2024,378,365
,2018,766,193.5106964,2.519999981,3709.899902,4772,2009,243,271
,2019,497,210.0677032,2.75999999,4542.100098,4265,1976,150,228
,2020,,186.1544037,2.450000048,4858.299805,5231,1990,134,192
,2021,,197.7545929,2.349999905,4602.399902,4522,1869,168,365
,2022,,,,,,,,
