Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1950,3.26,2.07,3.53,3.26,0.71,2.4,1.05,5.17,1.33,2.44,7.75,4.81,37.78
1951,2.44,3.37,5.18,6.38,2.58,1.59,6.06,3.3,2.81,3.84,6.64,4.79,48.98
1952,4.38,4.94,1.28,2.51,3.48,3.09,0.47,2.59,3.05,2.64,1.92,5.35,35.7
1953,4.08,3.84,9.71,3.34,2.93,3.19,2.79,2.31,2.73,4.68,4.75,4.24,48.59
1954,3.2,4.3,2.31,3.58,5.62,6.83,3.26,4.89,8.78,3.36,4.55,4.96,55.64
1955,1.22,5.21,3.32,1.78,3.31,2.26,1.4,5.96,1.16,4.56,3.42,1.08,34.68
1956,4.56,2.35,4.43,3.41,2.95,1.85,4.29,4.13,2.51,2.48,3.42,2.67,39.05
1957,2.12,0.9,1.62,2.27,2.98,3.77,3.71,0.78,1.34,1.7,6.01,4.5,31.7
1958,6.66,2.78,3.4,5.8,3.24,2.09,6.01,3.21,3.34,5.13,3.87,1.56,47.09
1959,3,1.64,3.76,2.48,1.62,5.64,2.54,3.26,2.19,6.99,6.59,3.41,43.12
1960,3.64,5.7,2.46,3.5,5.3,2.52,6.88,2.42,3.87,4.56,4.33,4.12,49.3
1961,1.64,2.98,2.6,5.49,4.22,2.74,3.43,1.67,4.33,1.72,5.47,2.83,39.12
1962,2.48,1.38,1.35,4.54,2.26,1.78,2.81,2.53,3.32,6.89,4.64,4.74,38.72
1963,3.07,3.71,3.68,2.93,3.78,0.58,3.61,4.61,1.7,2.15,10.5,1.39,41.71
1964,3.9,1.7,2.98,3.21,1.59,1.76,4.62,3.53,1.32,3.02,4.41,3,35.04
1965,1.33,4.85,0.59,2.82,1.16,2,1.51,3.11,2.03,3.7,4.48,1.37,28.95
1966,5,2.38,4.18,0.92,2.56,2.87,1.4,2.88,3.12,4.56,7.26,2.86,39.99
1967,1.43,3.48,1.95,3.66,3.74,4.15,3.22,3.28,4.29,2.26,2.57,4.33,38.36
1968,2.68,1.67,3.66,3.82,3.79,4.78,2.21,1.79,1.53,2.87,5.13,4.76,38.69
1969,3.22,5.02,2.88,3.48,2.88,3.64,4.59,3.14,4.43,1.92,7.04,10.36,52.6
1970,0.74,6.03,3.13,4.08,5.01,3.2,1.65,2.68,2.93,4.88,3.37,3.35,41.05
1971,2.18,4.24,1.85,1.43,3.99,2.69,3.98,3.58,3,2.79,2.21,2.23,34.17
1972,1.79,4.22,6.67,2.7,3.15,6.39,2.63,1.84,4.09,5.05,5.16,4.52,48.21
