"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1950/01/01","00:00","12.73","NaN","9.98","5.02","5.03","0.079","NaN","-2.572","0"
"1950/02/01","00:00","11.929","NaN","10.18","5.18","5.157","0.138","NaN","-1.67","0"
"1950/03/01","00:00","NaN","NaN","10.098","4.97","4.97","-0.161","NaN","NaN","0"
"1950/04/01","00:00","12.73","NaN","10.469","5.18","5.2","-0.082","NaN","-2.671","0"
"1950/05/01","00:00","12.73","NaN","10.39","5.089","5.098","-0.19","NaN","-2.972","0"
"1950/06/01","00:00","12.828","NaN","10.43","5.24","5.249","0.059","NaN","-2.47","0"
"1950/07/01","00:00","12.428","NaN","10.42","5.23","5.23","0.049","NaN","-1.87","0"
"1950/08/01","00:00","11.827","NaN","10.44","5.269","5.269","0.108","NaN","-1.371","0"
"1950/09/01","00:00","12.73","NaN","10.63","5.41","5.41","0.2","NaN","-1.47","0"
"1950/10/01","00:00","13.33","NaN","10.479","5.39","5.39","0.289","NaN","-2.07","0"
"1950/11/01","00:00","13.33","NaN","10.64","5.558","5.548","0.459","NaN","-2.372","0"
"1950/12/01","00:00","13.73","NaN","10.587","5.44","5.43","0.269","NaN","-1.87","0"
"1951/01/01","00:00","13.33","NaN","10.367","5.23","5.21","0.049","NaN","-1.972","0"
"1951/02/01","00:00","13.228","NaN","10.348","5.108","5.098","-0.151","NaN","-2.172","0"
"1951/03/01","00:00","12.628","NaN","10.758","5.509","5.489","0.23","NaN","-1.772","0"
"1951/04/01","00:00","12.228","NaN","10.63","5.377","5.39","0.138","NaN","-2.372","0"
"1951/05/01","00:00","13.228","NaN","10.699","5.489","5.479","0.259","NaN","-1.87","0"
"1951/06/01","00:00","13.228","NaN","10.669","5.469","5.479","0.289","NaN","-2.07","0"
"1951/07/01","00:00","13.428","NaN","10.499","5.41","5.41","0.328","NaN","-1.87","0"
"1951/08/01","00:00","13.028","NaN","10.469","5.43","5.43","0.39","NaN","-1.772","0"
"1951/09/01","00:00","12.329","NaN","10.479","5.42","5.43","0.367","NaN","-1.171","0"
"1951/10/01","00:00","12.73","NaN","10.577","5.42","5.43","0.289","NaN","-1.47","0"
"1951/11/01","00:00","12.93","NaN","10.587","5.469","5.479","0.358","NaN","-1.87","0"
"1951/12/01","00:00","13.33","NaN","10.568","5.338","5.328","0.098","NaN","-2.172","0"
"1952/01/01","00:00","13.428","NaN","10.679","5.377","5.39","0.108","NaN","-2.671","0"
"1952/02/01","00:00","13.33","NaN","10.738","5.538","5.528","0.328","NaN","-1.87","0"
"1952/03/01","00:00","12.428","NaN","10.679","5.39","5.41","0.128","NaN","-1.772","0"
"1952/04/01","00:00","11.929","NaN","10.558","5.348","5.367","0.167","NaN","-1.772","0"
"1952/05/01","00:00","12.628","NaN","10.748","5.64","5.65","0.558","NaN","-1.07","0"
"1952/06/01","00:00","13.13","NaN","10.768","5.587","5.577","0.39","NaN","-1.371","0"
"1952/07/01","00:00","12.628","NaN","10.489","5.358","5.348","0.21","NaN","-2.27","0"
"1952/08/01","00:00","12.828","NaN","10.459","5.348","5.328","0.21","NaN","-2.27","0"
"1952/09/01","00:00","12.73","NaN","10.538","5.338","5.328","0.128","NaN","-2.07","0"
"1952/10/01","00:00","12.628","NaN","10.587","5.358","5.358","0.128","NaN","-2.47","0"
"1952/11/01","00:00","12.628","NaN","10.61","5.41","5.41","0.2","NaN","-1.47","0"
"1952/12/01","00:00","12.73","NaN","10.758","5.6","5.61","0.459","NaN","-1.772","0"
"1953/01/01","00:00","13.33","NaN","10.768","5.64","5.62","0.479","NaN","-2.372","0"
"1953/02/01","00:00","14.327","NaN","10.43","5.269","5.259","0.098","NaN","-2.07","0"
"1953/03/01","00:00","13.13","NaN","10.65","5.39","5.42","0.18","NaN","-2.372","0"
"1953/04/01","00:00","13.428","NaN","10.768","5.509","5.518","0.259","NaN","-2.07","0"
"1953/05/01","00:00","12.628","NaN","10.699","5.499","5.509","0.318","NaN","-1.772","0"
"1953/06/01","00:00","12.329","NaN","10.65","5.41","5.42","0.19","NaN","-1.371","0"
"1953/07/01","00:00","12.329","NaN","10.659","5.358","5.367","0.079","NaN","-1.67","0"
"1953/08/01","00:00","12.73","NaN","10.699","5.459","5.449","0.2","NaN","-1.772","0"
"1953/09/01","00:00","12.73","NaN","10.748","5.43","5.42","0.079","NaN","-2.671","0"
"1953/10/01","00:00","13.53","NaN","10.528","5.367","5.338","0.157","NaN","-2.172","0"
"1953/11/01","00:00","12.73","NaN","10.6","5.41","5.4","0.2","NaN","-1.972","0"
"1953/12/01","00:00","12.73","NaN","10.528","5.42","5.4","0.279","NaN","-1.47","0"
"1954/01/01","00:00","13.13","NaN","10.528","5.43","5.449","0.367","NaN","-1.572","0"
"1954/02/01","00:00","13.33","NaN","10.669","5.42","5.459","0.259","NaN","-1.371","0"
"1954/03/01","00:00","12.329","NaN","10.548","5.41","5.41","0.269","NaN","-1.972","0"
"1954/04/01","00:00","12.628","NaN","10.528","5.23","5.259","0","NaN","-2.972","0"
"1954/05/01","00:00","13.428","NaN","11.01","5.6","5.64","0.259","NaN","-2.07","0"
"1954/06/01","00:00","13.228","NaN","10.82","5.528","5.528","0.24","NaN","-1.972","0"
"1954/07/01","00:00","12.129","NaN","10.709","5.449","5.459","0.21","NaN","-1.772","0"
"1954/08/01","00:00","11.929","NaN","10.64","5.44","5.44","0.24","NaN","-1.27","0"
"1954/09/01","00:00","12.628","NaN","10.758","5.449","5.42","0.069","NaN","-2.07","0"
"1954/10/01","00:00","13.33","NaN","10.699","5.479","5.459","0.21","NaN","-2.172","0"
"1954/11/01","00:00","12.73","NaN","10.62","5.39","5.358","0.108","NaN","-2.871","0"
"1954/12/01","00:00","13.428","NaN","10.709","5.41","5.4","0.079","NaN","-2.27","0"
"1955/01/01","00:00","13.228","NaN","10.889","5.577","5.587","0.289","NaN","-1.572","0"
"1955/02/01","00:00","12.73","NaN","10.568","5.2","5.21","-0.141","NaN","-1.67","0"
"1955/03/01","00:00","13.829","NaN","10.65","5.4","5.377","0.108","NaN","-1.972","0"
"1955/04/01","00:00","13.428","NaN","10.988","5.568","5.577","0.167","NaN","-1.87","0"
"1955/05/01","00:00","13.13","NaN","10.869","5.568","5.548","0.24","NaN","-2.372","0"
"1955/06/01","00:00","13.33","NaN","10.869","5.577","5.568","0.279","NaN","-2.07","0"
"1955/07/01","00:00","12.93","NaN","10.659","5.469","5.469","0.269","NaN","-1.972","0"
"1955/08/01","00:00","12.628","NaN","10.719","5.469","5.459","0.2","NaN","-1.772","0"
"1955/09/01","00:00","11.729","NaN","10.509","5.24","5.249","-0.02","NaN","-1.371","0"
"1955/10/01","00:00","12.73","NaN","10.778","5.489","5.479","0.18","NaN","-1.572","0"
"1955/11/01","00:00","13.33","NaN","10.82","5.509","5.499","0.18","NaN","-3.271","0"
"1955/12/01","00:00","13.228","NaN","10.518","5.079","5.089","-0.351","NaN","-2.671","0"
"1956/01/01","00:00","12.93","NaN","10.968","5.449","5.469","-0.03","NaN","-2.772","0"
"1956/02/01","00:00","12.93","NaN","10.577","5.24","5.22","-0.141","NaN","-2.972","0"
"1956/03/01","00:00","13.53","NaN","10.81","5.41","5.43","0.039","NaN","-1.572","0"
"1956/04/01","00:00","12.628","NaN","10.84","5.489","5.499","0.157","NaN","-1.47","0"
"1956/05/01","00:00","12.628","NaN","10.499","5.308","5.308","0.108","NaN","-1.972","0"
"1956/06/01","00:00","13.028","NaN","10.738","5.449","5.449","0.157","NaN","-2.07","0"
"1956/07/01","00:00","13.428","NaN","10.83","5.499","5.479","0.128","NaN","-1.972","0"
"1956/08/01","00:00","13.228","NaN","10.879","5.528","5.509","0.138","NaN","-2.172","0"
"1956/09/01","00:00","12.53","NaN","10.728","5.4","5.4","0.069","NaN","-1.87","0"
"1956/10/01","00:00","12.73","NaN","10.64","5.308","5.289","-0.072","NaN","-1.572","0"
"1956/11/01","00:00","12.228","NaN","10.787","5.479","5.469","0.157","NaN","-1.772","0"
"1956/12/01","00:00","12.828","NaN","10.568","5.308","5.318","0.069","NaN","-2.871","0"
"1957/01/01","00:00","NaN","NaN","10.41","5.148","5.157","-0.092","NaN","NaN","0"
"1957/02/01","00:00","13.33","NaN","10.568","5.279","5.259","-0.052","NaN","-2.27","0"
"1957/03/01","00:00","12.828","NaN","10.81","5.469","5.489","0.167","NaN","-2.172","0"
"1957/04/01","00:00","12.628","NaN","10.577","5.249","5.259","-0.062","NaN","-2.372","0"
"1957/05/01","00:00","12.329","NaN","10.778","5.479","5.469","0.157","NaN","-1.772","0"
"1957/06/01","00:00","13.13","NaN","10.778","5.459","5.459","0.138","NaN","-1.47","0"
"1957/07/01","00:00","13.13","NaN","10.997","5.518","5.538","0.079","NaN","-2.172","0"
"1957/08/01","00:00","12.828","NaN","10.797","5.358","5.358","-0.082","NaN","-2.172","0"
