Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1950,5.45,2.83,2.7,4.66,0.54,2.36,1.59,2.89,1.5,2.72,11.4,7.39,46.03
1951,4.24,5.48,5.4,5.72,3.45,1.85,8.03,3.12,2.32,5.3,10.44,6.4,61.75
1952,7.05,5.98,2.69,2.46,4.09,3.41,0.35,3.51,3.34,2.15,3.11,4.43,42.57
1953,6.57,4.76,10.59,5.8,3.09,3.04,4.91,2.44,3.98,6.23,5.22,6.12,62.75
1954,3.97,3.88,4.93,3.97,6.63,2.63,2.02,5.12,10.57,5.21,5.65,6.98,61.56
1955,1.52,7.86,5.63,2.46,2.04,3.34,1.14,4.6,2.34,3.16,6.73,1.18,42
1956,5.25,3.13,3.84,3.44,3.14,1.22,4.83,2.35,4.34,4.02,4.17,5.02,44.75
1957,2.65,1.45,3.21,2.93,2.39,2.3,2.58,2.38,1.96,2.12,5.13,5.63,34.73
1958,8.97,2.63,2.48,5.87,4.25,2.67,8.71,4.59,3.55,6.63,6.48,2.04,58.87
1959,4.17,2.63,4.76,3.04,1.47,6.71,2.98,3.29,3.69,8.66,8.51,4.67,54.58
1960,4.03,7.42,2.53,3.54,7.14,3.38,3.87,2.24,4.04,3.46,4.07,7.05,52.77
1961,2.58,3.55,3.37,5.66,6.46,3.03,4.97,1.39,4.37,3.57,7.73,5.46,52.14
1962,3.69,1.98,1.5,5.57,1.58,2.51,2.35,1.9,4.85,6.99,7.45,6.69,47.06
1963,3.92,4.26,4.09,2.53,5.97,1.08,1.98,3.74,2.64,3.98,10.06,2.38,46.63
1964,5.82,2.24,M,3.54,1.38,2.54,2.41,3.94,1.62,3.38,3.43,4.49,M
1965,1.26,M,0.25,3.5,1.64,1.48,0.32,1.4,2.24,6.13,4.76,3.05,M
1966,4.03,3.25,3.79,0.7,2.76,2.85,2.24,3.1,3.21,4.01,8.06,3.45,41.45
1967,1.6,3.37,2.01,2.9,4.5,4.94,2.36,4.31,2.79,2.59,2.92,6.77,41.06
1968,4.69,1.85,4.24,2.66,4.98,3.76,0.81,1.79,1.59,2.97,8.06,6.95,44.35
1969,2.89,6.16,2.5,3.38,1.81,2.07,7.33,3.11,5.16,1.76,6.8,9.8,52.77
1970,0.85,6.12,2.51,3.96,3.19,3.06,0.78,4.6,2.6,5.38,3.02,4.37,40.44
1971,2.47,3.72,2.08,1.87,4.62,0.85,5.51,2.51,3.19,3.79,3.42,3.09,37.12
1972,2.28,5.33,9.95,3.51,4.04,7.22,2.46,1.06,6.03,5.16,6.9,7.63,61.57
1973,2.26,2.85,4.04,7.22,6.17,3.91,5.61,5.14,4.36,4.11,3.33,10.13,59.13
1974,2.83,3.55,5.26,5.36,6.51,3.95,2.33,3,5.89,1.44,5.5,4.54,50.16
1975,5.55,1.8,4.87,3.65,1.89,6.95,2.43,2.38,5.2,5.18,7.16,7.96,55.02
1976,M,3.99,3.01,4.77,5.26,2.53,5.12,2.85,1.05,6.95,1.97,4.67,M
1977,3.15,2.66,6.93,3.37,1.65,7.36,2.74,2.88,6.15,8.98,5.3,8.5,59.67
1978,8.42,1.45,3.44,3.7,3.12,2.91,1.16,1.38,0.94,5.57,2.05,2.62,36.76
1979,10.22,3.43,5.59,6.91,8.37,1.2,1.65,4.2,4.09,6.97,5.17,2.93,60.73
1980,1.82,1.29,5.66,6.75,1.95,2.97,5.82,1.24,4.78,4.33,M,2.36,M
1981,0.79,3.79,1.14,4.27,3.1,3.38,6.68,4.18,6.33,4.88,4.02,6.05,48.61
1982,4.91,3.09,2.12,5.28,1.65,4.82,2.68,2.93,1.59,1.69,5.59,1.58,37.93
1983,3.86,3.24,8.33,13.67,6.26,0.92,3.84,3.65,1.48,3.94,12.88,9.22,71.29
1984,3.09,6.31,8.2,4.15,7.11,6.68,2.62,2.4,1.16,3.02,2.04,3.88,50.66
1985,1.12,2.19,3.67,2.18,3.99,3.2,1.76,6.82,3.07,3.4,6.29,2.01,M
1986,4.82,M,M,3.98,3.86,2.54,4.37,6.25,3.11,1.64,4.03,4.48,M
1987,3.61,0.92,3.84,6.24,3.37,3.58,1.51,2,8.02,3.09,3.43,3.13,M
1988,M,3.82,2.03,3.18,3.22,2.09,4.47,5.17,1.62,4.12,7.75,1.15,M
1989,1.29,2.88,2.75,3.76,9.84,5.75,1.45,2.94,4.94,4.14,6.63,M,M
1990,2.87,2.11,2.06,3.95,6.37,4.21,4.42,2.62,2.72,7.07,3.47,5.81,47.68
1991,3.6,1.33,6.84,4.08,M,3.19,1.87,6.89,6.44,3.93,3.51,M,M
1992,7.31,4,3.89,2.77,0.29,3.15,2.82,2.8,2.38,3.62,M,2,M
1993,M,5.27,M,5.99,M,6.02,1.37,0.8,4.06,3.82,6.41,6.29,M
1994,5.86,M,5.18,2.45,4.45,3.74,2.71,3.34,9.16,3.88,4.59,4,M
