Year,Annual_CPI
1958,2.283333333
1959,1.991666667
1960,1.525
1961,1.125
1962,1.375
1963,1.275
1964,1.5
1965,1.441666667
1966,2.416666667
1967,3.475
1968,4.633333333
1969,5.808333333
1970,6.241666667
1971,4.708333333
1972,3.066666667
1973,3.491666667
1974,8.208333333
1975,9.291666667
1976,6.566666667
1977,6.258333333
1978,7.3
1979,9.716666667
1980,12.43333333
1981,10.48333333
1982,7.475
1983,3.933333333
1984,4.941666667
1985,4.375
1986,4.058333333
1987,4.125
1988,4.416666667
1989,4.516666667
1990,5.016666667
1991,4.9
1992,3.65
1993,3.308333333
1994,2.85
1995,2.991666667
1996,2.716666667
1997,2.391666667
1998,2.275
1999,2.083333333
2000,2.433333333
2001,2.658333333
2002,2.316666667
2003,1.45
2004,1.766666667
2005,2.166666667
2006,2.491666667
2007,2.325
2008,2.308333333
2009,1.691666667
2010,0.958333333
2011,1.666666667
2012,2.116666667
2013,1.758333333
2014,1.75
2015,1.825
2016,2.191666667
2017,1.85
2018,2.133333333
2019,2.2
2020,1.7
2021,3.575
2022,6.15
2023,4.775
2024,3.441666667
