GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,A00AA1930,A00AA1940,A00AA1950,A00AA1960,A00AA1970,A00AA1980,A00AA1990,A00AA2000,A00AA2010,A00AA2020
G2300010,Maine,23,230,Androscoggin County,1,10,71214,76679,83594,86312,91279,99657,105259,103793,107702,111139
G2300030,Maine,23,230,Aroostook County,3,30,87843,94436,96039,106064,92463,91331,86936,73938,71870,67105
G2300050,Maine,23,230,Cumberland County,5,50,134645,146000,169201,182751,192528,215789,243135,265612,281674,303069
G2300070,Maine,23,230,Franklin County,7,70,19941,19896,20682,20069,22444,27098,29008,29467,30768,29456
G2300090,Maine,23,230,Hancock County,9,90,30721,32422,32105,32293,34590,41781,46948,51791,54418,55478
G2300110,Maine,23,230,Kennebec County,11,110,70691,77231,83881,89150,95247,109889,115904,117114,122151,123642
G2300130,Maine,23,230,Knox County,13,130,27693,27191,28121,28575,29013,32941,36310,39618,39736,40607
G2300150,Maine,23,230,Lincoln County,15,150,15498,16294,18004,18497,20537,25691,30357,33616,34457,35237
G2300170,Maine,23,230,Oxford County,17,170,41483,42662,44221,44345,43457,48968,52602,54755,57833,57777
G2300190,Maine,23,230,Penobscot County,19,190,92379,97104,108198,126346,125393,137015,146601,144919,153923,152199
G2300210,Maine,23,230,Piscataquis County,21,210,18231,18467,18617,17379,16285,17634,18653,17235,17535,16800
G2300230,Maine,23,230,Sagadahoc County,23,230,16927,19123,20911,22793,23452,28795,33535,35214,35293,36699
G2300250,Maine,23,230,Somerset County,25,250,39111,38245,39785,39749,40597,45028,49767,50888,52228,50477
G2300270,Maine,23,230,Waldo County,27,270,20286,21159,21687,22632,23328,28414,33018,36280,38786,39607
G2300290,Maine,23,230,Washington County,29,290,37826,37767,35187,32908,29859,34963,35308,33941,32856,31095
G2300310,Maine,23,230,York County,31,310,72934,82550,93541,99402,111576,139666,164587,186742,197131,211972
