"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1950/01/01","00:00","21.302","NaN","17.703","9.212","9.123","0.554","NaN","-2.498","0"
"1950/02/01","00:00","20.603","NaN","17.932","9.343","9.251","0.583","NaN","-1.999","0"
"1950/03/01","00:00","20.901","NaN","17.903","9.153","9.084","0.262","NaN","-2.996","0"
"1950/04/01","00:00","21.804","NaN","18.283","9.284","9.202","0.134","NaN","-3.397","0"
"1950/05/01","00:00","21.804","NaN","18.244","9.123","9.084","-0.066","NaN","-3.997","0"
"1950/06/01","00:00","21.603","NaN","18.254","9.313","9.274","0.291","NaN","-3.196","0"
"1950/07/01","00:00","20.901","NaN","18.172","9.222","9.163","0.143","NaN","-2.498","0"
"1950/08/01","00:00","20.403","NaN","18.221","9.294","9.212","0.212","NaN","-1.799","0"
"1950/09/01","00:00","21.502","NaN","18.382","9.402","9.333","0.281","NaN","-2.396","0"
"1950/10/01","00:00","22.302","NaN","18.342","9.543","9.494","0.652","NaN","-2.596","0"
"1950/11/01","00:00","22.404","NaN","18.493","9.802","9.714","0.934","NaN","-2.996","0"
"1950/12/01","00:00","22.703","NaN","18.493","9.753","9.671","0.852","NaN","-2.498","0"
"1951/01/01","00:00","22.204","NaN","18.191","9.353","9.274","0.344","NaN","-2.796","0"
"1951/02/01","00:00","21.702","NaN","18.221","9.284","9.182","0.143","NaN","-2.898","0"
"1951/03/01","00:00","21.203","NaN","18.454","9.553","9.432","0.403","NaN","-2.297","0"
"1951/04/01","00:00","21.003","NaN","18.401","9.432","9.363","0.324","NaN","-3.098","0"
"1951/05/01","00:00","22.102","NaN","18.474","9.514","9.441","0.403","NaN","-2.698","0"
"1951/06/01","00:00","22.004","NaN","18.411","9.573","9.402","0.393","NaN","-2.996","0"
"1951/07/01","00:00","22.004","NaN","18.172","9.412","9.323","0.481","NaN","-2.898","0"
"1951/08/01","00:00","21.902","NaN","18.201","9.441","9.382","0.554","NaN","-2.396","0"
"1951/09/01","00:00","21.102","NaN","18.342","9.573","9.484","0.632","NaN","-1.897","0"
"1951/10/01","00:00","21.502","NaN","18.434","9.543","9.471","0.524","NaN","-1.799","0"
"1951/11/01","00:00","21.603","NaN","18.392","9.622","9.563","0.734","NaN","-2.396","0"
"1951/12/01","00:00","22.204","NaN","18.493","9.523","9.451","0.422","NaN","-2.898","0"
"1952/01/01","00:00","22.302","NaN","18.444","9.402","9.343","0.232","NaN","-3.698","0"
"1952/02/01","00:00","22.004","NaN","18.474","9.573","9.504","0.534","NaN","-2.996","0"
"1952/03/01","00:00","21.203","NaN","18.542","9.514","9.432","0.324","NaN","-2.596","0"
"1952/04/01","00:00","20.403","NaN","18.313","9.382","9.343","0.383","NaN","-2.297","0"
"1952/05/01","00:00","20.803","NaN","18.392","9.684","9.592","0.793","NaN","-1.697","0"
"1952/06/01","00:00","21.603","NaN","18.434","9.553","9.471","0.511","NaN","-2.199","0"
"1952/07/01","00:00","21.302","NaN","18.201","9.353","9.274","0.344","NaN","-3.196","0"
"1952/08/01","00:00","21.603","NaN","18.182","9.373","9.284","0.383","NaN","-3.098","0"
"1952/09/01","00:00","21.403","NaN","18.332","9.422","9.313","0.301","NaN","-3.196","0"
"1952/10/01","00:00","21.403","NaN","18.382","9.373","9.373","0.363","NaN","-2.996","0"
"1952/11/01","00:00","21.203","NaN","18.342","9.461","9.382","0.413","NaN","-2.297","0"
"1952/12/01","00:00","20.803","NaN","18.411","9.622","9.573","0.721","NaN","-2.199","0"
