Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1950,22.7,16.8,25.7,40.9,55.6,64.3,70.3,66.6,54.9,48.9,41.7,27.8,44.7
1951,23.3,25.3,32.2,45.6,56.1,61.9,69.9,66.9,59.8,48.8,34,23.6,45.6
1952,22.2,23.9,31.5,44.8,52.6,66.6,75,69.3,60.4,46.8,37.5,28.1,46.6
1953,25.5,26.1,33.2,44.8,55.9,65,69.6,67.3,59.9,49.5,41.1,31.4,47.4
1954,15.3,27.5,30.5,43.2,52,62.9,67.1,64.2,56.5,50.9,36.7,25.5,44.4
1955,18.2,23.4,28.3,44.1,57.7,63.8,72.4,69.6,57.5,47.6,35.3,16.5,44.5
1956,25.5,23.2,24.7,40.2,48.7,63.2,65.4,65,54.5,48.3,37.4,24.2,43.4
1957,11.9,24.8,33,44.5,56.1,65.6,67.6,64.3,60.8,49.8,40.4,30.5,45.8
1958,24.3,17.6,34.8,44.6,51.5,59.2,67.6,66.9,58.6,45.5,37,15.9,43.6
1959,19.1,16.8,29.4,43.7,57.9,59.4,71.4,68.6,61.2,47.7,36.6,27.5,44.9
1960,21.6,27.1,27.2,42.6,58.3,64.9,68.6,67.7,59.4,46.8,40.3,21.4,45.5
1961,14,23.7,29.4,41.4,52,63.3,67.1,67.9,65.8,50.3,38.8,25.7,44.9
1962,18.2,16,33.5,42.2,52.5,63.7,64.7,65.8,56.6,47.3,35.6,22.9,43.3
1963,21.3,15.6,30.9,42.1,54.3,66.1,71.1,63.8,54.9,53.5,39.9,15.8,44.1
1964,24.1,22.3,31.4,42.1,56.8,64.1,68.5,62.2,55.9,48.2,36.4,23.5,44.6
1965,16.9,19.8,31.5,41.4,55.6,64.7,67.5,67.6,59.3,46.4,34.3,25.3,44.2
1966,20.6,23.5,33,41,52.1,64.8,69.5,67.9,56.5,48.2,40.1,25.9,45.3
1967,22.8,14.6,25.6,40.1,49.5,65.4,69,67,58.4,48.3,33.4,24.7,43.2
1968,13.5,15.5,31.7,45,52.1,59.1,68.2,63.8,60.1,50.3,32.5,21.7,42.8
1969,21,22.9,29.2,41.8,53.7,64.6,67.2,69.7,58.4,46.3,38.2,25.4,44.9
1970,14.2,22.6,31.9,43.7,55.9,63,70.6,69.2,59.1,50.3,38.2,17.8,44.7
1971,15.2,23.7,33.1,43.7,56.8,68.3,73,69.5,63.6,54.8,37.5,27.3,47.2
1972,22.7,22.1,29.9,41.5,57.5,62,70.8,68.6,62.7,47,35.9,22,45.2
1973,22.6,20.9,38,46.6,54.2,66.9,73.9,72.9,57.1,49.5,36.1,30.7,47.5
1974,19.3,19.6,29.6,42.9,49.2,63.1,67.7,68,56.7,41.9,37.1,28.1,43.6
1975,22.6,24,31,40.6,57.5,63.2,70.6,67.6,58.3,50.2,42.9,21.4,45.8
1976,13.7,26.5,31.8,45,55.2,65.9,67,67.5,61,47.8,36.2,18.5,44.7
1977,14.1,21.2,37.9,42.8,56.6,60.9,69.2,69,59.1,50.2,41.4,24.3,45.6
1978,19,19.5,29.3,41.7,57.6,64.2,70.5,69.8,58.3,48.5,37,25.1,45
1979,23.8,14.9,36,43.6,55.3,63.9,71,66.6,59.4,49.2,42.1,28.5,46.2
1980,21.8,20.2,33.8,47.3,55.6,63.3,70.6,70.5,59.4,47.7,37.2,19.3,45.6
1981,14.1,33.2,35.3,45.8,57.4,64.5,69.3,67.4,59.5,47.6,37.5,28,46.6
1982,11.8,20.8,31.7,42.8,56.3,61.2,69.9,65.4,60.2,50.3,41.2,29.9,45.1
1983,22.5,24.8,34.9,43.6,53.9,66.4,71.6,68.5,64.8,47.5,39,22.8,46.7
1984,16.3,31.1,26,43.8,53.3,64.4,70.5,70.1,58,50.1,39.8,28.4,46
1985,14.2,24.3,32.1,43.3,54.3,60.9,71,66.8,60.4,49.1,35.9,21.2,44.5
1986,21.4,21,32.2,47.3,55,61.8,67.1,66.5,57.3,47.2,33.7,26,44.7
