Year,Annual_Inflation
1914,1.341666667
1915,0.916666667
1916,7.641666667
1917,17.80833333
1918,17.25833333
1919,15.30833333
1920,15.9
1921,-10.85
1922,-6.091666667
1923,1.8
1924,0.45
1925,2.441666667
1926,0.941666667
1927,-1.916666667
1928,-1.15
1929,0
1930,-2.65
1931,-8.933333333
1932,-10.30833333
1933,-5.091666667
1934,3.516666667
1935,2.55
1936,1.033333333
1937,3.733333333
1938,-2.016666667
1939,-1.283333333
1940,0.708333333
1941,5.108333333
1942,10.975
1943,6.016666667
1944,1.65
1945,2.283333333
1946,8.433333333
1947,14.64166667
1948,7.733333333
1949,-0.95
1950,1.091666667
1951,7.891666667
1952,2.275
1953,0.8
1954,0.316666667
1955,-0.258333333
1956,1.525
1957,3.35
1958,2.725
1959,0.991666667
1960,1.458333333
1961,1.091666667
1962,1.175
1963,1.225
1964,1.275
1965,1.575
1966,3.025
1967,2.775
1968,4.258333333
1969,5.45
1970,5.841666667
1971,4.308333333
1972,3.266666667
1973,6.166666667
1974,11.03333333
1975,9.191666667
1976,5.766666667
1977,6.491666667
1978,7.608333333
1979,11.24166667
1980,13.575
1981,10.35833333
1982,6.158333333
1983,3.233333333
1984,4.308333333
1985,3.541666667
1986,1.925
1987,3.666666667
1988,4.058333333
1989,4.833333333
1990,5.4
1991,4.258333333
1992,3.025
1993,2.958333333
1994,2.616666667
1995,2.808333333
1996,2.941666667
1997,2.333333333
1998,1.55
1999,2.191666667
2000,3.375
2001,2.816666667
2002,1.583333333
2003,2.275
2004,2.683333333
2005,3.383333333
2006,3.233333333
2007,2.866666667
2008,3.85
2009,-0.35
2010,1.625
2011,3.166666667
2012,2.083333333
2013,1.483333333
2014,1.633333333
2015,0.125
2016,1.266666667
2017,2.116666667
2018,2.45
2019,1.816666667
2020,1.233333333
2021,4.7
2022,8.016666667
2023,4.133333333
2024,2.958333333
