Maine Lobster Landings By County,,,
Year,County,Pounds,Value
2004,CUMBERLAND,9255180,36591790
2004,HANCOCK,16537170,69166111
2004,KNOX,24804328,98174305
2004,LINCOLN,6770722,25908554
2004,SAGADAHOC,1303911,5302330
2004,WALDO,401706,1762878
2004,WASHINGTON,7873692,32674789
2004,YORK,4627535,19498090
2005,CUMBERLAND,8335125,37755755
2005,HANCOCK,18882812,88660604
2005,KNOX,21419378,98319258
2005,LINCOLN,5574889,24377448
2005,NOT-SPECIFIED,14655,72488
2005,SAGADAHOC,1526964,7136879
2005,WALDO,284661,1380216
2005,WASHINGTON,9323532,44493250
2005,YORK,3367845,15752438
2006,CUMBERLAND,9444550,38237173
2006,HANCOCK,21089086,85288099
2006,KNOX,22123241,90162700
2006,LINCOLN,6361330,24580617
2006,NOT-SPECIFIED,244886,954973
2006,SAGADAHOC,1850308,7951396
2006,WALDO,372901,1620134
2006,WASHINGTON,10686067,43180287
2006,YORK,3173459,13464040
2007,CUMBERLAND,8367473,36552598
2007,HANCOCK,17630570,78297296
2007,KNOX,19201116,83313212
2007,LINCOLN,5345748,22569053
2007,NOT-SPECIFIED,21837,89374
2007,SAGADAHOC,1406855,6162745
2007,WALDO,304784,1366213
2007,WASHINGTON,9273724,41086679
2007,YORK,2423850,11211246
2008,CUMBERLAND,9077125,32153313
2008,HANCOCK,19350787,69190516
2008,KNOX,20218311,69876410
2008,LINCOLN,5635488,18883924
2008,NOT-SPECIFIED,476,1971
2008,SAGADAHOC,1381763,5024168
2008,WALDO,306738,1066923
2008,WASHINGTON,10988328,37431946
2008,YORK,2949486,11520855
2009,CUMBERLAND,10330898,30478441
2009,HANCOCK,23528918,69567150
2009,KNOX,23375555,66435362
2009,LINCOLN,5661410,16636556
2009,SAGADAHOC,1535623,4677360
2009,WALDO,293435,831688
2009,WASHINGTON,13141424,37945045
2009,YORK,3307374,10965289
2010,CUMBERLAND,11649232,39436920
2010,HANCOCK,31306262,103696417
2010,KNOX,25561334,83308122
2010,LINCOLN,6194426,19622036
2010,NOT-SPECIFIED,90,266
2010,SAGADAHOC,1720544,6307314
2010,WALDO,372415,1225675
2010,WASHINGTON,16213914,52830939
2010,YORK,3190555,11624752
2011,CUMBERLAND,12469579,41667556
2011,HANCOCK,34071486,108189416
2011,KNOX,29672698,94380783
2011,LINCOLN,6391550,19964854
2011,SAGADAHOC,1659690,5877406
2011,WALDO,456016,1449663
2011,WASHINGTON,16910075,51171345
2011,YORK,3293634,11838711
2012,CUMBERLAND,13807189,40434664
2012,HANCOCK,43467568,114227278
2012,KNOX,35154555,95524992
2012,LINCOLN,6799804,18327355
2012,SAGADAHOC,2061928,5962184
2012,WALDO,546494,1448372
2012,WASHINGTON,21744391,53948126
2012,YORK,3739493,12206549
2013,CUMBERLAND,12193758,39113119
2013,HANCOCK,44136419,123785668
2013,KNOX,34532764,103729589
2013,LINCOLN,6378457,19003421
2013,SAGADAHOC,2138756,6757811
2013,WALDO,688618,2063728
2013,WASHINGTON,23874397,62278091
2013,YORK,3865268,13652554
2014,CUMBERLAND,11874479,46797697
2014,HANCOCK,42575285,154881082
2014,KNOX,33705103,126487159
2014,LINCOLN,5982176,22115616
2014,SAGADAHOC,2021714,7839769
2014,WALDO,864528,3396418
2014,WASHINGTON,23282620,81210885
2014,YORK,4020018,16779759
2015,CUMBERLAND,12299414,53104387
2015,HANCOCK,41612365,167686441
2015,KNOX,34656419,144846058
2015,LINCOLN,6228200,25935943
2015,SAGADAHOC,1867984,8109875
2015,WALDO,805478,3400078
2015,WASHINGTON,21333130,82054104
2015,YORK,3860403,17313423
2016,CUMBERLAND,14387425,61474379
2016,HANCOCK,44964926,180411906
2016,KNOX,35157040,148505875
2016,LINCOLN,7129928,29223307
2016,SAGADAHOC,2086181,8921975
2016,WALDO,827209,3514944
2016,WASHINGTON,23505050,88286344
2016,YORK,4489941,20075800
2017,CUMBERLAND,11358592,47953127
2017,HANCOCK,38471755,147102671
2017,KNOX,29118968,120625889
2017,LINCOLN,6115832,25015124
2017,SAGADAHOC,1347351,5833952
2017,WALDO,791465,3168086
2017,WASHINGTON,21106012,71629724
2017,YORK,3752393,17481938
2018,CUMBERLAND,13689465,60350822
2018,HANCOCK,39651093,155395426
2018,KNOX,31236959,136176539
2018,LINCOLN,6893362,29752553
2018,SAGADAHOC,1335105,5848576
2018,WALDO,750022,3027030
2018,WASHINGTON,22802112,78508054
2018,YORK,4636171,21331737
2019,CUMBERLAND,11099364,56971215
2019,HANCOCK,31607947,152179907
2019,KNOX,27805264,142747344
2019,LINCOLN,5632749,28474379
2019,SAGADAHOC,1192437,6097517
2019,WALDO,629651,3106766
2019,WASHINGTON,20470853,83657525
2019,YORK,3747664,19546973
