Maine Lobster Landings By County,,,
Year,County,Pounds,Value
2020,CUMBERLAND,10409983,46559536
2020,HANCOCK,30855837,129430909
2020,KNOX,25990306,115000152
2020,LINCOLN,5423973,23216647
2020,SAGADAHOC,1534862,6715416
2020,WALDO,513767,2182991
2020,WASHINGTON,19474153,72734736
2020,YORK,3684654,16483473
2021,CUMBERLAND,13707062,93687678
2021,HANCOCK,32530575,221884032
2021,KNOX,29887148,206876653
2021,LINCOLN,6637449,44246398
2021,SAGADAHOC,1953664,13362743
2021,WALDO,437442,3113020
2021,WASHINGTON,20644521,126296455
2021,YORK,4848631,33122701
2022,CUMBERLAND,11027807,48308934
2022,HANCOCK,30644422,124931171
2022,KNOX,26165963,110524968
2022,LINCOLN,6008185,26053080
2022,SAGADAHOC,1670213,7168226
2022,WALDO,254063,1012875
2022,WASHINGTON,18894329,55944418
2022,YORK,4267151,19118591
2023,CUMBERLAND,11225709,60030473
2023,HANCOCK,29883587,150106720
2023,KNOX,25040525,130809575
2023,LINCOLN,6197458,32585582
2023,SAGADAHOC,1403524,7467091
2023,WALDO,252149,1274700
2023,WASHINGTON,18912344,78063070
2023,YORK,3994494,21457675
2024,CUMBERLAND,10126898,65582056
2024,HANCOCK,25279868,154826492
2024,KNOX,22037874,142537459
2024,LINCOLN,5646608,36689672
2024,SAGADAHOC,1330812,8635042
2024,WALDO,283313,1751765
2024,WASHINGTON,17964663,95963412
2024,YORK,3421797,22241465
