Species,2020 Pounds,2020 Value,2021 Pounds,2021 Value,2022 Pounds,2022 Value,2023 Pounds,2023 Value,2024 Pounds,2024 Value
alewife,1576645,586668,1835855,723291,2689400,1184127,2602355,1161838,2244673,1026532
Atlantic herring,11537719,4206324,5029850,1909398,3822900,1846609,14741557,4982810,13607969,5605070
bloodworms,391811,6786173,301885,5791124,230526,4937990,226479,5491083,189564,5226066
blue mussel (tot),9185540,2700386,8026728,3406901,5583473,4044509,5747990,4506481,7927304,4675767
blue mussel (AQ),NA,NA,1720371,2933567,1988116,3675150,2039823,4018008,2086910,4036254
crab,1832196,1017055,2628580,1957428,3049155,2769593,3064571,2041627,2507252,1298941
elver,9652,5067521,9106,16681103,9459,20163965,9710,19508478,9842,12201545
groundfish,2069377,2185851,1975980,2537839,2581734,3628452,3624233,4196278,3034020,3608905
hard clam,1577697,2368328,1422763,3212434,1654924,3484298,1740115,3435978,1878534,3438410
lobster,97954590,412629231,110704227,742989021,98985470,393277334,96957725,482022737,86125724,528421645
mahogany quahog,1386835,641088,1434478,687292,1078387,522840,811906,393640,768529,347388
menhaden,27172212,7146288,24156872,10411496,25947085,13985474,26414423,11727987,25638230,13203602
other species,16461518,39118015,22415381,60674809,26664916,88703347,15337064,47550116,21897794,81277248
oysters (Tot),1809441,4843465,6033063,13532974,4209554,11087281,5099007,14051267,5188925,14852101
oysters (AQ),5240142,11326417,3916150,10465089,4789696,13135936,4961514,14162956,4961514,14162956
periwinkle,264302,297226,496166,821476,585273,937272,366337,514181,431072,595569
sandworms,235998,2102155,197652,1973168,186201,1887558,163921,1840485,191584,2734671
scallop (Tot),5626807,6990497,4814644,9322902,4507656,9107470,5731699,9695160,4283174,8762568
scallop (AQ),NA,NA,3072,81629,3373,103220,14314,584691,5101,152805
seaweed (Tot),16142315,1096816,16514003,1161592,13971046,1503463,20618086,2368392,20147135,2540382
seaweed (AQ),NA,NA,493675,338755,765219,550411,829173,785720,1021667,653886
soft clam,6611608,15825823,7568440,25388595,6875034,18638227,5692235,15402046,5706899,15461017
tuna,495567,1954646,411135,2280147,364259,1891508,454913,2321982,494606,2546911
urchins,1281497,3865214,894516,2905528,833582,2679282,638275,1946501,518225,1685646
yellow eel,6047,19350,1366,4372,926,2964,2369,7581,0,0
Total,208869516,532774537,223005958,922191930,211377364,603748280,217889794,654718023,210866247,728515885
