Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1950,3.76,2.89,4.27,3.59,1.05,4.08,1.02,4.86,1.5,2.45,8.22,M,M
1951,3.03,4.28,6.06,7.04,2.85,1.65,8.11,3.41,2.63,4.49,7.43,5.66,56.64
1952,4.97,3.41,3.12,3.17,3.69,3.34,0.23,3.02,2.93,3.67,1.96,5.95,39.46
1953,5.27,4.03,10.08,5.37,3.96,2.3,4.02,2.76,2.01,5.53,4.59,5.03,54.95
1954,2.56,4.19,4.22,4.38,5.78,5.52,2.96,5.22,8.92,3.31,5.33,6.05,58.44
1955,1.21,6.14,3.78,1.95,2.69,3.78,1.57,6.7,1.33,3.97,4.06,1.36,38.54
1956,4.27,3.17,4.04,3.85,2.98,1.97,4.73,2.99,5.15,2.93,3.97,4.07,44.12
1957,2.48,1.34,2.15,2.88,3.07,3.17,3.18,1.38,1.68,1.82,5.36,5.21,33.72
1958,8.23,M,2.1,5.36,3.1,2.27,4.71,3.49,3.59,5.89,4.45,1.64,M
1959,2.49,3.23,4.39,2.76,1.52,5.59,2.18,3.33,2.27,8.1,8.37,4.23,48.46
1960,4.18,7.48,3.15,3.67,5.81,2.44,5.87,1.89,4.01,5.05,4.54,4.89,52.98
1961,1.99,3.51,4.07,7.25,4.46,2.44,4.51,1.22,4.2,2.01,5.45,2.51,43.62
1962,3.07,1.9,1.69,5.75,2.08,1.33,2.93,2.19,3.05,6.96,5.59,4.58,41.12
1963,2.82,3.01,3.47,2.58,4.47,1.18,2.38,4.33,1.76,3.15,10.59,1.6,41.34
1964,4.19,1.74,3.18,3.37,1.56,1.57,5.34,4.46,1.12,2.52,4.12,3.43,36.6
1965,1.21,5.14,0.61,2.93,0.76,1.59,1.18,2.65,2.24,3.65,5.69,1.62,29.27
1966,3.11,2.25,4.31,0.92,2.7,2.85,1.66,3.41,3.64,3.91,6.9,3.35,39.01
1967,2.03,5.34,1.47,4.42,4.26,4.28,3.16,2.89,4,2.06,3.24,5.25,42.4
1968,2.46,1.7,3.28,3.6,4.38,5.41,0.93,2.1,1.62,2.74,5.38,5.65,39.25
1969,3.3,2.94,2.81,3.63,3.06,4.27,4.64,2.78,3.87,1.9,7.58,10.76,51.54
1970,0.91,6.28,3.1,4.14,4.61,2.48,1.89,3.03,3.09,4.78,3.59,4.08,41.98
1971,2.58,4.49,2.26,2.4,4.33,2.76,4.4,5.22,2.32,3.04,M,1.96,M
1972,2.45,4.34,6.4,3.18,2.31,6.86,M,M,M,3.03,3.43,M,M
1973,3.63,3.25,3.05,4.94,5.2,5.54,M,3.83,M,M,M,M,M
1974,M,3,4.83,M,5.46,5.16,3.25,3.72,M,1.47,4.22,M,M
1975,4.33,1.91,3.71,2.59,M,6.07,2.48,3.24,3.53,4.27,5.02,5.41,M
1976,4.69,3.03,2.19,3.49,5.27,3.5,6.44,6.48,1.41,5.88,1.05,4.08,47.51
1977,3.55,2.82,5.56,3.2,1.57,3.68,1.96,3.51,6.73,7.5,4.86,6.67,51.61
1978,6.25,0.59,4.04,3.11,4.09,M,1.25,1.74,0.71,4.25,1.97,2.02,M
1979,M,0.86,5.51,6.62,5.94,0.69,3.87,3.49,3.06,6.28,4.52,2.11,M
1980,0.88,0.79,4.76,6.42,1.77,2.71,2.92,1.12,3.15,3.84,4.54,1.1,34
1981,1.11,3.57,0.76,3.07,3.07,3.08,6.55,4.46,3.97,7.07,2.31,4.2,43.22
1982,M,2.42,M,3.54,M,6,2.76,2.94,2.35,1.19,3.97,M,M
1983,3.52,M,5.87,9.37,M,0.87,3.19,2.89,1.73,3.54,12.88,8.18,M
1984,1.62,5.44,4.05,2.92,7.81,6.85,3.49,2.08,2.18,2.68,3.15,M,M
1985,1.21,2.5,2.35,M,2.06,2.67,1.66,4.32,2.4,1.45,4.08,M,M
1986,5.48,1.22,5.44,3.96,3.95,2.05,3.43,3.41,2.28,1.33,4.72,M,M
1987,4.56,0.36,3.17,6.43,1.91,3.66,2.05,1.66,6.68,3.4,1.99,4.29,M
1988,M,3.03,1.29,3.46,2.5,1.61,4.85,4.87,1.17,3.28,6.9,1.25,M
1989,1.5,M,2.77,4,9.33,4.76,M,1.85,3.67,3.91,5.24,1.47,M
1990,4.3,2.89,1.92,3.44,5.54,3.53,3.7,2.36,3.66,7.95,5.4,7.36,52.05
1991,2.27,0.88,5.94,4.15,4.12,2.28,1.93,11.95,5.22,4.15,4.29,3.24,50.42
1992,2.95,2.84,4.88,1.61,0.69,3.94,3.85,2.76,2.95,2.75,4.43,1.91,35.56
1993,2.18,3.37,3.45,6.2,1.3,4.31,2,2.41,3.55,3.64,3,4.79,40.2
