Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,M,M,M
1953,M,M,M,M,M,M,M,M,M,M,M,M,M
1954,M,M,M,M,M,M,M,M,M,M,M,M,M
1955,M,M,M,M,M,M,M,M,M,M,M,M,M
1956,M,M,M,M,M,M,M,M,M,M,M,M,M
1957,M,M,M,M,M,M,M,M,M,M,M,M,M
1958,M,M,M,M,M,M,M,M,M,M,M,M,M
1959,M,M,M,M,M,M,M,M,M,M,M,M,M
1960,M,M,M,M,M,M,M,M,M,M,M,M,M
1961,M,M,M,M,M,M,M,M,M,M,M,M,M
1962,M,M,M,M,M,M,M,M,M,M,M,M,M
1963,M,M,M,M,M,M,M,M,M,M,M,M,M
1964,M,M,M,M,M,M,M,M,M,M,M,M,M
1965,M,M,M,M,M,M,M,M,M,M,M,M,M
1966,M,M,M,M,M,M,M,M,M,M,M,M,M
1967,M,M,M,M,M,M,M,M,M,M,M,M,M
1968,M,M,M,M,M,M,M,M,M,M,M,M,M
1969,M,M,M,M,M,M,M,M,M,M,M,M,M
1970,M,M,M,M,M,M,M,M,M,M,M,M,M
1971,4.6,M,M,M,M,M,M,M,M,M,M,M,4.6
1972,M,M,M,M,M,M,M,M,M,M,M,M,M
1973,M,M,M,M,M,M,M,M,M,M,M,M,M
1974,M,M,M,M,M,M,M,M,M,M,M,M,M
1975,M,M,M,M,M,M,M,M,M,M,M,M,M
1976,M,M,M,M,M,M,M,M,M,39.2,M,M,39.2
1977,M,M,M,M,M,M,64.1,M,M,M,M,M,64.1
1978,M,M,M,M,M,M,M,M,M,M,M,M,M
1979,M,M,M,M,M,M,M,M,M,M,M,M,M
1980,M,M,M,M,M,57.1,M,M,M,M,27.2,M,42.2
1981,M,M,M,M,M,M,M,62.1,M,M,30.8,M,46.5
1982,M,M,M,M,M,M,M,M,M,M,M,M,M
1983,M,M,M,M,M,M,M,M,M,M,M,M,M
1984,M,M,M,M,M,M,M,M,M,M,M,M,M
1985,M,M,M,M,M,M,M,M,M,M,M,M,M
1986,M,M,M,M,M,M,M,M,M,M,M,M,M
1987,M,M,M,M,M,M,M,M,M,M,M,M,M
1988,M,M,M,M,M,M,M,M,M,M,M,M,M
1989,M,M,M,M,M,M,M,M,M,M,M,M,M
1990,M,M,M,M,M,M,M,M,M,M,M,M,M
1991,M,M,M,M,M,M,M,M,M,M,M,M,M
1992,M,M,M,M,M,M,M,M,M,M,M,M,M
1993,M,M,M,M,M,M,M,M,M,M,M,M,M
1994,M,M,M,M,M,M,M,M,M,M,M,M,M
1995,M,M,M,M,M,M,M,M,M,M,M,M,M
1996,M,M,M,M,M,M,M,M,M,M,M,M,M
1997,M,M,M,M,M,M,M,M,M,M,M,M,M
1998,M,M,M,M,M,M,M,M,M,M,M,M,M
1999,M,M,M,M,M,M,M,M,M,M,M,M,M
2000,11.1,14.6,29.3,37.5,47.4,58.9,61.9,61.2,53.5,42.9,33.2,14.9,38.9
2001,11,12.2,20.7,35.8,52.9,60.3,62.8,65.5,56.7,44.9,34.9,26.6,40.4
2002,18.8,16.2,23.2,37.8,47.2,57,64.1,65,58,39.7,28.4,19.1,39.5
2003,6.2,8.4,20,34.2,48.5,59.4,63.8,64.7,56.5,42.2,32.6,18.9,37.9
2004,2.6,14.2,25.8,37.4,51.1,56.4,62.7,63.1,55.9,43,31.1,15.8,38.3
2005,7.6,14.4,20.8,38.7,45.5,61.7,65.6,63.5,58,45.2,32.4,19.1,39.4
2006,17.5,16,26.2,40.3,51.2,62.5,67.4,60.1,54.2,43.3,35.6,25.1,41.6
2007,13.8,6.6,21.6,34,48.5,59.6,61.7,61.7,56.5,47.2,29.3,15.6,38
2008,14.9,14.2,19,39.6,47,59.4,66.1,61.6,54.6,41.9,32,15.2,38.8
2009,2.2,13.8,21.7,40,49.3,57.5,61.9,64.1,53.7,39.2,36,19,38.2
2010,15.9,20.3,31.5,42.5,52.9,58.9,67.1,63.1,56.5,43.3,31.8,19.2,41.9
2011,12.8,11.1,22.1,35.4,50.1,59,64.9,63,57.9,45.9,36.4,23.6,40.2
2012,14.7,16,31.3,39.5,51.5,58,64.7,65.4,53.6,46,31.9,23.3,41.3
2013,13.3,16.8,28.6,37.2,51.8,61,68,62.5,56.2,46.5,30.6,16,40.7
2014,11.9,12.7,14.7,36.4,50.7,60.1,65.9,63.1,55.3,47.4,31.3,24.1,39.5
2015,8.4,2.9,17.3,34.5,56.1,M,65.1,66.6,61.5,42.5,35.6,30.1,38.2
2016,17.5,18.8,27.4,35.9,51.9,60.1,66.5,65.6,58.2,45.5,36.1,19.2,41.9
2017,19.4,18.5,19.6,40.2,50.7,61.3,64.6,62,60.3,50.9,31,15,41.1
2018,12.5,18.5,25.7,33.7,54,59.3,68.4,67.4,57.6,40.7,27.4,17.5,40.2
2019,10.6,13.1,21.2,37,47,58.9,68.2,64.2,54.6,44.3,27.9,19.5,38.9
2020,18.5,15.1,26.2,36.3,51.5,63.2,67.9,64.1,55.4,43.5,34.4,26,41.8
