"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1950/01/01","00:00","11.045","NaN","8.624","4.415","4.395","0.166","NaN","-2.354","0"
"1950/02/01","00:00","10.547","NaN","8.824","4.575","4.546","0.255","NaN","-1.553","0"
"1950/03/01","00:00","11.245","NaN","8.637","4.346","4.267","-0.103","NaN","-2.455","0"
"1950/04/01","00:00","11.045","NaN","9.077","4.677","4.605","0.127","NaN","-2.154","0"
"1950/05/01","00:00","11.347","NaN","9.014","4.536","4.487","-0.034","NaN","-2.354","0"
"1950/06/01","00:00","11.445","NaN","9.106","4.825","4.687","0.264","NaN","-1.953","0"
"1950/07/01","00:00","11.045","NaN","9.116","4.677","4.644","0.186","NaN","-1.455","0"
"1950/08/01","00:00","10.445","NaN","9.155","4.726","4.707","0.264","NaN","-0.956","0"
"1950/09/01","00:00","11.347","NaN","9.277","4.815","4.805","0.337","NaN","-1.153","0"
"1950/10/01","00:00","11.646","NaN","9.136","4.776","4.766","0.386","NaN","-1.855","0"
"1950/11/01","00:00","11.646","NaN","9.336","4.995","4.976","0.615","NaN","-1.953","0"
"1950/12/01","00:00","12.344","NaN","9.287","4.897","4.887","0.484","NaN","-1.353","0"
"1951/01/01","00:00","11.846","NaN","8.995","4.605","4.595","0.195","NaN","-1.753","0"
"1951/02/01","00:00","11.744","NaN","9.034","4.566","4.566","0.084","NaN","-1.953","0"
"1951/03/01","00:00","10.947","NaN","9.566","5.084","5.045","0.527","NaN","-1.553","0"
"1951/04/01","00:00","10.845","NaN","9.385","4.907","4.864","0.346","NaN","-2.255","0"
"1951/05/01","00:00","11.944","NaN","9.405","4.936","4.926","0.435","NaN","-1.455","0"
"1951/06/01","00:00","11.846","NaN","9.375","4.926","4.926","0.465","NaN","-1.753","0"
"1951/07/01","00:00","11.846","NaN","9.215","4.844","4.825","0.445","NaN","-1.553","0"
"1951/08/01","00:00","11.744","NaN","9.195","4.897","4.864","0.527","NaN","-1.255","0"
"1951/09/01","00:00","10.845","NaN","9.146","4.815","4.815","0.484","NaN","-0.956","0"
"1951/10/01","00:00","11.245","NaN","9.306","4.897","4.887","0.455","NaN","-1.255","0"
"1951/11/01","00:00","12.046","NaN","9.224","4.835","4.825","0.435","NaN","-1.553","0"
"1951/12/01","00:00","11.744","NaN","9.195","4.707","4.707","0.215","NaN","-1.753","0"
"1952/01/01","00:00","11.944","NaN","9.336","4.815","4.795","0.255","NaN","-2.354","0"
"1952/02/01","00:00","11.944","NaN","9.267","4.825","4.805","0.356","NaN","-1.655","0"
"1952/03/01","00:00","11.045","NaN","9.346","4.844","4.825","0.317","NaN","-1.455","0"
"1952/04/01","00:00","10.547","NaN","9.205","4.776","4.756","0.294","NaN","-1.655","0"
"1952/05/01","00:00","11.347","NaN","9.464","5.107","5.084","0.714","NaN","-0.756","0"
"1952/06/01","00:00","11.646","NaN","9.405","4.986","4.986","0.556","NaN","-1.153","0"
"1952/07/01","00:00","11.245","NaN","9.195","4.766","4.756","0.317","NaN","-1.753","0"
"1952/08/01","00:00","11.347","NaN","9.175","4.795","4.776","0.376","NaN","-1.655","0"
"1952/09/01","00:00","11.245","NaN","9.205","4.776","4.746","0.274","NaN","-1.655","0"
"1952/10/01","00:00","11.147","NaN","9.136","4.677","4.664","0.195","NaN","-2.154","0"
"1952/11/01","00:00","10.947","NaN","9.165","4.746","4.736","0.307","NaN","-1.255","0"
"1952/12/01","00:00","10.947","NaN","9.375","4.976","4.966","0.547","NaN","-1.655","0"
"1953/01/01","00:00","11.646","NaN","9.375","4.966","4.956","0.547","NaN","-2.255","0"
"1953/02/01","00:00","12.046","NaN","8.995","4.585","4.595","0.195","NaN","-2.154","0"
