Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1950,4.43,2.45,4.14,2.38,1.55,1.63,0.8,4.54,1.82,2.11,5.73,4.09,35.67
1951,2.94,3.71,9.19,5.26,2.67,2.97,5.87,2.48,2.38,4.01,8,6.56,56.04
1952,5.39,5.66,3.2,4.15,5.04,5.46,0.75,3.51,2.67,1.85,2.24,5.28,45.2
1953,5.15,3.3,9.97,5.21,3.66,0.81,2.57,3.27,2.6,3.83,3.92,4.02,48.31
1954,2.63,4.18,3.97,4.31,6.73,3.52,2.63,4.79,9.81,2.01,5.36,5.32,55.26
1955,0.76,5.01,4.1,2.5,2.33,2.31,2.05,3.02,1.66,6.71,3.73,0.98,35.16
1956,5.82,3.87,3.75,3.38,3.06,1.51,3.03,1.58,3.61,2.52,3.93,3.35,39.41
1957,2.07,1.56,1.91,1.91,2.28,2.38,1.34,0.8,1.02,2.13,5.85,3.1,26.35
1958,9.41,1.72,2.06,5.28,2.05,1.91,5.27,2.21,2.77,4.36,4.19,1.19,42.42
1959,3,2.7,4.5,1.71,1.57,4.72,2.06,2.13,3.19,5.28,4.95,4.92,40.73
1960,2.65,6.38,3.27,3.23,6.34,2.17,3.06,1.32,5.01,2.92,3.15,3.71,43.21
1961,1.46,3.58,2.48,6.48,2.97,3.11,2.87,2.25,4.21,1.69,4.69,2.96,38.75
1962,2.68,2.25,2.15,4.51,1.81,2.65,2.89,2.87,2.53,12.27,4.25,5.47,46.33
1963,2.73,2.95,3.38,2.19,3.52,1.95,2.51,3.25,2.29,1.85,9.81,2.16,38.59
1964,4.74,2.66,3.64,3.27,1.56,2.01,3.47,1.77,1.02,3.45,3.25,3.75,34.59
1965,1.68,6.36,0.81,2.93,0.49,2.27,0.61,1.84,2.31,2.49,3.96,2.4,28.15
1966,4.97,3.43,3.77,1,1.96,3.04,0.96,4.99,3.84,3.61,5.01,3.46,40.04
1967,2.52,4.63,2.16,4.74,5.34,6.23,3.46,2.57,2.68,1.31,2.52,6,44.16
1968,3,1.26,4.16,3.37,3.81,4.04,0.65,2,1.4,2,7.74,7.7,41.13
1969,3.63,6.28,3.36,2.86,1.67,3.53,5.45,2.2,5.28,2.51,8.54,9.69,55
1970,0.76,4.31,4.22,4.14,3.15,2.91,0.95,5.12,4.49,3.87,2.38,5.14,41.44
1971,2.25,6.76,4.74,1.86,4.09,1.09,3.14,3.24,3.55,3.95,4.13,2.85,41.65
1972,2.09,5.14,6.01,2.53,3.17,4.24,2.05,0.8,4.31,3.92,7.87,6.49,48.62
1973,2.58,2.57,3.33,9.9,6.28,4.87,1.7,3.48,2.23,3.38,2.4,9.57,52.29
1974,3.41,2.07,3.82,3.82,4.2,4.69,3.66,1.45,5.43,1.74,4.85,4.41,43.55
1975,4.4,2.51,3.2,3.71,1.09,4.87,2.06,3.89,4.34,4.5,6.01,8.14,48.72
1976,4.44,2.84,2.47,2.42,3.99,1.53,7.48,4.87,1.86,5.37,0.9,3.22,41.39
1977,6.46,3.75,6.92,3.46,2.04,3.38,2.83,2.79,4.63,8.3,6.46,6.61,57.63
1978,6.91,0.87,4.19,4.46,4.36,2.42,1.67,2.36,0.59,3.23,2.26,3.15,36.47
1979,11.92,3.5,4.17,6.48,5.15,1.97,5.9,5.53,3.28,6.71,3.95,2.59,61.15
1980,0.98,1.36,4.54,5.78,1.83,3.34,1.99,2.14,3,2.99,4.75,1.18,33.88
1981,0.93,7.1,1.44,3.46,2.27,4.59,5.44,2.31,6.14,4.71,2.8,4.51,45.7
1982,5.17,2.53,3.2,4.54,2.91,6.75,2.61,3.35,1.9,1.93,3.61,1.18,39.68
1983,4.59,3.94,9.75,6.82,5.98,1.35,4.31,2.58,1.35,3.38,13.5,8.78,66.33
1984,2.56,4.99,5.12,4.81,9.64,3.87,3.86,2.09,0.84,3.26,3.69,3.44,48.17
1985,1.03,1.54,3.15,1.25,2.03,2.74,3.3,3.18,2.97,4.07,6.36,2.39,34.01
1986,6.58,2.61,4.21,3.49,2.51,3.91,3.44,1.87,2.64,2.09,5.18,5.91,44.44
1987,5.21,0.04,4.29,6.33,2.62,5.01,1.79,2.48,4.64,2.54,3.82,2.01,40.78
1988,1.97,3.34,1.85,3.68,4.27,2.36,5.89,5.24,1.5,3.47,8.84,1.21,43.62
1989,1.15,2.37,2.14,2.94,8.74,4.49,2.5,1.73,4.48,4.81,3.97,2.23,41.55
1990,3.19,2.49,1.42,5.16,5.23,4.12,3.21,1.89,3.12,7.46,7.5,7.9,52.69
1991,2.91,1.85,6.19,6.71,3.77,1.47,2.35,15.22,5.44,2.83,4.34,4.06,57.14
1992,4.8,3.42,3.93,2.47,1.15,3.99,4.06,2.59,3.11,2.48,4.39,2.12,38.51
1993,2.8,3.84,6.26,5.69,1.14,2.89,2.73,1.21,4.1,3.74,4.05,5.4,43.85
1994,5.34,1.29,6.71,2.94,4.87,1.25,1.73,2.82,6.6,0.63,3.67,6.2,44.05
1995,4.92,3.55,2.14,2.36,3.31,2.6,3.14,0.47,2.4,4.91,7.28,4.35,41.43
1996,5.3,3.03,2.68,6.44,3.72,1.8,6.19,0.5,3.55,16.86,1.79,6.53,58.39
1997,4.59,2.59,4.05,5.21,2.41,0.76,2.01,4.15,2.68,1.37,5.22,2.57,37.61
1998,4.83,5.72,4.23,3.36,3.83,9.01,2.92,4.03,3.02,10.45,1.8,1.56,54.76
1999,5.97,3.87,4.52,0.28,4.98,0.95,1.62,1.53,8.8,3.89,2.25,2,40.66
2000,3.41,2.88,3.66,5.44,3.07,2.06,4.03,1.81,2.46,3.17,4.19,4.49,40.67
2001,1.33,2.58,8.01,1.26,1.15,5.37,2.05,1.28,4.14,1.72,2.2,2.03,33.12
2002,2.98,2.48,4.18,3.85,4.42,4.38,3.33,1.28,3.58,4.17,5.08,4.51,44.24
2003,1.14,3.51,3.65,3.2,3.12,2.15,1.5,2.1,4.68,5.6,3.06,4.54,38.25
2004,0.28,1.94,1.94,6.46,4.69,2.19,3.83,6.14,3.24,2.19,4.04,4.28,41.22
2005,3.33,3.34,4.81,8.72,6.4,5.12,2.83,2.37,2.13,14.38,7.67,5.3,66.4
2006,3.71,2.75,1.02,3.02,12.34,9.18,5.65,2.37,3.57,8.38,5.5,3.36,60.85
2007,2.86,0.96,3.01,8.97,2.32,3.33,4.62,3.23,3.22,6.37,4.21,3.79,46.89
2008,3.21,8.06,5.54,4.47,1.09,3.88,4.71,6.28,10.84,3.19,5.35,4.62,61.24
2009,2.35,2.79,2.66,4.63,4.52,8.56,8.6,5.15,1.38,4.99,7.74,5.24,58.61
2010,2.86,6.23,11.24,1.5,1.77,3.47,4.06,2.95,2.3,7.1,5,4.03,52.51
2011,2.39,4.12,4.86,6.36,4.28,3.61,4.64,5.2,3.3,6.64,2.86,3.51,51.77
