Year,fishing_pressure_mean_region
1970,0.871794872
1971,1.031382979
1972,1.242147436
1973,1.63800001
1974,1.363600008
1975,0.886153846
1976,0.978098404
1977,1.136752137
1978,1.313658834
1979,1.413394277
1980,1.519230769
1981,1.325240953
1982,1.590425532
1983,1.664893617
1984,1.939079833
1985,1.714021283
1986,1.884476534
1987,2.004273504
1988,1.776173285
1989,1.573118948
1990,1.699626866
1991,1.685857059
1992,1.731443578
1993,1.688096044
1994,1.504647064
1995,1.611085973
1996,1.544552319
1997,1.415167878
1998,1.34321267
1999,1.127941176
2000,1.05030888
2001,0.952027453
2002,0.902866828
2003,0.894
2004,0.936309174
2005,1.076923077
2006,0.968259624
2007,0.886831877
2008,0.693140913
2009,0.798062486
2010,0.680970149
2011,0.692307692
2012,0.72008547
2013,0.580558361
2014,0.612244898
2015,0.60125
2016,0.64375
