GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,A00AA1930,A00AA1940,A00AA1950,A00AA1960,A00AA1970,A00AA1980,A00AA1990,A00AA2000,A00AA2010,A00AA2020
GIS Join Match Code,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,NHGIS Integrated County Name,FIPS County Code,NHGIS Integrated County Code,1930: Persons: Total,1940: Persons: Total,1950: Persons: Total,1960: Persons: Total,1970: Persons: Total,1980: Persons: Total,1990: Persons: Total,2000: Persons: Total,2010: Persons: Total,2020: Persons: Total
"G0100010","Alabama","01","010","Autauga County","001","0010",19694,20977,18186,18739,24460,32259,34222,43671,54571,58805
"G0100030","Alabama","01","010","Baldwin County","003","0030",28289,32324,40997,49088,59382,78556,98280,140415,182265,231767
"G0100050","Alabama","01","010","Barbour County","005","0050",32425,32722,28892,24700,22543,24756,25417,29038,27457,25223
"G0100070","Alabama","01","010","Bibb County","007","0070",20780,20155,17987,14357,13812,15723,16576,20826,22915,22293
"G0100090","Alabama","01","010","Blount County","009","0090",28020,29490,28975,25449,26853,36459,39248,51024,57322,59134
"G0100110","Alabama","01","010","Bullock County","011","0110",20016,19810,16054,13462,11824,10596,11042,11714,10914,10357
"G0100130","Alabama","01","010","Butler County","013","0130",30195,32447,29228,24560,22007,21680,21892,21399,20947,19051
"G0100150","Alabama","01","010","Calhoun County","015","0150",55611,63319,79539,95878,103092,119761,116034,112249,118572,116441
"G0100170","Alabama","01","010","Chambers County","017","0170",39313,42146,39528,37828,36356,39191,36876,36583,34215,34772
"G0100190","Alabama","01","010","Cherokee County","019","0190",20219,19928,17634,16303,15606,18760,19543,23988,25989,24971
"G0100210","Alabama","01","010","Chilton County","021","0210",24579,27955,26922,25693,25180,30612,32458,39593,43643,45014
"G0100230","Alabama","01","010","Choctaw County","023","0230",20513,20195,19152,17870,16589,16839,16018,15922,13859,12665
"G0100250","Alabama","01","010","Clarke County","025","0250",26016,27636,26548,25738,26724,27702,27240,27867,25833,23087
"G0100270","Alabama","01","010","Clay County","027","0270",17768,16907,13929,12400,12636,13703,13252,14254,13932,14236
"G0100290","Alabama","01","010","Cleburne County","029","0290",12877,13629,11904,10911,10996,12595,12730,14123,14972,15056
"G0100310","Alabama","01","010","Coffee County","031","0310",32556,31987,30720,30583,34872,38533,40240,43615,49948,53465
"G0100330","Alabama","01","010","Colbert County","033","0330",29860,34093,39561,46506,49632,54519,51666,54984,54428,57227
"G0100350","Alabama","01","010","Conecuh County","035","0350",25429,25489,21776,17762,15645,15884,14054,14089,13228,11597
"G0100370","Alabama","01","010","Coosa County","037","0370",12460,13460,11766,10726,10662,11377,11063,12202,11539,10387
"G0100390","Alabama","01","010","Covington County","039","0390",41356,42417,40373,35631,34079,36850,36478,37631,37765,37570
"G0100410","Alabama","01","010","Crenshaw County","041","0410",23656,23631,18981,14909,13188,14110,13635,13665,13906,13194
