"Year","Scenario","County","Pred_Lobster_Pounds","Pred_Lobster_Value"
2020,"Baseline","CUMBERLAND",11983990.2030962,59227159.6341233
2021,"Baseline","CUMBERLAND",11990489.4641901,59252475.2530549
2022,"Baseline","CUMBERLAND",11996988.725284,59277790.8719865
2023,"Baseline","CUMBERLAND",12003487.9863779,59303106.4909181
2024,"Baseline","CUMBERLAND",12009987.2474718,59328422.1098497
2025,"Baseline","CUMBERLAND",12016486.5085657,59353737.7287813
2026,"Baseline","CUMBERLAND",12022985.7696596,59379053.3477129
2027,"Baseline","CUMBERLAND",12029485.0307535,59404368.9666445
2028,"Baseline","CUMBERLAND",12035984.2918474,59429684.5855762
2029,"Baseline","CUMBERLAND",12042483.5529413,59455000.2045078
2030,"Baseline","CUMBERLAND",12048982.8140352,59480315.8234394
2031,"Baseline","CUMBERLAND",12055482.0751291,59505631.442371
2032,"Baseline","CUMBERLAND",12061981.336223,59530947.0613026
2033,"Baseline","CUMBERLAND",12068480.5973169,59556262.6802343
2034,"Baseline","CUMBERLAND",12074979.8584107,59581578.2991659
2035,"Baseline","CUMBERLAND",12081479.1195046,59606893.9180975
2036,"Baseline","CUMBERLAND",12087978.3805985,59632209.5370291
2037,"Baseline","CUMBERLAND",12094477.6416924,59657525.1559607
2038,"Baseline","CUMBERLAND",12100976.9027863,59682840.7748923
2039,"Baseline","CUMBERLAND",12107476.1638802,59708156.3938239
2040,"Baseline","CUMBERLAND",12113975.4249741,59733472.0127555
2041,"Baseline","CUMBERLAND",12120474.686068,59758787.6316871
2042,"Baseline","CUMBERLAND",12126973.9471619,59784103.2506188
2043,"Baseline","CUMBERLAND",12133473.2082558,59809418.8695504
2044,"Baseline","CUMBERLAND",12139972.4693497,59834734.488482
2045,"Baseline","CUMBERLAND",12146471.7304436,59860050.1074136
2046,"Baseline","CUMBERLAND",12152970.9915375,59885365.7263452
2047,"Baseline","CUMBERLAND",12159470.2526314,59910681.3452768
2048,"Baseline","CUMBERLAND",12165969.5137253,59935996.9642084
2049,"Baseline","CUMBERLAND",12172468.7748192,59961312.58314
2050,"Baseline","CUMBERLAND",12178968.0359131,59986628.2020716
2051,"Baseline","CUMBERLAND",12185467.297007,60011943.8210033
2052,"Baseline","CUMBERLAND",12191966.5581009,60037259.4399349
2053,"Baseline","CUMBERLAND",12198465.8191948,60062575.0588665
2054,"Baseline","CUMBERLAND",12204965.0802887,60087890.6777981
2055,"Baseline","CUMBERLAND",12211464.3413826,60113206.2967298
2056,"Baseline","CUMBERLAND",12217963.6024765,60138521.9156613
2057,"Baseline","CUMBERLAND",12224462.8635703,60163837.534593
2058,"Baseline","CUMBERLAND",12230962.1246642,60189153.1535245
2059,"Baseline","CUMBERLAND",12237461.3857581,60214468.7724562
2060,"Baseline","CUMBERLAND",12243960.646852,60239784.3913878
2061,"Baseline","CUMBERLAND",12250459.9079459,60265100.0103194
2062,"Baseline","CUMBERLAND",12256959.1690398,60290415.629251
2063,"Baseline","CUMBERLAND",12263458.4301337,60315731.2481826
2064,"Baseline","CUMBERLAND",12269957.6912276,60341046.8671143
2065,"Baseline","CUMBERLAND",12276456.9523215,60366362.4860459
2066,"Baseline","CUMBERLAND",12282956.2134154,60391678.1049775
2067,"Baseline","CUMBERLAND",12289455.4745093,60416993.7239091
2068,"Baseline","CUMBERLAND",12295954.7356032,60442309.3428407
2069,"Baseline","CUMBERLAND",12302453.9966971,60467624.9617723
2070,"Baseline","CUMBERLAND",12308953.257791,60492940.5807039
2071,"Baseline","CUMBERLAND",12315452.5188849,60518256.1996355
2072,"Baseline","CUMBERLAND",12321951.7799788,60543571.8185671
2073,"Baseline","CUMBERLAND",12328451.0410727,60568887.4374988
2074,"Baseline","CUMBERLAND",12334950.3021666,60594203.0564304
2075,"Baseline","CUMBERLAND",12341449.5632605,60619518.675362
2076,"Baseline","CUMBERLAND",12347948.8243544,60644834.2942936
2077,"Baseline","CUMBERLAND",12354448.0854483,60670149.9132252
2078,"Baseline","CUMBERLAND",12360947.3465422,60695465.5321569
2079,"Baseline","CUMBERLAND",12367446.607636,60720781.1510885
2080,"Baseline","CUMBERLAND",12373945.8687299,60746096.7700201
2081,"Baseline","CUMBERLAND",12380445.1298238,60771412.3889517
2082,"Baseline","CUMBERLAND",12386944.3909177,60796728.0078833
2083,"Baseline","CUMBERLAND",12393443.6520116,60822043.6268149
2084,"Baseline","CUMBERLAND",12399942.9131055,60847359.2457465
2085,"Baseline","CUMBERLAND",12406442.1741994,60872674.8646781
2086,"Baseline","CUMBERLAND",12412941.4352933,60897990.4836098
2087,"Baseline","CUMBERLAND",12419440.6963872,60923306.1025414
2088,"Baseline","CUMBERLAND",12425939.9574811,60948621.721473
2089,"Baseline","CUMBERLAND",12432439.218575,60973937.3404046
2090,"Baseline","CUMBERLAND",12438938.4796689,60999252.9593362
2091,"Baseline","CUMBERLAND",12445437.7407628,61024568.5782678
2092,"Baseline","CUMBERLAND",12451937.0018567,61049884.1971994
2093,"Baseline","CUMBERLAND",12458436.2629506,61075199.816131
2094,"Baseline","CUMBERLAND",12464935.5240445,61100515.4350627
2095,"Baseline","CUMBERLAND",12471434.7851384,61125831.0539943
