"Year","Scenario","County","Pred_Lobster_Pounds","Pred_Lobster_Value"
2020,"Baseline","HANCOCK",33123883.6914702,153654660.4068
2021,"Baseline","HANCOCK",33198608.162172,153933525.941542
2022,"Baseline","HANCOCK",33273332.6328737,154212391.476285
2023,"Baseline","HANCOCK",33348057.1035754,154491257.011027
2024,"Baseline","HANCOCK",33422781.5742771,154770122.545769
2025,"Baseline","HANCOCK",33497506.0449789,155048988.080511
2026,"Baseline","HANCOCK",33572230.5156806,155327853.615253
2027,"Baseline","HANCOCK",33646954.9863823,155606719.149996
2028,"Baseline","HANCOCK",33721679.457084,155885584.684738
2029,"Baseline","HANCOCK",33796403.9277857,156164450.21948
2030,"Baseline","HANCOCK",33871128.3984874,156443315.754222
2031,"Baseline","HANCOCK",33945852.8691892,156722181.288964
2032,"Baseline","HANCOCK",34020577.3398909,157001046.823707
2033,"Baseline","HANCOCK",34095301.8105926,157279912.358449
2034,"Baseline","HANCOCK",34170026.2812943,157558777.893191
2035,"Baseline","HANCOCK",34244750.7519961,157837643.427933
2036,"Baseline","HANCOCK",34319475.2226978,158116508.962675
2037,"Baseline","HANCOCK",34394199.6933995,158395374.497417
2038,"Baseline","HANCOCK",34468924.1641012,158674240.03216
2039,"Baseline","HANCOCK",34543648.634803,158953105.566902
2040,"Baseline","HANCOCK",34618373.1055047,159231971.101644
2041,"Baseline","HANCOCK",34693097.5762064,159510836.636386
2042,"Baseline","HANCOCK",34767822.0469081,159789702.171128
2043,"Baseline","HANCOCK",34842546.5176098,160068567.70587
2044,"Baseline","HANCOCK",34917270.9883115,160347433.240613
2045,"Baseline","HANCOCK",34991995.4590133,160626298.775355
2046,"Baseline","HANCOCK",35066719.929715,160905164.310097
2047,"Baseline","HANCOCK",35141444.4004167,161184029.844839
2048,"Baseline","HANCOCK",35216168.8711184,161462895.379581
2049,"Baseline","HANCOCK",35290893.3418202,161741760.914324
2050,"Baseline","HANCOCK",35365617.8125219,162020626.449066
2051,"Baseline","HANCOCK",35440342.2832236,162299491.983808
2052,"Baseline","HANCOCK",35515066.7539253,162578357.51855
2053,"Baseline","HANCOCK",35589791.2246271,162857223.053292
2054,"Baseline","HANCOCK",35664515.6953288,163136088.588034
2055,"Baseline","HANCOCK",35739240.1660305,163414954.122777
2056,"Baseline","HANCOCK",35813964.6367322,163693819.657519
2057,"Baseline","HANCOCK",35888689.1074339,163972685.192261
2058,"Baseline","HANCOCK",35963413.5781356,164251550.727003
2059,"Baseline","HANCOCK",36038138.0488374,164530416.261745
2060,"Baseline","HANCOCK",36112862.5195391,164809281.796488
2061,"Baseline","HANCOCK",36187586.9902408,165088147.33123
2062,"Baseline","HANCOCK",36262311.4609425,165367012.865972
2063,"Baseline","HANCOCK",36337035.9316443,165645878.400714
2064,"Baseline","HANCOCK",36411760.402346,165924743.935456
2065,"Baseline","HANCOCK",36486484.8730477,166203609.470198
2066,"Baseline","HANCOCK",36561209.3437494,166482475.004941
2067,"Baseline","HANCOCK",36635933.8144512,166761340.539683
2068,"Baseline","HANCOCK",36710658.2851529,167040206.074425
2069,"Baseline","HANCOCK",36785382.7558546,167319071.609167
2070,"Baseline","HANCOCK",36860107.2265563,167597937.143909
2071,"Baseline","HANCOCK",36934831.697258,167876802.678652
2072,"Baseline","HANCOCK",37009556.1679597,168155668.213394
2073,"Baseline","HANCOCK",37084280.6386615,168434533.748136
2074,"Baseline","HANCOCK",37159005.1093632,168713399.282878
2075,"Baseline","HANCOCK",37233729.5800649,168992264.81762
2076,"Baseline","HANCOCK",37308454.0507666,169271130.352362
2077,"Baseline","HANCOCK",37383178.5214684,169549995.887105
2078,"Baseline","HANCOCK",37457902.9921701,169828861.421847
2079,"Baseline","HANCOCK",37532627.4628718,170107726.956589
2080,"Baseline","HANCOCK",37607351.9335735,170386592.491331
2081,"Baseline","HANCOCK",37682076.4042753,170665458.026073
2082,"Baseline","HANCOCK",37756800.874977,170944323.560816
2083,"Baseline","HANCOCK",37831525.3456787,171223189.095558
2084,"Baseline","HANCOCK",37906249.8163804,171502054.6303
2085,"Baseline","HANCOCK",37980974.2870821,171780920.165042
2086,"Baseline","HANCOCK",38055698.7577839,172059785.699784
2087,"Baseline","HANCOCK",38130423.2284856,172338651.234526
2088,"Baseline","HANCOCK",38205147.6991873,172617516.769269
2089,"Baseline","HANCOCK",38279872.169889,172896382.304011
2090,"Baseline","HANCOCK",38354596.6405907,173175247.838753
2091,"Baseline","HANCOCK",38429321.1112925,173454113.373495
2092,"Baseline","HANCOCK",38504045.5819942,173732978.908237
2093,"Baseline","HANCOCK",38578770.0526959,174011844.44298
2094,"Baseline","HANCOCK",38653494.5233976,174290709.977722
2095,"Baseline","HANCOCK",38728218.9940994,174569575.512464
2096,"Baseline","HANCOCK",38802943.4648011,174848441.047206
2097,"Baseline","HANCOCK",38877667.9355028,175127306.581948
2098,"Baseline","HANCOCK",38952392.4062045,175406172.11669
2099,"Baseline","HANCOCK",39027116.8769062,175685037.651433
2100,"Baseline","HANCOCK",39101841.347608,175963903.186175
2020,"SLR_Low","HANCOCK",33123883.6914702,153654660.4068
2021,"SLR_Low","HANCOCK",33198109.6398948,153937547.635671
2022,"SLR_Low","HANCOCK",33271338.5437651,154228478.252799
2023,"SLR_Low","HANCOCK",33343570.4030811,154527452.258184
2024,"SLR_Low","HANCOCK",33414805.2178428,154834469.651826
2025,"SLR_Low","HANCOCK",33485042.9880501,155149530.433725
2026,"SLR_Low","HANCOCK",33554283.7137032,155472634.603882
2027,"SLR_Low","HANCOCK",33622527.394802,155803782.162295
2028,"SLR_Low","HANCOCK",33689774.0313465,156142973.108966
2029,"SLR_Low","HANCOCK",33756023.6233367,156490207.443893
2030,"SLR_Low","HANCOCK",33821276.1707726,156845485.167078
2031,"SLR_Low","HANCOCK",33885531.6736543,157208806.27852
