"Year","Scenario","County","Pred_Lobster_Pounds","Pred_Lobster_Value"
2020,"Baseline","knox",29512901.8850266,145775554.778958
2021,"Baseline","knox",29490204.9688248,145719880.422323
2022,"Baseline","knox",29467508.052623,145664206.065689
2023,"Baseline","knox",29444811.1364211,145608531.709054
2024,"Baseline","knox",29422114.2202193,145552857.35242
2025,"Baseline","knox",29399417.3040175,145497182.995786
2026,"Baseline","knox",29376720.3878157,145441508.639151
2027,"Baseline","knox",29354023.4716138,145385834.282517
2028,"Baseline","knox",29331326.555412,145330159.925882
2029,"Baseline","knox",29308629.6392102,145274485.569248
2030,"Baseline","knox",29285932.7230084,145218811.212613
2031,"Baseline","knox",29263235.8068066,145163136.855979
2032,"Baseline","knox",29240538.8906047,145107462.499344
2033,"Baseline","knox",29217841.9744029,145051788.14271
2034,"Baseline","knox",29195145.0582011,144996113.786076
2035,"Baseline","knox",29172448.1419993,144940439.429441
2036,"Baseline","knox",29149751.2257975,144884765.072807
2037,"Baseline","knox",29127054.3095956,144829090.716172
2038,"Baseline","knox",29104357.3933938,144773416.359538
2039,"Baseline","knox",29081660.477192,144717742.002903
2040,"Baseline","knox",29058963.5609902,144662067.646269
2041,"Baseline","knox",29036266.6447883,144606393.289634
2042,"Baseline","knox",29013569.7285866,144550718.933
2043,"Baseline","knox",28990872.8123847,144495044.576366
2044,"Baseline","knox",28968175.8961829,144439370.219731
2045,"Baseline","knox",28945478.9799811,144383695.863097
2046,"Baseline","knox",28922782.0637793,144328021.506462
2047,"Baseline","knox",28900085.1475774,144272347.149828
2048,"Baseline","knox",28877388.2313756,144216672.793193
2049,"Baseline","knox",28854691.3151738,144160998.436559
2050,"Baseline","knox",28831994.3989719,144105324.079924
2051,"Baseline","knox",28809297.4827701,144049649.72329
2052,"Baseline","knox",28786600.5665683,143993975.366656
2053,"Baseline","knox",28763903.6503665,143938301.010021
2054,"Baseline","knox",28741206.7341647,143882626.653387
2055,"Baseline","knox",28718509.8179629,143826952.296752
2056,"Baseline","knox",28695812.901761,143771277.940118
2057,"Baseline","knox",28673115.9855592,143715603.583483
2058,"Baseline","knox",28650419.0693574,143659929.226849
2059,"Baseline","knox",28627722.1531556,143604254.870214
2060,"Baseline","knox",28605025.2369538,143548580.51358
2061,"Baseline","knox",28582328.3207519,143492906.156946
2062,"Baseline","knox",28559631.4045501,143437231.800311
2063,"Baseline","knox",28536934.4883483,143381557.443677
2064,"Baseline","knox",28514237.5721465,143325883.087042
2065,"Baseline","knox",28491540.6559446,143270208.730408
2066,"Baseline","knox",28468843.7397428,143214534.373773
2067,"Baseline","knox",28446146.823541,143158860.017139
2068,"Baseline","knox",28423449.9073392,143103185.660504
2069,"Baseline","knox",28400752.9911374,143047511.30387
2070,"Baseline","knox",28378056.0749355,142991836.947235
2071,"Baseline","knox",28355359.1587337,142936162.590601
2072,"Baseline","knox",28332662.2425319,142880488.233967
2073,"Baseline","knox",28309965.3263301,142824813.877332
2074,"Baseline","knox",28287268.4101283,142769139.520698
2075,"Baseline","knox",28264571.4939264,142713465.164063
2076,"Baseline","knox",28241874.5777246,142657790.807429
2077,"Baseline","knox",28219177.6615228,142602116.450794
2078,"Baseline","knox",28196480.745321,142546442.09416
2079,"Baseline","knox",28173783.8291191,142490767.737525
2080,"Baseline","knox",28151086.9129173,142435093.380891
2081,"Baseline","knox",28128389.9967155,142379419.024257
2082,"Baseline","knox",28105693.0805137,142323744.667622
2083,"Baseline","knox",28082996.1643119,142268070.310988
2084,"Baseline","knox",28060299.24811,142212395.954353
2085,"Baseline","knox",28037602.3319082,142156721.597719
2086,"Baseline","knox",28014905.4157064,142101047.241084
2087,"Baseline","knox",27992208.4995046,142045372.88445
2088,"Baseline","knox",27969511.5833027,141989698.527815
2089,"Baseline","knox",27946814.6671009,141934024.171181
2090,"Baseline","knox",27924117.7508991,141878349.814547
2091,"Baseline","knox",27901420.8346973,141822675.457912
2092,"Baseline","knox",27878723.9184954,141767001.101278
2093,"Baseline","knox",27856027.0022936,141711326.744643
2094,"Baseline","knox",27833330.0860918,141655652.388009
2095,"Baseline","knox",27810633.16989,141599978.031374
2096,"Baseline","knox",27787936.2536882,141544303.67474
2097,"Baseline","knox",27765239.3374863,141488629.318105
2098,"Baseline","knox",27742542.4212845,141432954.961471
2099,"Baseline","knox",27719845.5050827,141377280.604837
2100,"Baseline","knox",27697148.5888809,141321606.248202
2020,"SLR_Low","knox",29440370.6642807,145638492.847273
2021,"SLR_Low","knox",29443784.9875474,145632160.786045
2022,"SLR_Low","knox",29441396.8131544,145614863.770282
2023,"SLR_Low","knox",29433206.1411018,145586601.799985
2024,"SLR_Low","knox",29419212.9713895,145547374.875153
2025,"SLR_Low","knox",29399417.3040175,145497182.995786
2026,"SLR_Low","knox",29373819.1389858,145436026.161884
2027,"SLR_Low","knox",29342418.4762945,145363904.373447
2028,"SLR_Low","knox",29305215.3159435,145280817.630476
2029,"SLR_Low","knox",29262209.6579328,145186765.93297
2030,"SLR_Low","knox",29213401.5022624,145081749.280929
2031,"SLR_Low","knox",29158790.8489324,144965767.674353
2032,"SLR_Low","knox",29098377.6979427,144838821.113243
2033,"SLR_Low","knox",29032162.0492933,144700909.597598
2034,"SLR_Low","knox",28960143.9029842,144552033.127418
2035,"SLR_Low","knox",28882323.2590155,144392191.702703
2036,"SLR_Low","knox",28798700.117387,144221385.323453
2037,"SLR_Low","knox",28709274.478099,144039613.989669
2038,"SLR_Low","knox",28614046.3411512,143846877.70135
2039,"SLR_Low","knox",28513015.7065438,143643176.458496
2040,"SLR_Low","knox",28406182.5742766,143428510.261108
2041,"SLR_Low","knox",28293546.9443498,143202879.109184
2042,"SLR_Low","knox",28175108.8167634,142966283.002726
2043,"SLR_Low","knox",28050868.1915172,142718721.941733
2044,"SLR_Low","knox",27920825.0686114,142460195.926206
2045,"SLR_Low","knox",27784979.4480459,142190704.956143
2046,"SLR_Low","knox",27643331.3298207,141910249.031546
2047,"SLR_Low","knox",27495880.7139359,141618828.152414
2048,"SLR_Low","knox",27342627.6003913,141316442.318748
2049,"SLR_Low","knox",27183571.9891871,141003091.530546
2050,"SLR_Low","knox",27018713.8803232,140678775.78781
2051,"SLR_Low","knox",26848053.2737997,140343495.090539
2052,"SLR_Low","knox",26671590.1696164,139997249.438733
2053,"SLR_Low","knox",26489324.5677735,139640038.832393
2054,"SLR_Low","knox",26301256.4682709,139271863.271517
2055,"SLR_Low","knox",26107385.8711087,138892722.756107
2056,"SLR_Low","knox",25907712.7762867,138502617.286163
2057,"SLR_Low","knox",25702237.1838051,138101546.861683
2058,"SLR_Low","knox",25490959.0936638,137689511.482669
2059,"SLR_Low","knox",25273878.5058629,137266511.14912
2060,"SLR_Low","knox",25050995.4204022,136832545.861036
2061,"SLR_Low","knox",24822309.8372819,136387615.618417
2062,"SLR_Low","knox",24587821.7565019,135931720.421264
2063,"SLR_Low","knox",24347531.1780622,135464860.269575
2064,"SLR_Low","knox",24101438.1019629,134987035.163352
2065,"SLR_Low","knox",23849542.5282038,134498245.102595
2066,"SLR_Low","knox",23591844.4567852,133998490.087302
2067,"SLR_Low","knox",23328343.8877068,133487770.117475
2068,"SLR_Low","knox",23059040.8209687,132966085.193113
2069,"SLR_Low","knox",22783935.256571,132433435.314216
2070,"SLR_Low","knox",22503027.1945136,131889820.480785
2071,"SLR_Low","knox",22216316.6347965,131335240.692818
2072,"SLR_Low","knox",21923803.5774197,130769695.950317
2073,"SLR_Low","knox",21625488.0223833,130193186.253282
2074,"SLR_Low","knox",21321369.9696872,129605711.601711
2075,"SLR_Low","knox",21011449.4193314,129007271.995606
