"Year","Scenario","County","Pred_Lobster_Pounds","Pred_Lobster_Value"
2020,"Baseline","not-specified",-48659.819304939,-188314.883142776
2021,"Baseline","not-specified",-48975.6107838029,-189595.263857092
2022,"Baseline","not-specified",-49291.4022626678,-190875.644571412
2023,"Baseline","not-specified",-49607.1937415317,-192156.025285728
2024,"Baseline","not-specified",-49922.9852203928,-193436.406000033
2025,"Baseline","not-specified",-50238.7766992577,-194716.786714352
2026,"Baseline","not-specified",-50554.5681781225,-195997.167428668
2027,"Baseline","not-specified",-50870.3596569864,-197277.548142988
2028,"Baseline","not-specified",-51186.1511358503,-198557.928857304
2029,"Baseline","not-specified",-51501.9426147133,-199838.309571612
2030,"Baseline","not-specified",-51817.7340935782,-201118.690285932
2031,"Baseline","not-specified",-52133.5255724412,-202399.071000244
2032,"Baseline","not-specified",-52449.3170513051,-203679.45171456
2033,"Baseline","not-specified",-52765.1085301681,-204959.832428868
2034,"Baseline","not-specified",-53080.900009032,-206240.213143188
2035,"Baseline","not-specified",-53396.6914878968,-207520.593857504
2036,"Baseline","not-specified",-53712.4829667617,-208800.974571824
2037,"Baseline","not-specified",-54028.2744456256,-210081.355286143
2038,"Baseline","not-specified",-54344.0659244867,-211361.736000441
2039,"Baseline","not-specified",-54659.8574033516,-212642.11671476
2040,"Baseline","not-specified",-54975.6488822155,-213922.49742908
2041,"Baseline","not-specified",-55291.4403610785,-215202.878143396
2042,"Baseline","not-specified",-55607.2318399415,-216483.258857708
2043,"Baseline","not-specified",-55923.0233188063,-217763.63957202
2044,"Baseline","not-specified",-56238.8147976711,-219044.02028634
2045,"Baseline","not-specified",-56554.6062765341,-220324.401000652
2046,"Baseline","not-specified",-56870.3977553962,-221604.78171496
2047,"Baseline","not-specified",-57186.1892342601,-222885.16242928
2048,"Baseline","not-specified",-57501.9807131259,-224165.543143596
2049,"Baseline","not-specified",-57817.7721919898,-225445.923857912
2050,"Baseline","not-specified",-58133.5636708547,-226726.304572232
2051,"Baseline","not-specified",-58449.3551497167,-228006.685286544
2052,"Baseline","not-specified",-58765.1466285797,-229287.066000852
2053,"Baseline","not-specified",-59080.9381074436,-230567.446715172
2054,"Baseline","not-specified",-59396.7295863085,-231847.827429492
2055,"Baseline","not-specified",-59712.5210651714,-233128.208143796
2056,"Baseline","not-specified",-60028.3125440354,-234408.588858116
2057,"Baseline","not-specified",-60344.1040229002,-235688.969572432
2058,"Baseline","not-specified",-60659.8955017641,-236969.350286748
2059,"Baseline","not-specified",-60975.6869806253,-238249.731001056
2060,"Baseline","not-specified",-61291.4784594892,-239530.111715376
2061,"Baseline","not-specified",-61607.2699383549,-240810.492429692
2062,"Baseline","not-specified",-61923.0614172189,-242090.873144008
2063,"Baseline","not-specified",-62238.8528960837,-243371.253858327
2064,"Baseline","not-specified",-62554.6443749458,-244651.634572636
2065,"Baseline","not-specified",-62870.4358538106,-245932.015286956
2066,"Baseline","not-specified",-63186.2273326736,-247212.396001264
2067,"Baseline","not-specified",-63502.0188115375,-248492.77671558
2068,"Baseline","not-specified",-63817.8102904005,-249773.157429892
2069,"Baseline","not-specified",-64133.6017692644,-251053.538144208
2070,"Baseline","not-specified",-64449.3932481293,-252333.918858528
2071,"Baseline","not-specified",-64765.1847269923,-253614.299572847
2072,"Baseline","not-specified",-65080.976205858,-254894.68028716
2073,"Baseline","not-specified",-65396.7676847192,-256175.061001464
2074,"Baseline","not-specified",-65712.559163584,-257455.441715784
2075,"Baseline","not-specified",-66028.3506424479,-258735.8224301
2076,"Baseline","not-specified",-66344.1421213118,-260016.203144419
2077,"Baseline","not-specified",-66659.9336001739,-261296.583858728
2078,"Baseline","not-specified",-66975.7250790387,-262576.964573044
2079,"Baseline","not-specified",-67291.5165579036,-263857.345287364
2080,"Baseline","not-specified",-67607.3080367675,-265137.726001683
2081,"Baseline","not-specified",-67923.0995156286,-266418.106715984
2082,"Baseline","not-specified",-68238.8909944926,-267698.4874303
2083,"Baseline","not-specified",-68554.6824733574,-268978.868144616
2084,"Baseline","not-specified",-68870.4739522223,-270259.248858936
2085,"Baseline","not-specified",-69186.2654310871,-271539.629573255
2086,"Baseline","not-specified",-69502.0569099492,-272820.010287564
2087,"Baseline","not-specified",-69817.848388814,-274100.39100188
2088,"Baseline","not-specified",-70133.6398676761,-275380.771716196
2089,"Baseline","not-specified",-70449.4313465409,-276661.152430512
2090,"Baseline","not-specified",-70765.222825403,-277941.533144824
2091,"Baseline","not-specified",-71081.0143042678,-279221.91385914
2092,"Baseline","not-specified",-71396.8057831327,-280502.294573452
2093,"Baseline","not-specified",-71712.5972619966,-281782.675287772
