"Year","COUNTY","GISJOIN","STATE","STATEFP","STATENH","COUNTYFP","COUNTYNH","Population"
1950,"Androscoggin County","G2300010","Maine",23,230,1,10,83594
1951,"Androscoggin County",NA,NA,NA,NA,NA,NA,83865.8
1952,"Androscoggin County",NA,NA,NA,NA,NA,NA,84137.6
1953,"Androscoggin County",NA,NA,NA,NA,NA,NA,84409.4
1954,"Androscoggin County",NA,NA,NA,NA,NA,NA,84681.2
1955,"Androscoggin County",NA,NA,NA,NA,NA,NA,84953
1956,"Androscoggin County",NA,NA,NA,NA,NA,NA,85224.8
1957,"Androscoggin County",NA,NA,NA,NA,NA,NA,85496.6
1958,"Androscoggin County",NA,NA,NA,NA,NA,NA,85768.4
1959,"Androscoggin County",NA,NA,NA,NA,NA,NA,86040.2
1960,"Androscoggin County","G2300010","Maine",23,230,1,10,86312
1961,"Androscoggin County",NA,NA,NA,NA,NA,NA,86808.7
1962,"Androscoggin County",NA,NA,NA,NA,NA,NA,87305.4
1963,"Androscoggin County",NA,NA,NA,NA,NA,NA,87802.1
1964,"Androscoggin County",NA,NA,NA,NA,NA,NA,88298.8
1965,"Androscoggin County",NA,NA,NA,NA,NA,NA,88795.5
1966,"Androscoggin County",NA,NA,NA,NA,NA,NA,89292.2
1967,"Androscoggin County",NA,NA,NA,NA,NA,NA,89788.9
1968,"Androscoggin County",NA,NA,NA,NA,NA,NA,90285.6
1969,"Androscoggin County",NA,NA,NA,NA,NA,NA,90782.3
1970,"Androscoggin County","G2300010","Maine",23,230,1,10,91279
1971,"Androscoggin County",NA,NA,NA,NA,NA,NA,92116.8
1972,"Androscoggin County",NA,NA,NA,NA,NA,NA,92954.6
1973,"Androscoggin County",NA,NA,NA,NA,NA,NA,93792.4
1974,"Androscoggin County",NA,NA,NA,NA,NA,NA,94630.2
1975,"Androscoggin County",NA,NA,NA,NA,NA,NA,95468
1976,"Androscoggin County",NA,NA,NA,NA,NA,NA,96305.8
1977,"Androscoggin County",NA,NA,NA,NA,NA,NA,97143.6
1978,"Androscoggin County",NA,NA,NA,NA,NA,NA,97981.4
1979,"Androscoggin County",NA,NA,NA,NA,NA,NA,98819.2
1980,"Androscoggin County","G2300010","Maine",23,230,1,10,99657
1981,"Androscoggin County",NA,NA,NA,NA,NA,NA,100217.2
1982,"Androscoggin County",NA,NA,NA,NA,NA,NA,100777.4
1983,"Androscoggin County",NA,NA,NA,NA,NA,NA,101337.6
1984,"Androscoggin County",NA,NA,NA,NA,NA,NA,101897.8
1985,"Androscoggin County",NA,NA,NA,NA,NA,NA,102458
1986,"Androscoggin County",NA,NA,NA,NA,NA,NA,103018.2
1987,"Androscoggin County",NA,NA,NA,NA,NA,NA,103578.4
1988,"Androscoggin County",NA,NA,NA,NA,NA,NA,104138.6
1989,"Androscoggin County",NA,NA,NA,NA,NA,NA,104698.8
1990,"Androscoggin County","G2300010","Maine",23,230,1,10,105259
1991,"Androscoggin County",NA,NA,NA,NA,NA,NA,105112.4
