"Year","COUNTY","Population"
1950,"Androscoggin County",83594
1951,"Androscoggin County",83865.8
1952,"Androscoggin County",84137.6
1953,"Androscoggin County",84409.4
1954,"Androscoggin County",84681.2
1955,"Androscoggin County",84953
1956,"Androscoggin County",85224.8
1957,"Androscoggin County",85496.6
1958,"Androscoggin County",85768.4
1959,"Androscoggin County",86040.2
1960,"Androscoggin County",86312
1961,"Androscoggin County",86808.7
1962,"Androscoggin County",87305.4
1963,"Androscoggin County",87802.1
1964,"Androscoggin County",88298.8
1965,"Androscoggin County",88795.5
1966,"Androscoggin County",89292.2
1967,"Androscoggin County",89788.9
1968,"Androscoggin County",90285.6
1969,"Androscoggin County",90782.3
1970,"Androscoggin County",91279
1971,"Androscoggin County",92116.8
1972,"Androscoggin County",92954.6
1973,"Androscoggin County",93792.4
1974,"Androscoggin County",94630.2
1975,"Androscoggin County",95468
1976,"Androscoggin County",96305.8
1977,"Androscoggin County",97143.6
1978,"Androscoggin County",97981.4
1979,"Androscoggin County",98819.2
1980,"Androscoggin County",99657
1981,"Androscoggin County",100217.2
1982,"Androscoggin County",100777.4
1983,"Androscoggin County",101337.6
1984,"Androscoggin County",101897.8
1985,"Androscoggin County",102458
1986,"Androscoggin County",103018.2
1987,"Androscoggin County",103578.4
1988,"Androscoggin County",104138.6
1989,"Androscoggin County",104698.8
1990,"Androscoggin County",105259
1991,"Androscoggin County",105112.4
1992,"Androscoggin County",104965.8
1993,"Androscoggin County",104819.2
1994,"Androscoggin County",104672.6
1995,"Androscoggin County",104526
1996,"Androscoggin County",104379.4
1997,"Androscoggin County",104232.8
1998,"Androscoggin County",104086.2
1999,"Androscoggin County",103939.6
2000,"Androscoggin County",103793
2001,"Androscoggin County",104183.9
2002,"Androscoggin County",104574.8
2003,"Androscoggin County",104965.7
2004,"Androscoggin County",105356.6
2005,"Androscoggin County",105747.5
2006,"Androscoggin County",106138.4
2007,"Androscoggin County",106529.3
2008,"Androscoggin County",106920.2
2009,"Androscoggin County",107311.1
2010,"Androscoggin County",107702
2011,"Androscoggin County",108045.7
2012,"Androscoggin County",108389.4
2013,"Androscoggin County",108733.1
2014,"Androscoggin County",109076.8
2015,"Androscoggin County",109420.5
2016,"Androscoggin County",109764.2
2017,"Androscoggin County",110107.9
2018,"Androscoggin County",110451.6
2019,"Androscoggin County",110795.3
2020,"Androscoggin County",111139
1950,"Aroostook County",96039
1951,"Aroostook County",97041.5
1952,"Aroostook County",98044
1953,"Aroostook County",99046.5
1954,"Aroostook County",100049
1955,"Aroostook County",101051.5
1956,"Aroostook County",102054
1957,"Aroostook County",103056.5
1958,"Aroostook County",104059
1959,"Aroostook County",105061.5
1960,"Aroostook County",106064
1961,"Aroostook County",104703.9
1962,"Aroostook County",103343.8
1963,"Aroostook County",101983.7
1964,"Aroostook County",100623.6
1965,"Aroostook County",99263.5
1966,"Aroostook County",97903.4
1967,"Aroostook County",96543.3
1968,"Aroostook County",95183.2
1969,"Aroostook County",93823.1
1970,"Aroostook County",92463
1971,"Aroostook County",92349.8
1972,"Aroostook County",92236.6
1973,"Aroostook County",92123.4
1974,"Aroostook County",92010.2
1975,"Aroostook County",91897
1976,"Aroostook County",91783.8
1977,"Aroostook County",91670.6
1978,"Aroostook County",91557.4
1979,"Aroostook County",91444.2
1980,"Aroostook County",91331
1981,"Aroostook County",90891.5
1982,"Aroostook County",90452
1983,"Aroostook County",90012.5
1984,"Aroostook County",89573
1985,"Aroostook County",89133.5
1986,"Aroostook County",88694
1987,"Aroostook County",88254.5
1988,"Aroostook County",87815
1989,"Aroostook County",87375.5
1990,"Aroostook County",86936
1991,"Aroostook County",85636.2
1992,"Aroostook County",84336.4
1993,"Aroostook County",83036.6
1994,"Aroostook County",81736.8
1995,"Aroostook County",80437
1996,"Aroostook County",79137.2
1997,"Aroostook County",77837.4
1998,"Aroostook County",76537.6
1999,"Aroostook County",75237.8
2000,"Aroostook County",73938
2001,"Aroostook County",73731.2
2002,"Aroostook County",73524.4
2003,"Aroostook County",73317.6
2004,"Aroostook County",73110.8
2005,"Aroostook County",72904
2006,"Aroostook County",72697.2
2007,"Aroostook County",72490.4
2008,"Aroostook County",72283.6
2009,"Aroostook County",72076.8
2010,"Aroostook County",71870
2011,"Aroostook County",71393.5
2012,"Aroostook County",70917
2013,"Aroostook County",70440.5
2014,"Aroostook County",69964
2015,"Aroostook County",69487.5
2016,"Aroostook County",69011
2017,"Aroostook County",68534.5
2018,"Aroostook County",68058
2019,"Aroostook County",67581.5
2020,"Aroostook County",67105
1950,"Cumberland County",169201
1951,"Cumberland County",170556
1952,"Cumberland County",171911
1953,"Cumberland County",173266
1954,"Cumberland County",174621
1955,"Cumberland County",175976
1956,"Cumberland County",177331
1957,"Cumberland County",178686
1958,"Cumberland County",180041
1959,"Cumberland County",181396
1960,"Cumberland County",182751
1961,"Cumberland County",183728.7
1962,"Cumberland County",184706.4
1963,"Cumberland County",185684.1
1964,"Cumberland County",186661.8
1965,"Cumberland County",187639.5
1966,"Cumberland County",188617.2
1967,"Cumberland County",189594.9
1968,"Cumberland County",190572.6
1969,"Cumberland County",191550.3
1970,"Cumberland County",192528
1971,"Cumberland County",194854.1
1972,"Cumberland County",197180.2
1973,"Cumberland County",199506.3
1974,"Cumberland County",201832.4
1975,"Cumberland County",204158.5
1976,"Cumberland County",206484.6
1977,"Cumberland County",208810.7
1978,"Cumberland County",211136.8
1979,"Cumberland County",213462.9
1980,"Cumberland County",215789
1981,"Cumberland County",218523.6
1982,"Cumberland County",221258.2
1983,"Cumberland County",223992.8
1984,"Cumberland County",226727.4
1985,"Cumberland County",229462
1986,"Cumberland County",232196.6
1987,"Cumberland County",234931.2
1988,"Cumberland County",237665.8
1989,"Cumberland County",240400.4
1990,"Cumberland County",243135
1991,"Cumberland County",245382.7
1992,"Cumberland County",247630.4
1993,"Cumberland County",249878.1
1994,"Cumberland County",252125.8
1995,"Cumberland County",254373.5
1996,"Cumberland County",256621.2
1997,"Cumberland County",258868.9
1998,"Cumberland County",261116.6
1999,"Cumberland County",263364.3
2000,"Cumberland County",265612
2001,"Cumberland County",267218.2
2002,"Cumberland County",268824.4
2003,"Cumberland County",270430.6
2004,"Cumberland County",272036.8
2005,"Cumberland County",273643
2006,"Cumberland County",275249.2
2007,"Cumberland County",276855.4
2008,"Cumberland County",278461.6
2009,"Cumberland County",280067.8
2010,"Cumberland County",281674
2011,"Cumberland County",283813.5
2012,"Cumberland County",285953
2013,"Cumberland County",288092.5
2014,"Cumberland County",290232
2015,"Cumberland County",292371.5
2016,"Cumberland County",294511
2017,"Cumberland County",296650.5
2018,"Cumberland County",298790
2019,"Cumberland County",300929.5
2020,"Cumberland County",303069
1950,"Franklin County",20682
1951,"Franklin County",20620.7
1952,"Franklin County",20559.4
1953,"Franklin County",20498.1
1954,"Franklin County",20436.8
1955,"Franklin County",20375.5
1956,"Franklin County",20314.2
1957,"Franklin County",20252.9
1958,"Franklin County",20191.6
1959,"Franklin County",20130.3
1960,"Franklin County",20069
1961,"Franklin County",20306.5
1962,"Franklin County",20544
1963,"Franklin County",20781.5
1964,"Franklin County",21019
1965,"Franklin County",21256.5
1966,"Franklin County",21494
1967,"Franklin County",21731.5
1968,"Franklin County",21969
1969,"Franklin County",22206.5
1970,"Franklin County",22444
1971,"Franklin County",22909.4
1972,"Franklin County",23374.8
1973,"Franklin County",23840.2
1974,"Franklin County",24305.6
1975,"Franklin County",24771
1976,"Franklin County",25236.4
1977,"Franklin County",25701.8
1978,"Franklin County",26167.2
1979,"Franklin County",26632.6
1980,"Franklin County",27098
1981,"Franklin County",27289
1982,"Franklin County",27480
1983,"Franklin County",27671
1984,"Franklin County",27862
1985,"Franklin County",28053
1986,"Franklin County",28244
1987,"Franklin County",28435
1988,"Franklin County",28626
1989,"Franklin County",28817
1990,"Franklin County",29008
1991,"Franklin County",29053.9
1992,"Franklin County",29099.8
1993,"Franklin County",29145.7
1994,"Franklin County",29191.6
1995,"Franklin County",29237.5
1996,"Franklin County",29283.4
1997,"Franklin County",29329.3
1998,"Franklin County",29375.2
1999,"Franklin County",29421.1
2000,"Franklin County",29467
2001,"Franklin County",29597.1
2002,"Franklin County",29727.2
2003,"Franklin County",29857.3
2004,"Franklin County",29987.4
2005,"Franklin County",30117.5
2006,"Franklin County",30247.6
2007,"Franklin County",30377.7
2008,"Franklin County",30507.8
2009,"Franklin County",30637.9
2010,"Franklin County",30768
2011,"Franklin County",30636.8
2012,"Franklin County",30505.6
2013,"Franklin County",30374.4
2014,"Franklin County",30243.2
2015,"Franklin County",30112
2016,"Franklin County",29980.8
