"Year","Scenario","Mean_Exports","Mean_Consumption"
2020,"Baseline",4707528.08813333,18.5893788333312
2020,"Extreme_Climate",4707528.08813333,18.5893788333312
2020,"Low_Climate",4707528.08813333,18.5893788333312
2020,"Moderate_Climate",4707528.08813333,18.5893788333312
2021,"Baseline",4713975.0111,18.5906278368899
2021,"Extreme_Climate",4713975.0111,18.5906278368899
2021,"Low_Climate",4713975.0111,18.5906278368899
2021,"Moderate_Climate",4713975.0111,18.5906278368899
2022,"Baseline",4713975.0111,18.5906278368899
2022,"Extreme_Climate",4713975.0111,18.5906278368899
2022,"Low_Climate",4713975.0111,18.5906278368899
2022,"Moderate_Climate",4713975.0111,18.5906278368899
2023,"Baseline",4713975.0111,18.5906278368899
2023,"Extreme_Climate",4737947.9516,18.5906278368899
2023,"Low_Climate",4737947.9516,18.5906278368899
2023,"Moderate_Climate",4737947.9516,18.5906278368899
2024,"Baseline",4737947.9516,18.5906278368899
2024,"Extreme_Climate",4737947.9516,18.5906278368899
2024,"Low_Climate",4737947.9516,18.5906278368899
2024,"Moderate_Climate",4737947.9516,18.5906278368899
2025,"Baseline",4737947.9516,18.5906278368899
2025,"Extreme_Climate",4572654.61316666,18.6708855740948
2025,"Low_Climate",4737947.9516,18.5906278368899
2025,"Moderate_Climate",4737947.9516,18.5906278368899
2026,"Baseline",4737947.9516,18.5906278368899
2026,"Extreme_Climate",4572654.61316666,18.6708855740948
2026,"Low_Climate",4572654.61316666,18.6708855740948
2026,"Moderate_Climate",4572654.61316666,18.6643706030443
2027,"Baseline",4737947.9516,18.5906278368899
2027,"Extreme_Climate",4528185.4714,18.6158419803291
2027,"Low_Climate",4572654.61316666,18.6643706030443
2027,"Moderate_Climate",4572654.61316666,18.6643706030443
2028,"Baseline",4737947.9516,18.5906278368899
2028,"Extreme_Climate",4528185.4714,18.6158419803291
2028,"Low_Climate",4572654.61316666,18.6643706030443
2028,"Moderate_Climate",4527930.0522,18.6158419803291
2029,"Baseline",4737947.9516,18.5906278368899
2029,"Extreme_Climate",4528185.4714,18.6158419803291
2029,"Low_Climate",4527930.0522,18.6158419803291
2029,"Moderate_Climate",4528185.4714,18.6158419803291
2030,"Baseline",4737947.9516,18.5906278368899
2030,"Extreme_Climate",4528185.4714,18.6158419803291
2030,"Low_Climate",4527930.0522,18.6158419803291
2030,"Moderate_Climate",4528185.4714,18.6158419803291
2031,"Baseline",4572654.61316666,18.6643706030443
2031,"Extreme_Climate",4528185.4714,18.6158419803291
2031,"Low_Climate",4528185.4714,18.6158419803291
2031,"Moderate_Climate",4528185.4714,18.6158419803291
2032,"Baseline",4572654.61316666,18.6643706030443
2032,"Extreme_Climate",4527930.0522,18.6158419803291
2032,"Low_Climate",4528185.4714,18.6158419803291
2032,"Moderate_Climate",4528185.4714,18.6158419803291
2033,"Baseline",4572654.61316666,18.6643706030443
2033,"Extreme_Climate",4527930.0522,18.6158419803291
2033,"Low_Climate",4528185.4714,18.6158419803291
2033,"Moderate_Climate",4528185.4714,18.6158419803291
2034,"Baseline",4572654.61316666,18.6643706030443
2034,"Extreme_Climate",4528185.4714,18.6158419803291
2034,"Low_Climate",4528185.4714,18.6158419803291
2034,"Moderate_Climate",4528185.4714,18.6158419803291
2035,"Baseline",4572654.61316666,18.6643706030443
2035,"Extreme_Climate",4528185.4714,18.6158419803291
2035,"Low_Climate",4528185.4714,18.6158419803291
2035,"Moderate_Climate",4528185.4714,18.6158419803291
2036,"Baseline",4572654.61316666,18.6643706030443
2036,"Extreme_Climate",4528185.4714,18.6158419803291
2036,"Low_Climate",4528185.4714,18.6158419803291
2036,"Moderate_Climate",4528185.4714,18.6158419803291
2037,"Baseline",4572654.61316666,18.6708855740948
2037,"Extreme_Climate",4528185.4714,18.6158419803291
2037,"Low_Climate",4528185.4714,18.6158419803291
2037,"Moderate_Climate",4528185.4714,18.6158419803291
2038,"Baseline",4572654.61316666,18.6643706030443
2038,"Extreme_Climate",4528185.4714,18.6158419803291
2038,"Low_Climate",4691401.6234,18.5953788333312
2038,"Moderate_Climate",4691401.6234,18.5953788333312
2039,"Baseline",4528185.4714,18.6158419803291
2039,"Extreme_Climate",4528185.4714,18.6158419803291
2039,"Low_Climate",4691401.6234,18.5953788333312
2039,"Moderate_Climate",4528185.4714,18.6158419803291
2040,"Baseline",4528185.4714,18.6158419803291
2040,"Extreme_Climate",4528185.4714,18.6158419803291
2040,"Low_Climate",4528185.4714,18.6158419803291
2040,"Moderate_Climate",4528185.4714,18.6158419803291
