"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",174796.183032589,13268290.2973464,0.956212527622069,0.271622466883912
"Consumption Model",0.0993028806910286,0.081654988761895,0.998585064289989,0.999222342393842
"Exports Model",101094.561876153,44752.2622871995,0.997044209939702,0.999513748545965
"Landings Model",174796.183032589,13268290.2973464,0.956212527622069,0.271622466883912
"Consumption Model",0.0993028806910286,0.081654988761895,0.998585064289989,0.999222342393842
"Exports Model",101094.561876153,44752.2622871995,0.997044209939702,0.999513748545965
"Landings Model",174796.183032589,13268290.2973464,0.956212527622069,0.271622466883912
"Consumption Model",0.0993028806910286,0.081654988761895,0.998585064289989,0.999222342393842
"Exports Model",101094.561876153,44752.2622871995,0.997044209939702,0.999513748545965
"Market Value Model",0.00219550871484322,0.00194131057708644,0.999596584447614,0.999752675592738
"Landings Model",174796.183032589,13268290.2973464,0.956212527622069,0.271622466883912
"Consumption Model",0.0993028806910286,0.081654988761895,0.998585064289989,0.999222342393842
"Exports Model",101094.561876153,44752.2622871995,0.997044209939702,0.999513748545965
"Market Value Model",0.00219550871484322,0.00194131057708644,0.999596584447614,0.999752675592738
"Landings Model",174796.183032589,13268290.2973464,0.956212527622069,0.271622466883912
"Consumption Model",0.0993028806910286,0.081654988761895,0.998585064289989,0.999222342393842
"Exports Model",101094.561876153,44752.2622871995,0.997044209939702,0.999513748545965
"Market Value Model",0.00219550871484322,0.00194131057708644,0.999596584447614,0.999752675592738
"Blue Economy Model",119445.599537354,14692.4995960943,0.89284088000664,0.995430004830539
"Landings Model",174796.183032589,13268290.2973464,0.956212527622069,0.271622466883912
"Consumption Model",0.0993028806910286,0.081654988761895,0.998585064289989,0.999222342393842
"Exports Model",101094.561876153,44752.2622871995,0.997044209939702,0.999513748545965
"Market Value Model",0.00219550871484322,0.00194131057708644,0.999596584447614,0.999752675592738
"Blue Economy Model",114729.515143264,7739.51596106884,0.902550446476023,0.998776636350437
"Landings Model",174796.183032589,13268290.2973464,0.956212527622069,0.271622466883912
"Landings Model",179332.976028018,13270623.5101322,0.953703149908424,0.257830588785781
"Consumption Model",0.0863556794604804,0.130182832775446,0.998958457881851,0.997692395899722
"Exports Model",102073.831326082,49820.3874786405,0.997054880316977,0.999342496724841
"Market Value Model",0.00223044275467563,0.00176905259182253,0.99959002956618,0.999784462201438
"Blue Economy Model",124526.849931856,46949.6416896542,0.881254581807168,0.947879528616314
"Landings Model",179332.976028018,13270623.5101322,0.953703149908424,0.257830588785781
"Consumption Model",0.0863556794604804,0.130182832775446,0.998958457881851,0.997692395899722
"Exports Model",102073.831326082,49820.3874786405,0.997054880316977,0.999342496724841
"Market Value Model",0.00223044275467563,0.00176905259182253,0.99959002956618,0.999784462201438
"Blue Economy Model",105765.127101093,20268.7500487511,0.920083732659431,0.990769649588042
"Landings Model",179332.976028018,13270623.5101322,0.953703149908424,0.257830588785781
"Consumption Model",0.0863556794604804,0.130182832775446,0.998958457881851,0.997692395899722
"Exports Model",57905.5499293872,32782.337220604,0.999017829902781,0.999726843573568
"Market Value Model",0.00163203288582932,0.00231540422949446,0.999779481104867,0.999513220214887
"Blue Economy Model",117521.166959372,54473.2710590244,0.895886356467872,0.935054416102017
"Landings Model",179332.976028018,13270623.5101322,0.953703149908424,0.257830588785781
"Consumption Model",0.0863556794604804,0.130182832775446,0.998958457881851,0.997692395899722
"Exports Model",57905.5499293872,32782.337220604,0.999017829902781,0.999726843573568
"Market Value Model",0.00171500981489913,0.00267516435969532,0.999757394572542,0.999345608248483
"Blue Economy Model",118731.025022857,28531.9698104242,0.892254464248842,0.98382638878265
"Landings Model",179332.976028018,13270623.5101322,0.953703149908424,0.257830588785781
"Consumption Model",0.0863556794604804,0.130182832775446,0.998958457881851,0.997692395899722
"Exports Model",57905.5499293872,32782.337220604,0.999017829902781,0.999726843573568
"Market Value Model",0.00171500981489913,0.00267516435969532,0.999757394572542,0.999345608248483
"Blue Economy Model",118731.025022857,28531.9698104242,0.892254464248842,0.98382638878265
"Landings Model",179332.976028018,13270623.5101322,0.953703149908424,0.257830588785781
"Consumption Model",0.0863556794604804,0.130182832775446,0.998958457881851,0.997692395899722
"Exports Model",57905.5499293872,32782.337220604,0.999017829902781,0.999726843573568
"Market Value Model",0.00182858800800852,0.00235134836388559,0.99972484457391,0.999495498522721
"Blue Economy Model",116781.960229377,32415.5027890933,0.895478778653161,0.982615430480602
"Landings Model",179332.976028018,13270623.5101322,0.953703149908424,0.257830588785781
"Consumption Model",0.0863556794604804,0.130182832775446,0.998958457881851,0.997692395899722
"Exports Model",57905.5499293872,32782.337220604,0.999017829902781,0.999726843573568
"Market Value Model",0.00369036670760814,0.00350780227003059,0.999033176674473,0.999154324538478
"Blue Economy Model",124772.624438082,37802.9121515195,0.878699960821667,0.976728137615853
"Landings Model",192373.632464747,10751131.088541,0.942709121542942,0.127348378995819
"Consumption Model",0.101409852189764,0.085781112263962,0.998641218251306,0.998872794045854
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836
"Market Value Model",0.00187888764492693,0.00228204271764673,0.999688714474641,0.999603563424606
"Blue Economy Model",15356.3414246009,165373.189267874,0.99512766471264,0.933998235105144
"Landings Model",192373.632464747,10751131.088541,0.942709121542942,0.127348378995819
"Consumption Model",0.101409852189764,0.085781112263962,0.998641218251306,0.998872794045854
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836
"Market Value Model",0.00319257400621288,0.00403595327530373,0.999230087065138,0.998961916311655
"Blue Economy Model",110779.625137696,13639.6676006433,0.920408930772798,0.996893522613874
"Landings Model",192373.632464747,10751131.088541,0.942709121542942,0.127348378995819
"Consumption Model",0.101409852189764,0.085781112263962,0.998641218251306,0.998872794045854
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836
"Market Value Model",0.00175962138912241,0.00212604865542433,0.999727140807335,0.999657799647688
"Blue Economy Model",119040.866143011,26956.5308997407,0.905624705116275,0.988398092138688
"Landings Model",192373.632464747,10751131.088541,0.942709121542942,0.127348378995819
"Consumption Model",0.101409852189764,0.085781112263962,0.998641218251306,0.998872794045854
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836
"Market Value Model",0.00175962138912241,0.00212604865542433,0.999727140807335,0.999657799647688
"Blue Economy Model",101278.309779021,10516.4735728152,0.937482459225138,0.998429490267453
"Landings Model",192373.632464747,10751131.088541,0.942709121542942,0.127348378995819
"Consumption Model",0.101409852189764,0.085781112263962,0.998641218251306,0.998872794045854
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836
"Market Value Model",0.00175962138912241,0.00212604865542433,0.999727140807335,0.999657799647688
"Blue Economy Model",96971.4060894323,7347.04795565344,0.942516660856472,0.999097460926961
"Landings Model",192373.632464747,10751131.088541,0.942709121542942,0.127348378995819
"Consumption Model",0.101409852189764,0.085781112263962,0.998641218251306,0.998872794045854
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836
"Market Value Model",0.0018446643081141,0.00232166364405245,0.999703655314148,0.999599466274373
"Blue Economy Model",104932.801612731,14688.086797016,0.930987398776715,0.995678716574635
"Landings Model",192373.632464747,10751131.088541,0.942709121542942,0.127348378995819
"Consumption Model",0.101409852189764,0.085781112263962,0.998641218251306,0.998872794045854
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836
"Market Value Model",0.0018446643081141,0.00232166364405245,0.999703655314148,0.999599466274373
"Blue Economy Model",104932.801612731,14688.086797016,0.930987398776715,0.995678716574635
"Landings Model",192373.632464747,10751131.088541,0.942709121542942,0.127348378995819
"Consumption Model",0.101409852189764,0.085781112263962,0.998641218251306,0.998872794045854
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836
"Market Value Model",0.0018446643081141,0.00232166364405245,0.999703655314148,0.999599466274373
"Blue Economy Model",100512.563685311,5314.54778570411,0.937573214777637,0.99944847938792
