"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test","Species"
"Landings Model",174796.183032589,13268290.2973464,0.956212527622069,0.271622466883912,"Alewife"
"Consumption Model",0.0993028806910286,0.081654988761895,0.998585064289989,0.999222342393842,"Alewife"
"Exports Model",101094.561876153,44752.2622871995,0.997044209939702,0.999513748545965,"Alewife"
"Landings Model",174796.183032589,13268290.2973464,0.956212527622069,0.271622466883912,"Alewife"
"Consumption Model",0.0993028806910286,0.081654988761895,0.998585064289989,0.999222342393842,"Alewife"
"Exports Model",101094.561876153,44752.2622871995,0.997044209939702,0.999513748545965,"Alewife"
"Landings Model",174796.183032589,13268290.2973464,0.956212527622069,0.271622466883912,"Alewife"
"Consumption Model",0.0993028806910286,0.081654988761895,0.998585064289989,0.999222342393842,"Alewife"
"Exports Model",101094.561876153,44752.2622871995,0.997044209939702,0.999513748545965,"Alewife"
"Market Value Model",0.00219550871484322,0.00194131057708644,0.999596584447614,0.999752675592738,"Alewife"
"Landings Model",174796.183032589,13268290.2973464,0.956212527622069,0.271622466883912,"Alewife"
"Consumption Model",0.0993028806910286,0.081654988761895,0.998585064289989,0.999222342393842,"Alewife"
"Exports Model",101094.561876153,44752.2622871995,0.997044209939702,0.999513748545965,"Alewife"
"Market Value Model",0.00219550871484322,0.00194131057708644,0.999596584447614,0.999752675592738,"Alewife"
"Landings Model",174796.183032589,13268290.2973464,0.956212527622069,0.271622466883912,"Alewife"
"Consumption Model",0.0993028806910286,0.081654988761895,0.998585064289989,0.999222342393842,"Alewife"
"Exports Model",101094.561876153,44752.2622871995,0.997044209939702,0.999513748545965,"Alewife"
"Market Value Model",0.00219550871484322,0.00194131057708644,0.999596584447614,0.999752675592738,"Alewife"
"Blue Economy Model",119445.599537354,14692.4995960943,0.89284088000664,0.995430004830539,"Alewife"
"Landings Model",174796.183032589,13268290.2973464,0.956212527622069,0.271622466883912,"Alewife"
"Consumption Model",0.0993028806910286,0.081654988761895,0.998585064289989,0.999222342393842,"Alewife"
"Exports Model",101094.561876153,44752.2622871995,0.997044209939702,0.999513748545965,"Alewife"
"Market Value Model",0.00219550871484322,0.00194131057708644,0.999596584447614,0.999752675592738,"Alewife"
"Blue Economy Model",114729.515143264,7739.51596106884,0.902550446476023,0.998776636350437,"Alewife"
"Landings Model",174796.183032589,13268290.2973464,0.956212527622069,0.271622466883912,"Alewife"
"Landings Model",179332.976028018,13270623.5101322,0.953703149908424,0.257830588785781,"Alewife"
"Consumption Model",0.0863556794604804,0.130182832775446,0.998958457881851,0.997692395899722,"Alewife"
"Exports Model",102073.831326082,49820.3874786405,0.997054880316977,0.999342496724841,"Alewife"
"Market Value Model",0.00223044275467563,0.00176905259182253,0.99959002956618,0.999784462201438,"Alewife"
"Blue Economy Model",124526.849931856,46949.6416896542,0.881254581807168,0.947879528616314,"Alewife"
"Landings Model",179332.976028018,13270623.5101322,0.953703149908424,0.257830588785781,"Alewife"
"Consumption Model",0.0863556794604804,0.130182832775446,0.998958457881851,0.997692395899722,"Alewife"
"Exports Model",102073.831326082,49820.3874786405,0.997054880316977,0.999342496724841,"Alewife"
"Market Value Model",0.00223044275467563,0.00176905259182253,0.99959002956618,0.999784462201438,"Alewife"
"Blue Economy Model",105765.127101093,20268.7500487511,0.920083732659431,0.990769649588042,"Alewife"
"Landings Model",179332.976028018,13270623.5101322,0.953703149908424,0.257830588785781,"Alewife"
"Consumption Model",0.0863556794604804,0.130182832775446,0.998958457881851,0.997692395899722,"Alewife"
"Exports Model",57905.5499293872,32782.337220604,0.999017829902781,0.999726843573568,"Alewife"
"Market Value Model",0.00163203288582932,0.00231540422949446,0.999779481104867,0.999513220214887,"Alewife"
"Blue Economy Model",117521.166959372,54473.2710590244,0.895886356467872,0.935054416102017,"Alewife"
"Landings Model",179332.976028018,13270623.5101322,0.953703149908424,0.257830588785781,"Alewife"
"Consumption Model",0.0863556794604804,0.130182832775446,0.998958457881851,0.997692395899722,"Alewife"
