"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",21436.7060514343,67573.5394439555,0.963321139208774,0.573038345461107
"Consumption Model",0.0870465413815265,0.120998328940469,0.998412032918375,0.997368954860657
"Exports Model",99627.5765405771,82675.667366985,0.996707421124779,0.996443598989057
"Landings Model",21436.7060514343,67573.5394439555,0.963321139208774,0.573038345461107
"Consumption Model",0.0870465413815265,0.120998328940469,0.998412032918375,0.997368954860657
"Exports Model",99627.5765405771,82675.667366985,0.996707421124779,0.996443598989057
"Market Value Model",0.184870896568347,0.0764368272944235,0.998386111885408,0.999704019598981
"Landings Model",21436.7060514343,67573.5394439555,0.963321139208774,0.573038345461107
"Consumption Model",0.0870465413815265,0.120998328940469,0.998412032918375,0.997368954860657
"Exports Model",99627.5765405771,82675.667366985,0.996707421124779,0.996443598989057
"Market Value Model",0.184870896568347,0.0764368272944235,0.998386111885408,0.999704019598981
"Landings Model",21436.7060514343,67573.5394439555,0.963321139208774,0.573038345461107
"Consumption Model",0.0870465413815265,0.120998328940469,0.998412032918375,0.997368954860657
"Exports Model",99627.5765405771,82675.667366985,0.996707421124779,0.996443598989057
"Market Value Model",0.184870896568347,0.0764368272944235,0.998386111885408,0.999704019598981
"Blue Economy Model",99332.6345278653,77818.0808188637,0.997302876889899,0.998189591346161
"Landings Model",21436.7060514343,67573.5394439555,0.963321139208774,0.573038345461107
"Consumption Model",0.0870465413815265,0.120998328940469,0.998412032918375,0.997368954860657
"Exports Model",99627.5765405771,82675.667366985,0.996707421124779,0.996443598989057
"Market Value Model",0.184870896568347,0.0764368272944235,0.998386111885408,0.999704019598981
"Blue Economy Model",101479.510850002,74067.7383846654,0.99716066707759,0.998365217675448
"Landings Model",21159.348951077,66390.3954998648,0.963658285429456,0.588277815426301
"Consumption Model",0.0993213081181251,0.0753948995143598,0.997910892907341,0.99903869430548
"Exports Model",91438.6517355629,121917.547295733,0.997134382284773,0.994141304509035
"Market Value Model",0.161796634059013,0.187261841177293,0.998777956635925,0.997898658997166
"Blue Economy Model",101966.709949316,33616.259376471,0.997092629342828,0.999742924393042
"Landings Model",21159.348951077,66390.3954998648,0.963658285429456,0.588277815426301
"Consumption Model",0.0993213081181251,0.0753948995143598,0.997910892907341,0.99903869430548
"Exports Model",91438.6517355629,121917.547295733,0.997134382284773,0.994141304509035
"Market Value Model",0.161796634059013,0.187261841177293,0.998777956635925,0.997898658997166
"Blue Economy Model",107593.130987486,37680.174310364,0.996779619437974,0.999765523576981
"Landings Model",21159.348951077,66390.3954998648,0.963658285429456,0.588277815426301
"Consumption Model",0.0993213081181251,0.0753948995143598,0.997910892907341,0.99903869430548
"Exports Model",55966.4732384728,50483.8655429332,0.998906567234886,0.998531568529412
"Market Value Model",0.119974723949544,0.0733979135301768,0.999275520610617,0.999855396630776
"Blue Economy Model",99885.3904623867,51658.1696501315,0.997091403669641,0.999411109433633
"Landings Model",21159.348951077,66390.3954998648,0.963658285429456,0.588277815426301
"Consumption Model",0.0993213081181251,0.0753948995143598,0.997910892907341,0.99903869430548
"Exports Model",55966.4732384728,50483.8655429332,0.998906567234886,0.998531568529412
"Market Value Model",0.130201499998172,0.0908136697238539,0.99915504317221,0.999756216574845
"Blue Economy Model",97841.8100563473,57092.656040007,0.99743251175046,0.998998043105205
"Landings Model",21159.348951077,66390.3954998648,0.963658285429456,0.588277815426301
"Consumption Model",0.0993213081181251,0.0753948995143598,0.997910892907341,0.99903869430548
"Exports Model",55966.4732384728,50483.8655429332,0.998906567234886,0.998531568529412
"Market Value Model",0.149578989202649,0.121032228916502,0.99887944785748,0.999434228787036
"Blue Economy Model",95990.6079517089,46074.6478910829,0.997136482322004,0.999567682103915
"Landings Model",21159.348951077,66390.3954998648,0.963658285429456,0.588277815426301
"Consumption Model",0.0993213081181251,0.0753948995143598,0.997910892907341,0.99903869430548
"Exports Model",55966.4732384728,50483.8655429332,0.998906567234886,0.998531568529412
"Market Value Model",0.172300417545838,0.200187723970624,0.998748758251572,0.998536080017616
"Blue Economy Model",96876.6444395089,66854.0401731395,0.997346893127692,0.998889469704922
"Landings Model",21697.0778885843,64683.2234686364,0.965661895760795,0.638706702214101
"Consumption Model",0.0808409419519736,0.123319467256878,0.998618763149329,0.99728793936505
"Exports Model",68560.9488995416,55357.8789202511,0.99831538677885,0.99879105580273
"Market Value Model",0.184890143542339,0.189375899814668,0.998263293144184,0.999225111425205
"Blue Economy Model",90892.9771758161,89611.6312617833,0.997714592706761,0.997752890128223
"Landings Model",21697.0778885843,64683.2234686364,0.965661895760795,0.638706702214101
"Consumption Model",0.0808409419519736,0.123319467256878,0.998618763149329,0.99728793936505
"Exports Model",68560.9488995416,55357.8789202511,0.99831538677885,0.99879105580273
"Market Value Model",0.156140305807811,0.100090084600862,0.99865095081316,0.999583004761996
"Blue Economy Model",88086.7560669447,109468.436553047,0.997951533125296,0.996934716613925
"Landings Model",21697.0778885843,64683.2234686364,0.965661895760795,0.638706702214101
"Consumption Model",0.0808409419519736,0.123319467256878,0.998618763149329,0.99728793936505
"Exports Model",68560.9488995416,55357.8789202511,0.99831538677885,0.99879105580273
"Market Value Model",0.156140305807811,0.100090084600862,0.99865095081316,0.999583004761996
"Blue Economy Model",92125.5495802307,108393.748606082,0.997788854213091,0.997021541597668
"Landings Model",21697.0778885843,64683.2234686364,0.965661895760795,0.638706702214101
"Consumption Model",0.0808409419519736,0.123319467256878,0.998618763149329,0.99728793936505
"Exports Model",68560.9488995416,55357.8789202511,0.99831538677885,0.99879105580273
"Market Value Model",0.156140305807811,0.100090084600862,0.99865095081316,0.999583004761996
"Blue Economy Model",86684.2510930105,97991.8876378381,0.997983445599679,0.997526202764586
"Landings Model",21697.0778885843,64683.2234686364,0.965661895760795,0.638706702214101
"Consumption Model",0.0808409419519736,0.123319467256878,0.998618763149329,0.99728793936505
"Exports Model",68560.9488995416,55357.8789202511,0.99831538677885,0.99879105580273
"Market Value Model",0.146871895451546,0.10841588714679,0.998824340860426,0.999565427358793
"Blue Economy Model",94968.9732996464,150075.061732703,0.997621272744955,0.993998189072832
"Landings Model",21697.0778885843,64683.2234686364,0.965661895760795,0.638706702214101
"Consumption Model",0.0808409419519736,0.123319467256878,0.998618763149329,0.99728793936505
"Exports Model",68560.9488995416,55357.8789202511,0.99831538677885,0.99879105580273
"Market Value Model",0.146871895451546,0.10841588714679,0.998824340860426,0.999565427358793
"Blue Economy Model",101054.623807023,187021.218975723,0.997230712928214,0.990651207927245
