"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",62491.5565864076,65688.6193780929,0.990554130405248,0.991328461322435
"Consumption Model",0.103184558207522,0.0922612693389276,0.997769549482059,0.998155778653768
"Exports Model",70014.0629474807,189524.455871791,0.998182260023172,0.984960121589509
"Landings Model",62491.5565864076,65688.6193780929,0.990554130405248,0.991328461322435
"Consumption Model",0.103184558207522,0.0922612693389276,0.997769549482059,0.998155778653768
"Exports Model",70014.0629474807,189524.455871791,0.998182260023172,0.984960121589509
"Market Value Model",0.0247474761296355,0.0334515193621367,0.997311239839093,0.995047715531155
"Landings Model",62491.5565864076,65688.6193780929,0.990554130405248,0.991328461322435
"Consumption Model",0.103184558207522,0.0922612693389276,0.997769549482059,0.998155778653768
"Exports Model",70014.0629474807,189524.455871791,0.998182260023172,0.984960121589509
"Market Value Model",0.0247474761296355,0.0334515193621367,0.997311239839093,0.995047715531155
"Landings Model",62491.5565864076,65688.6193780929,0.990554130405248,0.991328461322435
"Consumption Model",0.103184558207522,0.0922612693389276,0.997769549482059,0.998155778653768
"Exports Model",70014.0629474807,189524.455871791,0.998182260023172,0.984960121589509
"Market Value Model",0.0247474761296355,0.0334515193621367,0.997311239839093,0.995047715531155
"Blue Economy Model",15357.8544602539,12023.2102586766,0.999776919451361,0.999716673124964
"Landings Model",62491.5565864076,65688.6193780929,0.990554130405248,0.991328461322435
"Consumption Model",0.103184558207522,0.0922612693389276,0.997769549482059,0.998155778653768
"Exports Model",70014.0629474807,189524.455871791,0.998182260023172,0.984960121589509
"Market Value Model",0.0247474761296355,0.0334515193621367,0.997311239839093,0.995047715531155
"Blue Economy Model",13041.2638548519,28610.5785088606,0.999841241379614,0.998371258313155
"Landings Model",63998.0218740104,62168.863576215,0.990030421133051,0.992157732564007
"Consumption Model",0.105303082441941,0.0825451783200047,0.997388259926063,0.999320675590931
"Exports Model",93539.8675578053,159248.680304873,0.996567081426358,0.990558856704565
"Market Value Model",0.0263407845527938,0.0277806018739986,0.997078974238716,0.995850432985024
"Blue Economy Model",17333.3859399879,10025.1389536742,0.999720370042875,0.999815730729782
"Landings Model",63998.0218740104,62168.863576215,0.990030421133051,0.992157732564007
"Consumption Model",0.105303082441941,0.0825451783200047,0.997388259926063,0.999320675590931
"Exports Model",93539.8675578053,159248.680304873,0.996567081426358,0.990558856704565
"Market Value Model",0.0263407845527938,0.0277806018739986,0.997078974238716,0.995850432985024
"Blue Economy Model",20836.9344061576,9308.71686588845,0.999610904335061,0.999856587323266
"Landings Model",63998.0218740104,62168.863576215,0.990030421133051,0.992157732564007
"Consumption Model",0.105303082441941,0.0825451783200047,0.997388259926063,0.999320675590931
"Exports Model",60857.806710769,14895.4957046326,0.998554831907138,0.999918646634528
"Market Value Model",0.0222371348536217,0.0225270666511392,0.997657079361654,0.998026042399984
"Blue Economy Model",16202.0766497705,9104.86027301886,0.999733542344197,0.999914006428261
"Landings Model",63998.0218740104,62168.863576215,0.990030421133051,0.992157732564007
"Consumption Model",0.105303082441941,0.0825451783200047,0.997388259926063,0.999320675590931
"Exports Model",60857.806710769,14895.4957046326,0.998554831907138,0.999918646634528
"Market Value Model",0.0218348382280491,0.0256715877021674,0.997803055571565,0.997423591618908
"Blue Economy Model",12637.2492092893,25062.6422744902,0.999825401117236,0.999464719170075
"Landings Model",63998.0218740104,62168.863576215,0.990030421133051,0.992157732564007
"Consumption Model",0.105303082441941,0.0825451783200047,0.997388259926063,0.999320675590931
"Exports Model",60857.806710769,14895.4957046326,0.998554831907138,0.999918646634528
"Market Value Model",0.0231550062441977,0.0230530381777672,0.997487728502936,0.997896966736857
"Blue Economy Model",13123.123284256,24004.7989109677,0.999833448552834,0.999244261037059
"Landings Model",63998.0218740104,62168.863576215,0.990030421133051,0.992157732564007
"Consumption Model",0.105303082441941,0.0825451783200047,0.997388259926063,0.999320675590931
"Exports Model",60857.806710769,14895.4957046326,0.998554831907138,0.999918646634528
"Market Value Model",0.028335462870203,0.0398412346948232,0.996433083256622,0.994335320829907
"Blue Economy Model",19456.6734348964,9988.5081301757,0.999614366952925,0.999892598585029
"Landings Model",22777.5788377895,237816.128403968,0.998860067342383,0.860239895240844
"Consumption Model",0.103585386490701,0.108257833593682,0.997239331292159,0.998279598866841
"Exports Model",54587.0674092475,94323.3370986584,0.998732718206629,0.997106833931746
"Market Value Model",0.0327829344950241,0.0253322399987169,0.995102798321271,0.997737350726554
"Blue Economy Model",14471.5425920121,8087.38562063887,0.999771600174716,0.999941345189709
"Landings Model",22777.5788377895,237816.128403968,0.998860067342383,0.860239895240844
"Consumption Model",0.103585386490701,0.108257833593682,0.997239331292159,0.998279598866841
"Exports Model",54587.0674092475,94323.3370986584,0.998732718206629,0.997106833931746
"Market Value Model",0.0239388646396709,0.0256512229771318,0.997221459322592,0.997476819059348
"Blue Economy Model",7596.64204266222,19751.6651277614,0.999940179060938,0.999635950197751
"Landings Model",22777.5788377895,237816.128403968,0.998860067342383,0.860239895240844
"Consumption Model",0.103585386490701,0.108257833593682,0.997239331292159,0.998279598866841
"Exports Model",54587.0674092475,94323.3370986584,0.998732718206629,0.997106833931746
"Market Value Model",0.0239388646396709,0.0256512229771318,0.997221459322592,0.997476819059348
"Blue Economy Model",10732.1618788352,33082.3109088769,0.999885718449548,0.999042998105762
"Landings Model",22777.5788377895,237816.128403968,0.998860067342383,0.860239895240844
"Consumption Model",0.103585386490701,0.108257833593682,0.997239331292159,0.998279598866841
"Exports Model",54587.0674092475,94323.3370986584,0.998732718206629,0.997106833931746
"Market Value Model",0.0239388646396709,0.0256512229771318,0.997221459322592,0.997476819059348
"Blue Economy Model",12154.2784327045,27250.6293241225,0.999840981794724,0.999314796331795
"Landings Model",22777.5788377895,237816.128403968,0.998860067342383,0.860239895240844
"Consumption Model",0.103585386490701,0.108257833593682,0.997239331292159,0.998279598866841
"Exports Model",54587.0674092475,94323.3370986584,0.998732718206629,0.997106833931746
"Market Value Model",0.0240341377870364,0.0268807183856863,0.99721619455385,0.997245400454607
"Blue Economy Model",19387.9135623183,10460.5172434328,0.999593138243153,0.999903055471398
"Landings Model",22777.5788377895,237816.128403968,0.998860067342383,0.860239895240844
"Consumption Model",0.103585386490701,0.108257833593682,0.997239331292159,0.998279598866841
"Exports Model",54587.0674092475,94323.3370986584,0.998732718206629,0.997106833931746
"Market Value Model",0.0240341377870364,0.0268807183856863,0.99721619455385,0.997245400454607
"Blue Economy Model",17992.3244219443,12214.6096865787,0.999648636475637,0.999868612726729
