"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",233573.291676869,1800185.43835646,0.991896662938514,0.553823956487344
"Consumption Model",0.137819372388648,0.118655098903637,0.984176105544086,0.996434502134562
"Exports Model",118126.400386112,96460.4569388894,0.988822252785489,0.995201708678746
"Landings Model",233573.291676869,1800185.43835646,0.991896662938514,0.553823956487344
"Consumption Model",0.137819372388648,0.118655098903637,0.984176105544086,0.996434502134562
"Exports Model",118126.400386112,96460.4569388894,0.988822252785489,0.995201708678746
"Market Value Model",0.013549531401757,0.0111539018438872,0.953438988723251,0.970754314451105
"Landings Model",233573.291676869,1800185.43835646,0.991896662938514,0.553823956487344
"Consumption Model",0.137819372388648,0.118655098903637,0.984176105544086,0.996434502134562
"Exports Model",118126.400386112,96460.4569388894,0.988822252785489,0.995201708678746
"Market Value Model",0.013549531401757,0.0111539018438872,0.953438988723251,0.970754314451105
"Landings Model",233573.291676869,1800185.43835646,0.991896662938514,0.553823956487344
"Consumption Model",0.137819372388648,0.118655098903637,0.984176105544086,0.996434502134562
"Landings Model",233573.291676869,1800185.43835646,0.991896662938514,0.553823956487344
"Consumption Model",0.137819372388648,0.118655098903637,0.984176105544086,0.996434502134562
"Exports Model",118126.400386112,96460.4569388894,0.988822252785489,0.995201708678746
"Market Value Model",0.013549531401757,0.0111539018438872,0.953438988723251,0.970754314451105
"Blue Economy Model",45788.2892448639,148070.453806775,0.998071926230693,0.985238142555956
"Landings Model",256725.216020825,1921706.09718877,0.990212015381688,0.496983934583163
"Consumption Model",0.12475489972756,0.167437639703048,0.987553776669683,0.992680571107063
"Exports Model",122235.151735191,71617.9295306303,0.989176181720893,0.995523618593959
"Market Value Model",0.0141371061352305,0.00595458695638152,0.953049161962325,0.987794247502931
"Blue Economy Model",74292.1348175232,124690.747585727,0.994969830898346,0.98954057982429
"Landings Model",256725.216020825,1921706.09718877,0.990212015381688,0.496983934583163
"Consumption Model",0.12475489972756,0.167437639703048,0.987553776669683,0.992680571107063
"Exports Model",122235.151735191,71617.9295306303,0.989176181720893,0.995523618593959
"Market Value Model",0.0141371061352305,0.00595458695638152,0.953049161962325,0.987794247502931
"Blue Economy Model",76158.9754305595,133093.53836702,0.994664007621307,0.988004035380371
"Landings Model",256725.216020825,1921706.09718877,0.990212015381688,0.496983934583163
"Consumption Model",0.12475489972756,0.167437639703048,0.987553776669683,0.992680571107063
"Exports Model",94452.6357814394,39401.0115719146,0.992734827399614,0.997919634857423
"Market Value Model",0.0128259337537841,0.00358178729562579,0.958429901065711,0.997337009101809
"Blue Economy Model",85229.6080919657,40807.5533153853,0.993990644676893,0.99838714033035
"Landings Model",256725.216020825,1921706.09718877,0.990212015381688,0.496983934583163
"Consumption Model",0.12475489972756,0.167437639703048,0.987553776669683,0.992680571107063
"Exports Model",94452.6357814394,39401.0115719146,0.992734827399614,0.997919634857423
"Market Value Model",0.0125681000143609,0.00409845402432341,0.960631009975523,0.996485265417826
"Blue Economy Model",78257.0227440129,48759.4617890538,0.994788453865297,0.997990195818601
"Landings Model",256725.216020825,1921706.09718877,0.990212015381688,0.496983934583163
"Consumption Model",0.12475489972756,0.167437639703048,0.987553776669683,0.992680571107063
"Exports Model",94452.6357814394,39401.0115719146,0.992734827399614,0.997919634857423
"Market Value Model",0.0142196045911435,0.00452175907206971,0.94932874452799,0.995833458812319
"Blue Economy Model",41445.3259123615,144584.352455636,0.998375277213548,0.986970339677784
"Landings Model",256725.216020825,1921706.09718877,0.990212015381688,0.496983934583163
"Consumption Model",0.12475489972756,0.167437639703048,0.987553776669683,0.992680571107063
"Exports Model",94452.6357814394,39401.0115719146,0.992734827399614,0.997919634857423
"Market Value Model",0.0143242202368337,0.00904899287678294,0.950603832339874,0.97882268519478
"Blue Economy Model",53738.4742127978,156661.079894762,0.997441190796093,0.983395555153578
"Landings Model",341838.633519563,1493957.67987797,0.982918142618271,0.675128526227287
"Consumption Model",0.141346514772529,0.131312796307731,0.986287485024515,0.988462153358935
"Exports Model",110096.22399407,58063.4340864222,0.991612378424167,0.995550602279774
"Market Value Model",0.00957358586800059,0.0190056044821405,0.973811032007187,0.941332263658352
"Blue Economy Model",76428.3230811839,76770.9719108614,0.995069463682989,0.994699451528288
"Landings Model",341838.633519563,1493957.67987797,0.982918142618271,0.675128526227287
"Consumption Model",0.141346514772529,0.131312796307731,0.986287485024515,0.988462153358935
"Exports Model",110096.22399407,58063.4340864222,0.991612378424167,0.995550602279774
"Market Value Model",0.00900031603257552,0.0184549230196422,0.975380070387422,0.946956294680809
"Blue Economy Model",84601.0303804697,91396.8773747867,0.993799409675566,0.99487099536149
"Landings Model",341838.633519563,1493957.67987797,0.982918142618271,0.675128526227287
"Consumption Model",0.141346514772529,0.131312796307731,0.986287485024515,0.988462153358935
"Exports Model",110096.22399407,58063.4340864222,0.991612378424167,0.995550602279774
"Market Value Model",0.00900031603257552,0.0184549230196422,0.975380070387422,0.946956294680809
"Blue Economy Model",82179.6463835773,122908.145433447,0.994110044100065,0.988972911554326
"Landings Model",341838.633519563,1493957.67987797,0.982918142618271,0.675128526227287
"Consumption Model",0.141346514772529,0.131312796307731,0.986287485024515,0.988462153358935
"Exports Model",110096.22399407,58063.4340864222,0.991612378424167,0.995550602279774
"Market Value Model",0.00900031603257552,0.0184549230196422,0.975380070387422,0.946956294680809
"Blue Economy Model",79446.9797539087,126639.965404829,0.994507727908518,0.989238021896774
"Landings Model",341838.633519563,1493957.67987797,0.982918142618271,0.675128526227287
"Consumption Model",0.141346514772529,0.131312796307731,0.986287485024515,0.988462153358935
"Exports Model",110096.22399407,58063.4340864222,0.991612378424167,0.995550602279774
"Market Value Model",0.00855414800693387,0.0191014948989499,0.978600481305188,0.940641536056852
"Blue Economy Model",93929.7589529778,110845.286438195,0.992083356882758,0.991417913686425
