"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",742877.200641548,1131925.12640794,0.957273259640721,0.93571673305033
"Consumption Model",0.0778052152794821,0.0968378888896355,0.999195597397478,0.998415389415184
"Exports Model",86545.8936737336,64125.6001893516,0.997922837360583,0.998792522279494
"Landings Model",742877.200641548,1131925.12640794,0.957273259640721,0.93571673305033
"Consumption Model",0.0778052152794821,0.0968378888896355,0.999195597397478,0.998415389415184
"Exports Model",86545.8936737336,64125.6001893516,0.997922837360583,0.998792522279494
"Market Value Model",0.0220661233241475,0.0189813867535987,0.999434215077074,0.999584393822268
"Landings Model",742877.200641548,1131925.12640794,0.957273259640721,0.93571673305033
"Consumption Model",0.0778052152794821,0.0968378888896355,0.999195597397478,0.998415389415184
"Exports Model",86545.8936737336,64125.6001893516,0.997922837360583,0.998792522279494
"Market Value Model",0.0220661233241475,0.0189813867535987,0.999434215077074,0.999584393822268
"Landings Model",742877.200641548,1131925.12640794,0.957273259640721,0.93571673305033
"Consumption Model",0.0778052152794821,0.0968378888896355,0.999195597397478,0.998415389415184
"Exports Model",86545.8936737336,64125.6001893516,0.997922837360583,0.998792522279494
"Market Value Model",0.0220661233241475,0.0189813867535987,0.999434215077074,0.999584393822268
"Blue Economy Model",439473.209204858,245336.275161345,0.953966600057354,0.994652566603015
"Landings Model",742877.200641548,1131925.12640794,0.957273259640721,0.93571673305033
"Consumption Model",0.0778052152794821,0.0968378888896355,0.999195597397478,0.998415389415184
"Exports Model",86545.8936737336,64125.6001893516,0.997922837360583,0.998792522279494
"Market Value Model",0.0220661233241475,0.0189813867535987,0.999434215077074,0.999584393822268
"Blue Economy Model",412276.716370512,292965.575586728,0.959607365619326,0.992367237248008
"Landings Model",700933.479517685,1204598.49947552,0.961020090321575,0.920365766823917
"Consumption Model",0.080197585727975,0.090718825339387,0.999135186003418,0.998844852451416
"Exports Model",82461.0124128275,79398.9839587853,0.998154818458827,0.997952805674394
"Market Value Model",0.0229614101950668,0.0120774289303611,0.999397484701233,0.999823173563989
"Blue Economy Model",449346.256817617,79400.3762642272,0.966251450999559,0.996450318761507
"Landings Model",700933.479517685,1204598.49947552,0.961020090321575,0.920365766823917
"Consumption Model",0.080197585727975,0.090718825339387,0.999135186003418,0.998844852451416
"Exports Model",82461.0124128275,79398.9839587853,0.998154818458827,0.997952805674394
"Market Value Model",0.0229614101950668,0.0120774289303611,0.999397484701233,0.999823173563989
"Blue Economy Model",450838.354735505,128221.483644822,0.968716516979076,0.9914801311405
"Landings Model",700933.479517685,1204598.49947552,0.961020090321575,0.920365766823917
"Consumption Model",0.080197585727975,0.090718825339387,0.999135186003418,0.998844852451416
"Exports Model",52225.3544438863,40301.633323608,0.999212769811661,0.999547499296958
"Market Value Model",0.0145983317259572,0.0153423588882044,0.999739071889524,0.999703333269919
"Blue Economy Model",392499.443261552,261819.795801488,0.970430390265787,0.990151720575048
"Landings Model",700933.479517685,1204598.49947552,0.961020090321575,0.920365766823917
"Consumption Model",0.080197585727975,0.090718825339387,0.999135186003418,0.998844852451416
"Exports Model",52225.3544438863,40301.633323608,0.999212769811661,0.999547499296958
"Market Value Model",0.0159773396502097,0.0150409869378602,0.999691012777885,0.999721725038041
"Blue Economy Model",411139.945331012,206177.400667692,0.97296736651377,0.993085314617864
"Landings Model",700933.479517685,1204598.49947552,0.961020090321575,0.920365766823917
"Consumption Model",0.080197585727975,0.090718825339387,0.999135186003418,0.998844852451416
"Exports Model",52225.3544438863,40301.633323608,0.999212769811661,0.999547499296958
"Market Value Model",0.0159773396502097,0.0150409869378602,0.999691012777885,0.999721725038041
"Blue Economy Model",411139.945331012,206177.400667692,0.97296736651377,0.993085314617864
"Landings Model",700933.479517685,1204598.49947552,0.961020090321575,0.920365766823917
"Consumption Model",0.080197585727975,0.090718825339387,0.999135186003418,0.998844852451416
"Exports Model",52225.3544438863,40301.633323608,0.999212769811661,0.999547499296958
"Market Value Model",0.01863640286798,0.0157709497221304,0.9995860472519,0.999693640133051
"Blue Economy Model",410564.631198479,230763.142039575,0.968497077532631,0.984704183653844
"Landings Model",700933.479517685,1204598.49947552,0.961020090321575,0.920365766823917
"Consumption Model",0.080197585727975,0.090718825339387,0.999135186003418,0.998844852451416
"Exports Model",52225.3544438863,40301.633323608,0.999212769811661,0.999547499296958
"Market Value Model",0.034988387165303,0.0330849658343045,0.998640370738153,0.998728223990525
"Blue Economy Model",452738.658610631,197846.420354743,0.968636658335938,0.978128249409034
"Landings Model",745696.963950091,1209741.26977069,0.95552790028241,0.904104018731148
"Consumption Model",0.0624879279534518,0.121687467457292,0.999430499875977,0.998220778398595
"Exports Model",58618.2513291789,66161.7337873103,0.999017194387633,0.998866957695059
"Market Value Model",0.0175234254924889,0.0197776855076033,0.999628835811459,0.999544654735694
"Blue Economy Model",170772.612052406,633190.937701715,0.989489207109784,0.975118711737682
"Landings Model",745696.963950091,1209741.26977069,0.95552790028241,0.904104018731148
"Consumption Model",0.0624879279534518,0.121687467457292,0.999430499875977,0.998220778398595
"Exports Model",58618.2513291789,66161.7337873103,0.999017194387633,0.998866957695059
"Market Value Model",0.0354095586419773,0.031116919156418,0.998615119461159,0.998874800402635
"Blue Economy Model",434297.601721449,149589.976206728,0.972196389037861,0.98742987162496
"Landings Model",745696.963950091,1209741.26977069,0.95552790028241,0.904104018731148
"Consumption Model",0.0624879279534518,0.121687467457292,0.999430499875977,0.998220778398595
"Exports Model",58618.2513291789,66161.7337873103,0.999017194387633,0.998866957695059
"Market Value Model",0.0174530110755491,0.0172813082459202,0.999631870576913,0.999662564139433
"Blue Economy Model",440610.196876408,144666.152686301,0.9659540537008,0.994806299435292
"Landings Model",745696.963950091,1209741.26977069,0.95552790028241,0.904104018731148
"Consumption Model",0.0624879279534518,0.121687467457292,0.999430499875977,0.998220778398595
"Exports Model",58618.2513291789,66161.7337873103,0.999017194387633,0.998866957695059
"Market Value Model",0.0174530110755491,0.0172813082459202,0.999631870576913,0.999662564139433
"Blue Economy Model",492268.091917386,234059.596067994,0.959922441168323,0.98708070569131
"Landings Model",745696.963950091,1209741.26977069,0.95552790028241,0.904104018731148
"Consumption Model",0.0624879279534518,0.121687467457292,0.999430499875977,0.998220778398595
"Exports Model",58618.2513291789,66161.7337873103,0.999017194387633,0.998866957695059
"Market Value Model",0.0174530110755491,0.0172813082459202,0.999631870576913,0.999662564139433
"Blue Economy Model",425436.46355698,183360.704628076,0.971115636007369,0.991526247298079
"Landings Model",745696.963950091,1209741.26977069,0.95552790028241,0.904104018731148
"Consumption Model",0.0624879279534518,0.121687467457292,0.999430499875977,0.998220778398595
"Exports Model",58618.2513291789,66161.7337873103,0.999017194387633,0.998866957695059
"Market Value Model",0.0192470084657704,0.0169172114742344,0.999560317330286,0.999667438334896
"Blue Economy Model",450531.519363537,197792.339038152,0.968353525979895,0.986571930736916
"Landings Model",745696.963950091,1209741.26977069,0.95552790028241,0.904104018731148
"Consumption Model",0.0624879279534518,0.121687467457292,0.999430499875977,0.998220778398595
"Exports Model",58618.2513291789,66161.7337873103,0.999017194387633,0.998866957695059
"Market Value Model",0.0192470084657704,0.0169172114742344,0.999560317330286,0.999667438334896
"Blue Economy Model",450531.519363537,197792.339038152,0.968353525979895,0.986571930736916
"Landings Model",745696.963950091,1209741.26977069,0.95552790028241,0.904104018731148
"Consumption Model",0.0624879279534518,0.121687467457292,0.999430499875977,0.998220778398595
"Exports Model",58618.2513291789,66161.7337873103,0.999017194387633,0.998866957695059
"Market Value Model",0.0192470084657704,0.0169172114742344,0.999560317330286,0.999667438334896
"Blue Economy Model",459797.104556966,247371.848931768,0.967399712001254,0.979279303347134
