"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",253285.933785876,364318.294625427,0.981670700743683,0.943060244333152
"Consumption Model",0.0967557974466478,0.0873414228490811,0.998728756255353,0.998818359151067
"Exports Model",94199.6516731873,80074.2550785534,0.997522521040026,0.998308740375758
"Landings Model",253285.933785876,364318.294625427,0.981670700743683,0.943060244333152
"Consumption Model",0.0967557974466478,0.0873414228490811,0.998728756255353,0.998818359151067
"Exports Model",94199.6516731873,80074.2550785534,0.997522521040026,0.998308740375758
"Market Value Model",0.0172194500703663,0.0105600834914797,0.996906024267258,0.999014957815426
"Landings Model",253285.933785876,364318.294625427,0.981670700743683,0.943060244333152
"Consumption Model",0.0967557974466478,0.0873414228490811,0.998728756255353,0.998818359151067
"Exports Model",94199.6516731873,80074.2550785534,0.997522521040026,0.998308740375758
"Market Value Model",0.0172194500703663,0.0105600834914797,0.996906024267258,0.999014957815426
"Landings Model",253285.933785876,364318.294625427,0.981670700743683,0.943060244333152
"Consumption Model",0.0967557974466478,0.0873414228490811,0.998728756255353,0.998818359151067
"Exports Model",94199.6516731873,80074.2550785534,0.997522521040026,0.998308740375758
"Market Value Model",0.0172194500703663,0.0105600834914797,0.996906024267258,0.999014957815426
"Blue Economy Model",66279.0032544647,15081.5298777916,0.993250947661513,0.999545335540137
"Landings Model",253285.933785876,364318.294625427,0.981670700743683,0.943060244333152
"Consumption Model",0.0967557974466478,0.0873414228490811,0.998728756255353,0.998818359151067
"Exports Model",94199.6516731873,80074.2550785534,0.997522521040026,0.998308740375758
"Market Value Model",0.0172194500703663,0.0105600834914797,0.996906024267258,0.999014957815426
"Blue Economy Model",61301.1026631114,13324.1360099019,0.994214288181163,0.999645444906995
"Landings Model",278539.516048305,377995.70104447,0.97847491102149,0.942021242274497
"Consumption Model",0.100386344515399,0.0664043635854826,0.998633965574763,0.999289716017874
"Exports Model",91502.7799541153,92270.0285290676,0.997689194864581,0.99789937424259
"Market Value Model",0.0177529802868131,0.00724713739314656,0.996722059167639,0.999565905199109
"Blue Economy Model",33339.5427637512,126712.705425198,0.997967353632849,0.984490422869457
"Landings Model",278539.516048305,377995.70104447,0.97847491102149,0.942021242274497
"Consumption Model",0.100386344515399,0.0664043635854826,0.998633965574763,0.999289716017874
"Exports Model",91502.7799541153,92270.0285290676,0.997689194864581,0.99789937424259
"Market Value Model",0.0177529802868131,0.00724713739314656,0.996722059167639,0.999565905199109
"Blue Economy Model",35081.597921557,158371.750442354,0.997906748145055,0.975028966535349
"Landings Model",278539.516048305,377995.70104447,0.97847491102149,0.942021242274497
"Consumption Model",0.100386344515399,0.0664043635854826,0.998633965574763,0.999289716017874
"Exports Model",56482.2660816588,29535.479645926,0.999080825484072,0.999767352191589
"Market Value Model",0.00653873184223874,0.0293148504957656,0.99958670814983,0.990430004375252
"Blue Economy Model",66812.4789415545,20911.7202656697,0.993521906839281,0.998905904130178
"Landings Model",278539.516048305,377995.70104447,0.97847491102149,0.942021242274497
"Consumption Model",0.100386344515399,0.0664043635854826,0.998633965574763,0.999289716017874
"Exports Model",56482.2660816588,29535.479645926,0.999080825484072,0.999767352191589
"Market Value Model",0.00671066585440574,0.0329176282034949,0.999577497097613,0.987946629588837
"Blue Economy Model",29277.2312887085,109664.549908676,0.9984845116187,0.98679817898735
"Landings Model",278539.516048305,377995.70104447,0.97847491102149,0.942021242274497
"Consumption Model",0.100386344515399,0.0664043635854826,0.998633965574763,0.999289716017874
"Exports Model",56482.2660816588,29535.479645926,0.999080825484072,0.999767352191589
"Market Value Model",0.00671066585440574,0.0329176282034949,0.999577497097613,0.987946629588837
"Blue Economy Model",29277.2312887085,109664.549908676,0.9984845116187,0.98679817898735
"Landings Model",278539.516048305,377995.70104447,0.97847491102149,0.942021242274497
"Consumption Model",0.100386344515399,0.0664043635854826,0.998633965574763,0.999289716017874
"Exports Model",56482.2660816588,29535.479645926,0.999080825484072,0.999767352191589
"Market Value Model",0.0060557774582828,0.0323126021068994,0.999665953035732,0.988403717931634
"Blue Economy Model",60820.0378798386,15377.7754834384,0.994293269460314,0.999530774983688
"Landings Model",278539.516048305,377995.70104447,0.97847491102149,0.942021242274497
"Consumption Model",0.100386344515399,0.0664043635854826,0.998633965574763,0.999289716017874
"Exports Model",56482.2660816588,29535.479645926,0.999080825484072,0.999767352191589
"Market Value Model",0.0140204458209853,0.0373987959236349,0.998506157757229,0.984592880244843
"Blue Economy Model",73703.3023085006,40310.6642832731,0.992030305180414,0.99693515327764
"Landings Model",271797.038467361,505300.405570288,0.97820150000558,0.914100040450035
"Consumption Model",0.106366173367656,0.079261059267295,0.998365580563234,0.999316965373266
"Exports Model",68827.1051454733,40952.0837573343,0.998618879828942,0.99957044457527
"Market Value Model",0.0163518121149122,0.0118094790917926,0.997257260577761,0.998604440000586
"Blue Economy Model",78983.8416082121,39647.1503262872,0.99196285681754,0.996605596525721
"Landings Model",271797.038467361,505300.405570288,0.97820150000558,0.914100040450035
"Consumption Model",0.106366173367656,0.079261059267295,0.998365580563234,0.999316965373266
"Exports Model",68827.1051454733,40952.0837573343,0.998618879828942,0.99957044457527
"Market Value Model",0.0235781342655588,0.0119826140320992,0.994652247425981,0.998744872603702
"Blue Economy Model",73986.606586654,58615.042670922,0.991508399394929,0.99599609053445
"Landings Model",271797.038467361,505300.405570288,0.97820150000558,0.914100040450035
"Consumption Model",0.106366173367656,0.079261059267295,0.998365580563234,0.999316965373266
"Exports Model",68827.1051454733,40952.0837573343,0.998618879828942,0.99957044457527
"Market Value Model",0.0163214529723579,0.0117969607810275,0.99725919798588,0.998593725992299
"Blue Economy Model",76971.8899868676,27623.3894383729,0.991676598449174,0.998665552282209
"Landings Model",271797.038467361,505300.405570288,0.97820150000558,0.914100040450035
"Consumption Model",0.106366173367656,0.079261059267295,0.998365580563234,0.999316965373266
"Exports Model",68827.1051454733,40952.0837573343,0.998618879828942,0.99957044457527
"Market Value Model",0.0163214529723579,0.0117969607810275,0.99725919798588,0.998593725992299
"Blue Economy Model",94311.9608403079,10925.3412712284,0.986951266117768,0.999812954663701
"Landings Model",271797.038467361,505300.405570288,0.97820150000558,0.914100040450035
"Consumption Model",0.106366173367656,0.079261059267295,0.998365580563234,0.999316965373266
"Exports Model",68827.1051454733,40952.0837573343,0.998618879828942,0.99957044457527
"Market Value Model",0.0163214529723579,0.0117969607810275,0.99725919798588,0.998593725992299
"Blue Economy Model",79799.4273092885,7388.70262007696,0.990598264028275,0.999901199882109
"Landings Model",271797.038467361,505300.405570288,0.97820150000558,0.914100040450035
"Consumption Model",0.106366173367656,0.079261059267295,0.998365580563234,0.999316965373266
"Exports Model",68827.1051454733,40952.0837573343,0.998618879828942,0.99957044457527
"Market Value Model",0.0174512004141418,0.0109873935563589,0.996873418803497,0.998800664674887
"Blue Economy Model",89518.7476205901,22778.1120633437,0.989003841629714,0.998995463529587
"Landings Model",271797.038467361,505300.405570288,0.97820150000558,0.914100040450035
"Consumption Model",0.106366173367656,0.079261059267295,0.998365580563234,0.999316965373266
"Exports Model",68827.1051454733,40952.0837573343,0.998618879828942,0.99957044457527
"Market Value Model",0.0174512004141418,0.0109873935563589,0.996873418803497,0.998800664674887
"Blue Economy Model",89518.7476205901,22778.1120633437,0.989003841629714,0.998995463529587
"Landings Model",271797.038467361,505300.405570288,0.97820150000558,0.914100040450035
"Consumption Model",0.106366173367656,0.079261059267295,0.998365580563234,0.999316965373266
"Exports Model",68827.1051454733,40952.0837573343,0.998618879828942,0.99957044457527
"Market Value Model",0.0174512004141418,0.0109873935563589,0.996873418803497,0.998800664674887
"Blue Economy Model",88587.9440270562,25553.2942623392,0.989001450629331,0.998785160813677
