"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",512019.928729211,863497.409948049,0.979854824353434,0.952031800980054
"Consumption Model",0.100042325464306,0.0909213220648458,0.986127948716657,0.99751175664195
"Exports Model",123361.154676861,16027.1366728834,0.98285951074058,0.999802959289608
"Landings Model",512019.928729211,863497.409948049,0.979854824353434,0.952031800980054
"Consumption Model",0.100042325464306,0.0909213220648458,0.986127948716657,0.99751175664195
"Exports Model",123361.154676861,16027.1366728834,0.98285951074058,0.999802959289608
"Market Value Model",0.0294661531281584,0.0016605785280012,0.939296299220406,0.999763107437307
"Landings Model",512019.928729211,863497.409948049,0.979854824353434,0.952031800980054
"Consumption Model",0.100042325464306,0.0909213220648458,0.986127948716657,0.99751175664195
"Exports Model",123361.154676861,16027.1366728834,0.98285951074058,0.999802959289608
"Market Value Model",0.0294661531281584,0.0016605785280012,0.939296299220406,0.999763107437307
"Landings Model",512019.928729211,863497.409948049,0.979854824353434,0.952031800980054
"Consumption Model",0.100042325464306,0.0909213220648458,0.986127948716657,0.99751175664195
"Exports Model",123361.154676861,16027.1366728834,0.98285951074058,0.999802959289608
"Market Value Model",0.0294661531281584,0.0016605785280012,0.939296299220406,0.999763107437307
"Blue Economy Model",19301.5767323594,32288.1294576289,0.993199090885596,0.98743918825733
"Landings Model",515648.992839026,900386.776147974,0.979923999369835,0.945838016223754
"Consumption Model",0.104942373624726,0.0589414660246102,0.986951328868984,0.993909080084435
"Exports Model",98439.0580427012,152037.44308733,0.988529664431737,0.975080076311041
"Market Value Model",0.0290913193381669,0.00249666978752221,0.939707556714113,0.999512239148454
"Blue Economy Model",22275.7958836023,12261.7568056664,0.991776949623902,0.997758019888768
"Landings Model",515648.992839026,900386.776147974,0.979923999369835,0.945838016223754
"Consumption Model",0.104942373624726,0.0589414660246102,0.986951328868984,0.993909080084435
"Exports Model",98439.0580427012,152037.44308733,0.988529664431737,0.975080076311041
"Market Value Model",0.0290913193381669,0.00249666978752221,0.939707556714113,0.999512239148454
"Blue Economy Model",22652.4340312752,21610.3716294672,0.991430667617731,0.992823013018829
"Landings Model",515648.992839026,900386.776147974,0.979923999369835,0.945838016223754
"Consumption Model",0.104942373624726,0.0589414660246102,0.986951328868984,0.993909080084435
"Exports Model",75562.9461203411,63863.20391501,0.992908623723043,0.993676124586369
"Market Value Model",0.0261428888165894,0.0300558774112381,0.953631589682546,0.92918383315477
"Blue Economy Model",19924.9677100302,24695.1823373258,0.993363107349411,0.988707845714165
"Landings Model",515648.992839026,900386.776147974,0.979923999369835,0.945838016223754
"Consumption Model",0.104942373624726,0.0589414660246102,0.986951328868984,0.993909080084435
"Exports Model",75562.9461203411,63863.20391501,0.992908623723043,0.993676124586369
"Market Value Model",0.0269422524491533,0.0239051822320649,0.950827705946362,0.953948885162152
"Blue Economy Model",19641.9998370028,31257.2062068156,0.992725353036206,0.988875565983409
"Landings Model",515648.992839026,900386.776147974,0.979923999369835,0.945838016223754
"Consumption Model",0.104942373624726,0.0589414660246102,0.986951328868984,0.993909080084435
"Exports Model",75562.9461203411,63863.20391501,0.992908623723043,0.993676124586369
"Market Value Model",0.0258470458664112,0.0287719665145289,0.954776676877622,0.934753250049803
"Blue Economy Model",18377.532133362,34934.2773927754,0.994336785513772,0.980986934960645
"Landings Model",515648.992839026,900386.776147974,0.979923999369835,0.945838016223754
"Consumption Model",0.104942373624726,0.0589414660246102,0.986951328868984,0.993909080084435
"Exports Model",75562.9461203411,63863.20391501,0.992908623723043,0.993676124586369
"Market Value Model",0.0270183664585324,0.0226533822777017,0.950799439413373,0.959057876677748
"Blue Economy Model",22922.5788031036,32399.1759975692,0.990552901947004,0.987604639131775
"Landings Model",582334.188785883,983343.587645846,0.974065967432269,0.928318491961365
"Consumption Model",0.0876993980411056,0.123320667262506,0.992877191211332,0.979229005785476
"Exports Model",89160.4645159972,61201.9709713892,0.99024058527956,0.994941694713343
"Market Value Model",0.0306730520939373,0.0156641428404822,0.938078099573927,0.98011035616567
"Blue Economy Model",26219.8267917885,12845.00246554,0.989524989253454,0.996086838336114
"Landings Model",582334.188785883,983343.587645846,0.974065967432269,0.928318491961365
"Consumption Model",0.0876993980411056,0.123320667262506,0.992877191211332,0.979229005785476
"Exports Model",89160.4645159972,61201.9709713892,0.99024058527956,0.994941694713343
"Market Value Model",0.028838697674896,0.0211189927770137,0.945232764670075,0.963939426616235
"Blue Economy Model",21636.5643220903,29703.1495722827,0.991722060629677,0.985876968839025
"Landings Model",582334.188785883,983343.587645846,0.974065967432269,0.928318491961365
"Consumption Model",0.0876993980411056,0.123320667262506,0.992877191211332,0.979229005785476
"Exports Model",89160.4645159972,61201.9709713892,0.99024058527956,0.994941694713343
"Market Value Model",0.028838697674896,0.0211189927770137,0.945232764670075,0.963939426616235
"Blue Economy Model",21396.494855407,26359.2462596783,0.992476359268733,0.989442848792123
"Landings Model",582334.188785883,983343.587645846,0.974065967432269,0.928318491961365
"Consumption Model",0.0876993980411056,0.123320667262506,0.992877191211332,0.979229005785476
"Exports Model",89160.4645159972,61201.9709713892,0.99024058527956,0.994941694713343
"Market Value Model",0.028838697674896,0.0211189927770137,0.945232764670075,0.963939426616235
"Blue Economy Model",20165.0923886345,24604.0331813153,0.993091780486949,0.990316929921008
"Landings Model",582334.188785883,983343.587645846,0.974065967432269,0.928318491961365
"Consumption Model",0.0876993980411056,0.123320667262506,0.992877191211332,0.979229005785476
