"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",116114.399686736,254625.070449705,0.961747563231636,0.792182769711409
"Consumption Model",0.108045633766915,0.0627623084561418,0.998595728503955,0.999512338172776
"Exports Model",96414.1256823769,110698.608754045,0.997625859394065,0.996201967528108
"Landings Model",116114.399686736,254625.070449705,0.961747563231636,0.792182769711409
"Consumption Model",0.108045633766915,0.0627623084561418,0.998595728503955,0.999512338172776
"Exports Model",96414.1256823769,110698.608754045,0.997625859394065,0.996201967528108
"Market Value Model",0.0111581498947105,0.0153313189585555,0.998998818934329,0.99683258744986
"Landings Model",116114.399686736,254625.070449705,0.961747563231636,0.792182769711409
"Consumption Model",0.108045633766915,0.0627623084561418,0.998595728503955,0.999512338172776
"Exports Model",96414.1256823769,110698.608754045,0.997625859394065,0.996201967528108
"Market Value Model",0.0111581498947105,0.0153313189585555,0.998998818934329,0.99683258744986
"Landings Model",116114.399686736,254625.070449705,0.961747563231636,0.792182769711409
"Consumption Model",0.108045633766915,0.0627623084561418,0.998595728503955,0.999512338172776
"Exports Model",96414.1256823769,110698.608754045,0.997625859394065,0.996201967528108
"Market Value Model",0.0111581498947105,0.0153313189585555,0.998998818934329,0.99683258744986
"Blue Economy Model",32576.1151527979,7130.87449008789,0.980677388783215,0.992660538524919
"Landings Model",116114.399686736,254625.070449705,0.961747563231636,0.792182769711409
"Consumption Model",0.108045633766915,0.0627623084561418,0.998595728503955,0.999512338172776
"Exports Model",96414.1256823769,110698.608754045,0.997625859394065,0.996201967528108
"Market Value Model",0.0111581498947105,0.0153313189585555,0.998998818934329,0.99683258744986
"Blue Economy Model",28476.8595056848,2759.99679700818,0.986606207951734,0.999485624565533
"Landings Model",116553.560909424,252559.235898148,0.960556177626641,0.796575136486829
"Consumption Model",0.0947975548302049,0.125908989053025,0.998880372887938,0.998291821080231
"Exports Model",98297.5622931194,104679.162736033,0.997404363374645,0.997408910960308
"Market Value Model",0.012693496042134,0.00672134661354951,0.998520143917182,0.999703078930669
"Blue Economy Model",28479.4987444967,23279.3106061401,0.986119201330913,0.986154517716448
"Landings Model",116553.560909424,252559.235898148,0.960556177626641,0.796575136486829
"Consumption Model",0.0947975548302049,0.125908989053025,0.998880372887938,0.998291821080231
"Exports Model",98297.5622931194,104679.162736033,0.997404363374645,0.997408910960308
"Market Value Model",0.012693496042134,0.00672134661354951,0.998520143917182,0.999703078930669
"Blue Economy Model",28071.0128017714,17153.2753549225,0.987244474022991,0.99372588625
"Landings Model",116553.560909424,252559.235898148,0.960556177626641,0.796575136486829
"Consumption Model",0.0947975548302049,0.125908989053025,0.998880372887938,0.998291821080231
"Exports Model",60905.737128188,67509.5843122254,0.998984938391321,0.999031928199293
"Market Value Model",0.0111851053383518,0.00678713733370891,0.998822189062821,0.999653272538555
"Blue Economy Model",29051.6940978958,7272.42243800635,0.986909213756541,0.997708845829848
"Landings Model",116553.560909424,252559.235898148,0.960556177626641,0.796575136486829
"Consumption Model",0.0947975548302049,0.125908989053025,0.998880372887938,0.998291821080231
"Landings Model",116553.560909424,252559.235898148,0.960556177626641,0.796575136486829
"Consumption Model",0.0947975548302049,0.125908989053025,0.998880372887938,0.998291821080231
"Exports Model",60905.737128188,67509.5843122254,0.998984938391321,0.999031928199293
"Market Value Model",0.012086741654685,0.00511296554160166,0.998633215788054,0.999803431066789
"Blue Economy Model",24817.5590114565,29804.5993051008,0.987801079434657,0.992444033301437
"Landings Model",116553.560909424,252559.235898148,0.960556177626641,0.796575136486829
"Consumption Model",0.0947975548302049,0.125908989053025,0.998880372887938,0.998291821080231
"Exports Model",60905.737128188,67509.5843122254,0.998984938391321,0.999031928199293
"Market Value Model",0.0122938137387019,0.00647432442705814,0.998601776245871,0.999678577637076
"Blue Economy Model",28682.5437561109,8376.33107355128,0.988337392141034,0.997702704771095
"Landings Model",116553.560909424,252559.235898148,0.960556177626641,0.796575136486829
"Consumption Model",0.0947975548302049,0.125908989053025,0.998880372887938,0.998291821080231
"Exports Model",60905.737128188,67509.5843122254,0.998984938391321,0.999031928199293
"Market Value Model",0.02107734754037,0.0081600087346427,0.996236631285851,0.999501360825674
"Blue Economy Model",21768.2136154058,52165.5640282026,0.985685506276469,0.98944834117234
"Landings Model",124901.148607051,258839.143255817,0.953266314272525,0.839083254967102
"Consumption Model",0.101150985035853,0.110609646905905,0.998704422467531,0.998673416037705
"Exports Model",52260.9504869736,108383.907811279,0.99927719828892,0.99693366435139
"Market Value Model",0.0136208533695247,0.00750460456777243,0.998366230848665,0.999494028231502
"Blue Economy Model",34914.5582633193,10973.1881345946,0.980417926946691,0.997918326765328
"Landings Model",124901.148607051,258839.143255817,0.953266314272525,0.839083254967102
"Consumption Model",0.101150985035853,0.110609646905905,0.998704422467531,0.998673416037705
"Exports Model",52260.9504869736,108383.907811279,0.99927719828892,0.99693366435139
"Market Value Model",0.0219655097458563,0.0131497746337748,0.996096713890688,0.998897815836751
"Blue Economy Model",34556.9573566197,10829.497894967,0.984353844620052,0.995792970471718
"Landings Model",124901.148607051,258839.143255817,0.953266314272525,0.839083254967102
"Consumption Model",0.101150985035853,0.110609646905905,0.998704422467531,0.998673416037705
"Exports Model",52260.9504869736,108383.907811279,0.99927719828892,0.99693366435139
"Market Value Model",0.0124247641292513,0.0079712369322748,0.99864544755796,0.99942532968752
"Blue Economy Model",28221.8867353843,39230.4176126054,0.979808744705658,0.990525530324606
"Landings Model",124901.148607051,258839.143255817,0.953266314272525,0.839083254967102
"Consumption Model",0.101150985035853,0.110609646905905,0.998704422467531,0.998673416037705
"Exports Model",52260.9504869736,108383.907811279,0.99927719828892,0.99693366435139
"Market Value Model",0.0124247641292513,0.0079712369322748,0.99864544755796,0.99942532968752
"Blue Economy Model",27860.6504646839,40936.3508944357,0.981926563358896,0.990143566956642
"Landings Model",124901.148607051,258839.143255817,0.953266314272525,0.839083254967102
"Consumption Model",0.101150985035853,0.110609646905905,0.998704422467531,0.998673416037705
"Exports Model",52260.9504869736,108383.907811279,0.99927719828892,0.99693366435139
"Market Value Model",0.0124247641292513,0.0079712369322748,0.99864544755796,0.99942532968752
"Blue Economy Model",24199.3867523978,36002.34040253,0.987443649765415,0.992136846224678
"Landings Model",124901.148607051,258839.143255817,0.953266314272525,0.839083254967102
"Consumption Model",0.101150985035853,0.110609646905905,0.998704422467531,0.998673416037705
"Exports Model",52260.9504869736,108383.907811279,0.99927719828892,0.99693366435139
"Market Value Model",0.0143432550263464,0.00661655163633988,0.998230026713775,0.999630113082226
"Blue Economy Model",27573.3750266752,43356.4446943501,0.986463663416699,0.974320769907354
"Landings Model",124901.148607051,258839.143255817,0.953266314272525,0.839083254967102
"Consumption Model",0.101150985035853,0.110609646905905,0.998704422467531,0.998673416037705
"Exports Model",52260.9504869736,108383.907811279,0.99927719828892,0.99693366435139
"Market Value Model",0.0143432550263464,0.00661655163633988,0.998230026713775,0.999630113082226
"Blue Economy Model",27573.3750266752,43356.4446943501,0.986463663416699,0.974320769907354
"Landings Model",124901.148607051,258839.143255817,0.953266314272525,0.839083254967102
"Consumption Model",0.101150985035853,0.110609646905905,0.998704422467531,0.998673416037705
"Exports Model",52260.9504869736,108383.907811279,0.99927719828892,0.99693366435139
"Market Value Model",0.0143432550263464,0.00661655163633988,0.998230026713775,0.999630113082226
"Blue Economy Model",32207.5692455875,50316.9679766465,0.981527691849804,0.964535880113326
