"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",253.72101610783,2671.01666894545,0.997550183958415,0.698491100094158
"Consumption Model",0.080316509455624,0.000719470567118236,0.991842008598632,0.999999163636637
"Exports Model",92126.2816111032,191719.939108627,0.988812289560368,0.969497007360724
"Landings Model",253.72101610783,2671.01666894545,0.997550183958415,0.698491100094158
"Consumption Model",0.080316509455624,0.000719470567118236,0.991842008598632,0.999999163636637
"Exports Model",92126.2816111032,191719.939108627,0.988812289560368,0.969497007360724
"Market Value Model",43.1432394665476,23.9021646851552,0.997526691973479,0.999195428756277
"Landings Model",253.72101610783,2671.01666894545,0.997550183958415,0.698491100094158
"Consumption Model",0.080316509455624,0.000719470567118236,0.991842008598632,0.999999163636637
"Exports Model",92126.2816111032,191719.939108627,0.988812289560368,0.969497007360724
"Market Value Model",43.1432394665476,23.9021646851552,0.997526691973479,0.999195428756277
"Landings Model",253.72101610783,2671.01666894545,0.997550183958415,0.698491100094158
"Consumption Model",0.080316509455624,0.000719470567118236,0.991842008598632,0.999999163636637
"Exports Model",92126.2816111032,191719.939108627,0.988812289560368,0.969497007360724
"Market Value Model",43.1432394665476,23.9021646851552,0.997526691973479,0.999195428756277
"Blue Economy Model",427982.468030725,33904.952466423,0.998715347788075,0.999992213855806
"Landings Model",215.861705481877,2631.85531868825,0.998234142798918,0.704755310730834
"Consumption Model",0.0771564762669193,0.0497047925134774,0.992756532871906,0.995635305862738
"Exports Model",100122.210032453,152618.8512306,0.989216718145743,0.961262970849315
"Market Value Model",38.411247599111,45.3606072998532,0.997983263698801,0.997440010950968
"Blue Economy Model",513024.901601225,184767.98569941,0.998196823787563,0.999769445008453
"Landings Model",215.861705481877,2631.85531868825,0.998234142798918,0.704755310730834
"Consumption Model",0.0771564762669193,0.0497047925134774,0.992756532871906,0.995635305862738
"Exports Model",100122.210032453,152618.8512306,0.989216718145743,0.961262970849315
"Market Value Model",38.411247599111,45.3606072998532,0.997983263698801,0.997440010950968
"Blue Economy Model",531600.34128357,98394.8599644566,0.99804370704405,0.999933797753285
"Landings Model",215.861705481877,2631.85531868825,0.998234142798918,0.704755310730834
"Consumption Model",0.0771564762669193,0.0497047925134774,0.992756532871906,0.995635305862738
"Exports Model",54410.7484878725,48445.503283221,0.995972473107564,0.99753469722524
"Market Value Model",11.4722665300676,8.83229572694616,0.999820211075001,0.999897150561295
"Blue Economy Model",216624.756722792,794544.259036277,0.999667980553391,0.996517150641789
"Landings Model",215.861705481877,2631.85531868825,0.998234142798918,0.704755310730834
"Consumption Model",0.0771564762669193,0.0497047925134774,0.992756532871906,0.995635305862738
"Exports Model",54410.7484878725,48445.503283221,0.995972473107564,0.99753469722524
"Market Value Model",17.3126292923033,13.9405919660329,0.999596355368458,0.999743458222529
"Blue Economy Model",303794.00802361,25950.9050224943,0.99937170153027,0.999994527891322
"Landings Model",215.861705481877,2631.85531868825,0.998234142798918,0.704755310730834
"Consumption Model",0.0771564762669193,0.0497047925134774,0.992756532871906,0.995635305862738
"Exports Model",54410.7484878725,48445.503283221,0.995972473107564,0.99753469722524
"Market Value Model",22.0495133694076,17.0120694398295,0.999341128682216,0.999615598804451
"Blue Economy Model",274309.459288733,231833.50827018,0.999429842566448,0.999718765454791
"Landings Model",215.861705481877,2631.85531868825,0.998234142798918,0.704755310730834
"Consumption Model",0.0771564762669193,0.0497047925134774,0.992756532871906,0.995635305862738
"Exports Model",54410.7484878725,48445.503283221,0.995972473107564,0.99753469722524
"Market Value Model",34.4880176465842,30.0937060931958,0.99842766735911,0.998798107267853
"Blue Economy Model",365147.627594288,110884.298232416,0.999084720024862,0.999913363415243
"Landings Model",363.993168195433,1640.89476151314,0.994858011914414,0.894974323862642
"Consumption Model",0.0867479256736298,0.0307210283099438,0.989649825943222,0.99875285469028
"Exports Model",53481.7168596774,91658.9706355217,0.995928064755162,0.992318337690037
"Market Value Model",42.5771469582363,24.4395357448097,0.997623235906548,0.9991652067098
"Blue Economy Model",434967.712784079,410146.012438385,0.998811663803188,0.99843815905672
"Landings Model",363.993168195433,1640.89476151314,0.994858011914414,0.894974323862642
"Consumption Model",0.0867479256736298,0.0307210283099438,0.989649825943222,0.99875285469028
"Exports Model",53481.7168596774,91658.9706355217,0.995928064755162,0.992318337690037
"Market Value Model",21.8266720344004,14.3601454566586,0.999366681571678,0.999711843165701
"Blue Economy Model",185845.325403594,350882.022580588,0.999774659612823,0.999082436250442
"Landings Model",363.993168195433,1640.89476151314,0.994858011914414,0.894974323862642
"Consumption Model",0.0867479256736298,0.0307210283099438,0.989649825943222,0.99875285469028
"Exports Model",53481.7168596774,91658.9706355217,0.995928064755162,0.992318337690037
"Market Value Model",21.8266720344004,14.3601454566586,0.999366681571678,0.999711843165701
"Blue Economy Model",385332.088813912,372584.746986085,0.998992175372817,0.998968893999478
"Landings Model",363.993168195433,1640.89476151314,0.994858011914414,0.894974323862642
"Consumption Model",0.0867479256736298,0.0307210283099438,0.989649825943222,0.99875285469028
"Exports Model",53481.7168596774,91658.9706355217,0.995928064755162,0.992318337690037
"Market Value Model",21.8266720344004,14.3601454566586,0.999366681571678,0.999711843165701
"Blue Economy Model",253925.668031401,402888.789486335,0.999556876497143,0.998794854595252
"Landings Model",363.993168195433,1640.89476151314,0.994858011914414,0.894974323862642
"Consumption Model",0.0867479256736298,0.0307210283099438,0.989649825943222,0.99875285469028
"Exports Model",53481.7168596774,91658.9706355217,0.995928064755162,0.992318337690037
"Market Value Model",24.8609892913293,20.0687922226408,0.999191294232674,0.999432458109626
