"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",162875.595930872,276734.871875375,0.932896746509293,0.630064023015447
"Consumption Model",0.145328326584149,0.185026723821748,0.997750627789735,0.996349113044474
"Exports Model",106669.27062258,53089.29697982,0.99592064872677,0.999207395787766
"Landings Model",162875.595930872,276734.871875375,0.932896746509293,0.630064023015447
"Consumption Model",0.145328326584149,0.185026723821748,0.997750627789735,0.996349113044474
"Exports Model",106669.27062258,53089.29697982,0.99592064872677,0.999207395787766
"Market Value Model",0.0208666955600608,0.0303288049019077,0.99886736540093,0.997644282385131
"Landings Model",162875.595930872,276734.871875375,0.932896746509293,0.630064023015447
"Consumption Model",0.145328326584149,0.185026723821748,0.997750627789735,0.996349113044474
"Exports Model",106669.27062258,53089.29697982,0.99592064872677,0.999207395787766
"Market Value Model",0.0208666955600608,0.0303288049019077,0.99886736540093,0.997644282385131
"Landings Model",162875.595930872,276734.871875375,0.932896746509293,0.630064023015447
"Consumption Model",0.145328326584149,0.185026723821748,0.997750627789735,0.996349113044474
"Exports Model",106669.27062258,53089.29697982,0.99592064872677,0.999207395787766
"Market Value Model",0.0208666955600608,0.0303288049019077,0.99886736540093,0.997644282385131
"Blue Economy Model",30180.5480219875,25003.8147900283,0.977640435072275,0.9862100007683
"Landings Model",162875.595930872,276734.871875375,0.932896746509293,0.630064023015447
"Consumption Model",0.145328326584149,0.185026723821748,0.997750627789735,0.996349113044474
"Exports Model",106669.27062258,53089.29697982,0.99592064872677,0.999207395787766
"Market Value Model",0.0208666955600608,0.0303288049019077,0.99886736540093,0.997644282385131
"Blue Economy Model",28389.3828433296,14929.698649574,0.981982229030309,0.99428843335937
"Landings Model",173264.955823081,288005.518400156,0.921759585482495,0.636304827563525
"Consumption Model",0.14659686570463,0.169685004367704,0.997731248197274,0.997274832969776
"Exports Model",107129.142270992,47920.718547539,0.995913796910642,0.999297695794098
"Market Value Model",0.0182206377903915,0.036960354392777,0.999138629132277,0.996469777167117
"Blue Economy Model",28561.1562636989,15345.5875874931,0.982431956814736,0.993545275398656
"Landings Model",173264.955823081,288005.518400156,0.921759585482495,0.636304827563525
"Consumption Model",0.14659686570463,0.169685004367704,0.997731248197274,0.997274832969776
"Exports Model",107129.142270992,47920.718547539,0.995913796910642,0.999297695794098
