"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",514399.212881616,237383.734674435,0.864467068600181,0.814245994622817
"Consumption Model",0.154299274818459,0.090470288077733,0.997275495848899,0.999163260815007
"Exports Model",95658.8125319435,66462.5943392644,0.996766237792229,0.998892139303368
"Landings Model",514399.212881616,237383.734674435,0.864467068600181,0.814245994622817
"Consumption Model",0.154299274818459,0.090470288077733,0.997275495848899,0.999163260815007
"Exports Model",95658.8125319435,66462.5943392644,0.996766237792229,0.998892139303368
"Market Value Model",0.0256551111328629,0.0337263882241556,0.997439111043736,0.994586731581683
"Landings Model",514399.212881616,237383.734674435,0.864467068600181,0.814245994622817
"Consumption Model",0.154299274818459,0.090470288077733,0.997275495848899,0.999163260815007
"Exports Model",95658.8125319435,66462.5943392644,0.996766237792229,0.998892139303368
"Market Value Model",0.0256551111328629,0.0337263882241556,0.997439111043736,0.994586731581683
"Landings Model",514399.212881616,237383.734674435,0.864467068600181,0.814245994622817
"Consumption Model",0.154299274818459,0.090470288077733,0.997275495848899,0.999163260815007
"Exports Model",95658.8125319435,66462.5943392644,0.996766237792229,0.998892139303368
"Market Value Model",0.0256551111328629,0.0337263882241556,0.997439111043736,0.994586731581683
"Blue Economy Model",195556.651284428,61121.8240556107,0.954814451533674,0.90380346436724
"Landings Model",514399.212881616,237383.734674435,0.864467068600181,0.814245994622817
"Consumption Model",0.154299274818459,0.090470288077733,0.997275495848899,0.999163260815007
"Exports Model",95658.8125319435,66462.5943392644,0.996766237792229,0.998892139303368
"Market Value Model",0.0256551111328629,0.0337263882241556,0.997439111043736,0.994586731581683
"Blue Economy Model",141797.277120944,58189.5623884345,0.989208059716539,0.903053185219424
"Landings Model",540541.838659212,189811.999613124,0.825995525727084,0.859726366505145
"Consumption Model",0.132468854568438,0.186377150554061,0.998022679753665,0.996374655398167
"Exports Model",94991.7184713954,81429.1216054951,0.996852309893227,0.998097442868118
"Market Value Model",0.0275614425989769,0.0239547954496875,0.996877148992468,0.99827463429472
"Blue Economy Model",108064.11350826,221950.562177102,0.989712299413449,0.989725853994018
"Landings Model",540541.838659212,189811.999613124,0.825995525727084,0.859726366505145
"Consumption Model",0.132468854568438,0.186377150554061,0.998022679753665,0.996374655398167
"Exports Model",94991.7184713954,81429.1216054951,0.996852309893227,0.998097442868118
"Market Value Model",0.0275614425989769,0.0239547954496875,0.996877148992468,0.99827463429472
"Blue Economy Model",151009.430727144,312725.906487617,0.975140196704828,0.98466307269913
"Landings Model",540541.838659212,189811.999613124,0.825995525727084,0.859726366505145
"Consumption Model",0.132468854568438,0.186377150554061,0.998022679753665,0.996374655398167
"Exports Model",73873.5429717946,44113.2784472963,0.997993984873119,0.99940212595418
"Market Value Model",0.0217424344135935,0.0331015653066993,0.998107558090779,0.996872948958869
"Blue Economy Model",112478.697141202,225188.081537696,0.984918617836579,0.99961958950952
"Landings Model",540541.838659212,189811.999613124,0.825995525727084,0.859726366505145
"Consumption Model",0.132468854568438,0.186377150554061,0.998022679753665,0.996374655398167
"Exports Model",73873.5429717946,44113.2784472963,0.997993984873119,0.99940212595418
"Market Value Model",0.0222450161375393,0.0361054379948376,0.998021919549451,0.995871780479991
"Blue Economy Model",99240.4055522523,188554.451808709,0.986889265183355,0.999571598846429
"Landings Model",540541.838659212,189811.999613124,0.825995525727084,0.859726366505145
"Consumption Model",0.132468854568438,0.186377150554061,0.998022679753665,0.996374655398167
"Exports Model",73873.5429717946,44113.2784472963,0.997993984873119,0.99940212595418
"Market Value Model",0.0221626198133827,0.0347209891743838,0.998072970876486,0.996517295837405
"Blue Economy Model",99936.6643920404,197999.46664779,0.985236993153177,0.998965297529821
"Landings Model",540541.838659212,189811.999613124,0.825995525727084,0.859726366505145
"Consumption Model",0.132468854568438,0.186377150554061,0.998022679753665,0.996374655398167
"Exports Model",73873.5429717946,44113.2784472963,0.997993984873119,0.99940212595418
"Market Value Model",0.0357298127892417,0.0647439285630145,0.995971160121708,0.98846597099797
"Blue Economy Model",147141.922074564,42381.5091996538,0.989539216909374,0.842601604459555
"Landings Model",518843.126273625,880776.569367621,0.773586235174897,0.485391362821519
"Consumption Model",0.116109730756597,0.192075909623391,0.998496540190341,0.995788239759943
"Exports Model",86129.5392169178,40937.6334196068,0.99724966349366,0.999481196409894
"Market Value Model",0.0281372163362346,0.014608748579167,0.996568271654807,0.999270958713559
