"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",424014.669660694,1142660.05620694,0.951593659616012,0.484327240524096
"Consumption Model",0.0615562814385804,0.122928705655983,0.999496053834624,0.997806426022453
"Exports Model",83095.8184475109,77126.6362225243,0.998128522343544,0.998592541558851
"Landings Model",424014.669660694,1142660.05620694,0.951593659616012,0.484327240524096
"Consumption Model",0.0615562814385804,0.122928705655983,0.999496053834624,0.997806426022453
"Exports Model",83095.8184475109,77126.6362225243,0.998128522343544,0.998592541558851
"Market Value Model",0.0215333831427085,0.0203103676412915,0.998121258269477,0.998319123573363
"Landings Model",424014.669660694,1142660.05620694,0.951593659616012,0.484327240524096
"Consumption Model",0.0615562814385804,0.122928705655983,0.999496053834624,0.997806426022453
"Exports Model",83095.8184475109,77126.6362225243,0.998128522343544,0.998592541558851
"Market Value Model",0.0215333831427085,0.0203103676412915,0.998121258269477,0.998319123573363
"Landings Model",424014.669660694,1142660.05620694,0.951593659616012,0.484327240524096
"Consumption Model",0.0615562814385804,0.122928705655983,0.999496053834624,0.997806426022453
"Exports Model",83095.8184475109,77126.6362225243,0.998128522343544,0.998592541558851
"Market Value Model",0.0215333831427085,0.0203103676412915,0.998121258269477,0.998319123573363
"Blue Economy Model",125438.171424755,56469.158107975,0.984029152773099,0.996420089876309
"Landings Model",424014.669660694,1142660.05620694,0.951593659616012,0.484327240524096
"Consumption Model",0.0615562814385804,0.122928705655983,0.999496053834624,0.997806426022453
"Exports Model",83095.8184475109,77126.6362225243,0.998128522343544,0.998592541558851
"Market Value Model",0.0215333831427085,0.0203103676412915,0.998121258269477,0.998319123573363
"Blue Economy Model",116873.949071975,58155.6672904962,0.985751035945929,0.996129126579687
"Landings Model",451126.449085357,1192087.43335881,0.944487049991455,0.439842078086627
"Consumption Model",0.0771404966230039,0.0766283808840496,0.999143277517874,0.999342735653818
"Exports Model",84096.956231366,74473.9210621286,0.998048815379753,0.998884623316451
"Market Value Model",0.0229426180101811,0.0128590023333693,0.997923292772932,0.999232929782243
"Blue Economy Model",84321.5185485341,221020.692852916,0.989676534502608,0.983770697675899
"Landings Model",451126.449085357,1192087.43335881,0.944487049991455,0.439842078086627
"Consumption Model",0.0771404966230039,0.0766283808840496,0.999143277517874,0.999342735653818
"Exports Model",84096.956231366,74473.9210621286,0.998048815379753,0.998884623316451
"Market Value Model",0.0229426180101811,0.0128590023333693,0.997923292772932,0.999232929782243
"Blue Economy Model",83640.2566371307,276665.964150204,0.990444407863232,0.979408013516203
"Landings Model",451126.449085357,1192087.43335881,0.944487049991455,0.439842078086627
"Consumption Model",0.0771404966230039,0.0766283808840496,0.999143277517874,0.999342735653818
"Exports Model",50452.6692273299,55080.677781946,0.999317028740185,0.998965605825389
"Market Value Model",0.019506475696257,0.017721981044157,0.9985354597121,0.998344358453303
"Blue Economy Model",128348.044644312,71162.316564003,0.983918282088775,0.995128972307767
"Landings Model",451126.449085357,1192087.43335881,0.944487049991455,0.439842078086627
"Consumption Model",0.0771404966230039,0.0766283808840496,0.999143277517874,0.999342735653818
"Exports Model",50452.6692273299,55080.677781946,0.999317028740185,0.998965605825389
"Market Value Model",0.0203540547377394,0.0188017806785433,0.998417960985065,0.998251389663
"Blue Economy Model",122369.519410813,66487.8410881752,0.985319129359714,0.993196608622725
"Landings Model",451126.449085357,1192087.43335881,0.944487049991455,0.439842078086627
"Consumption Model",0.0771404966230039,0.0766283808840496,0.999143277517874,0.999342735653818
"Exports Model",50452.6692273299,55080.677781946,0.999317028740185,0.998965605825389
"Market Value Model",0.0213650162253333,0.0172073592250494,0.998254634519032,0.998434008728736
"Blue Economy Model",117300.802870048,80485.8859024702,0.986911708899935,0.989444797172277
"Landings Model",451126.449085357,1192087.43335881,0.944487049991455,0.439842078086627
"Consumption Model",0.0771404966230039,0.0766283808840496,0.999143277517874,0.999342735653818
"Exports Model",50452.6692273299,55080.677781946,0.999317028740185,0.998965605825389
"Market Value Model",0.0336121299664238,0.0291322942073122,0.996179685662103,0.995288509546396
"Blue Economy Model",128251.426941623,115777.418200762,0.982114194554123,0.990112021805416
"Landings Model",470305.026712912,1210473.46150874,0.932403078950799,0.59294125370883
"Consumption Model",0.0863413606553768,0.0610271921397451,0.998940404655567,0.99959401357145
"Exports Model",58857.6651088164,54850.4114912697,0.999038715445776,0.999154709835379
"Market Value Model",0.0226510118745315,0.0180118010152991,0.997862324323002,0.998797633806772
"Blue Economy Model",120046.458330568,52991.0358032626,0.988019413762073,0.994690676491971
"Landings Model",470305.026712912,1210473.46150874,0.932403078950799,0.59294125370883
"Consumption Model",0.0863413606553768,0.0610271921397451,0.998940404655567,0.99959401357145
