"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",1310473.67073563,1856385.05692598,0.964037528072673,0.883979708392385
"Consumption Model",0.120736041339394,0.0687099810048224,0.997524153566947,0.998970246669205
"Exports Model",138156.867652963,134043.602588659,0.994187250664017,0.992836193800302
"Landings Model",1310473.67073563,1856385.05692598,0.964037528072673,0.883979708392385
"Consumption Model",0.120736041339394,0.0687099810048224,0.997524153566947,0.998970246669205
"Exports Model",138156.867652963,134043.602588659,0.994187250664017,0.992836193800302
"Market Value Model",0.0155665014684101,0.035346060489422,0.996931138960421,0.981630061838189
"Landings Model",1310473.67073563,1856385.05692598,0.964037528072673,0.883979708392385
"Consumption Model",0.120736041339394,0.0687099810048224,0.997524153566947,0.998970246669205
"Exports Model",138156.867652963,134043.602588659,0.994187250664017,0.992836193800302
"Market Value Model",0.0155665014684101,0.035346060489422,0.996931138960421,0.981630061838189
"Landings Model",1310473.67073563,1856385.05692598,0.964037528072673,0.883979708392385
"Consumption Model",0.120736041339394,0.0687099810048224,0.997524153566947,0.998970246669205
"Exports Model",138156.867652963,134043.602588659,0.994187250664017,0.992836193800302
"Market Value Model",0.0155665014684101,0.035346060489422,0.996931138960421,0.981630061838189
"Blue Economy Model",64658.962592426,70765.4663137622,0.924104816971778,0.92905863804379
"Landings Model",1310473.67073563,1856385.05692598,0.964037528072673,0.883979708392385
"Consumption Model",0.120736041339394,0.0687099810048224,0.997524153566947,0.998970246669205
"Exports Model",138156.867652963,134043.602588659,0.994187250664017,0.992836193800302
"Market Value Model",0.0155665014684101,0.035346060489422,0.996931138960421,0.981630061838189
"Blue Economy Model",60540.8323069265,62741.980396994,0.934037244830607,0.944948635188363
"Landings Model",1297810.23714872,1857466.22312481,0.963618582159391,0.880600546587607
"Consumption Model",0.120035433219477,0.0733781323874387,0.997446220459282,0.999358982238653
"Exports Model",138260.764205689,141095.857994951,0.993895990089492,0.993581300734445
"Market Value Model",0.0226603565020265,0.0121466984412569,0.993193449807918,0.998144868311226
"Blue Economy Model",57639.4380291343,73758.4505633993,0.933607086756922,0.946131957324216
"Landings Model",1297810.23714872,1857466.22312481,0.963618582159391,0.880600546587607
"Consumption Model",0.120035433219477,0.0733781323874387,0.997446220459282,0.999358982238653
"Exports Model",138260.764205689,141095.857994951,0.993895990089492,0.993581300734445
"Market Value Model",0.0226603565020265,0.0121466984412569,0.993193449807918,0.998144868311226
"Blue Economy Model",54312.9144612678,73491.6636212151,0.943239066569555,0.94905760754848
"Landings Model",1297810.23714872,1857466.22312481,0.963618582159391,0.880600546587607
"Consumption Model",0.120035433219477,0.0733781323874387,0.997446220459282,0.999358982238653
"Exports Model",61930.0497166349,67151.5810299019,0.998743992117454,0.998626346856029
"Market Value Model",0.0215029182336149,0.00830039134655266,0.994163613127202,0.998891325205832
"Blue Economy Model",60479.9778077892,59297.913606227,0.934718189790112,0.989438535855116
"Landings Model",1297810.23714872,1857466.22312481,0.963618582159391,0.880600546587607
"Consumption Model",0.120035433219477,0.0733781323874387,0.997446220459282,0.999358982238653
"Exports Model",61930.0497166349,67151.5810299019,0.998743992117454,0.998626346856029
"Market Value Model",0.021797294290646,0.00837527002712038,0.994017719553672,0.998868598743978
"Blue Economy Model",62404.4674029214,55907.5628599379,0.921368354767104,0.972439614687626
"Landings Model",1297810.23714872,1857466.22312481,0.963618582159391,0.880600546587607
"Consumption Model",0.120035433219477,0.0733781323874387,0.997446220459282,0.999358982238653
"Exports Model",61930.0497166349,67151.5810299019,0.998743992117454,0.998626346856029
"Market Value Model",0.0213916789838217,0.00929117608647637,0.994273579527744,0.998624704081044
"Blue Economy Model",67521.4873007808,28231.6503151056,0.932639184951739,0.977768704981633
"Landings Model",1297810.23714872,1857466.22312481,0.963618582159391,0.880600546587607
"Consumption Model",0.120035433219477,0.0733781323874387,0.997446220459282,0.999358982238653
"Exports Model",61930.0497166349,67151.5810299019,0.998743992117454,0.998626346856029
"Market Value Model",0.0243450937193879,0.0115632492705831,0.992921253572532,0.997817643976732
"Blue Economy Model",71887.2671307363,29452.4791834031,0.921990738949677,0.974930339541994
"Landings Model",1481632.11895327,2382061.69969221,0.949130763293225,0.951388299240207
"Consumption Model",0.108444001082738,0.119718870022687,0.997998925324609,0.997721875236948
"Exports Model",80107.8353431247,82451.5230927664,0.9978533782034,0.998102618847093
"Market Value Model",0.0207429332076861,0.0258805128282377,0.994529338560046,0.992117640325349
"Blue Economy Model",72628.1740319537,16650.7913335778,0.923652354922198,0.993902467439299
"Landings Model",1481632.11895327,2382061.69969221,0.949130763293225,0.951388299240207
"Consumption Model",0.108444001082738,0.119718870022687,0.997998925324609,0.997721875236948
"Exports Model",80107.8353431247,82451.5230927664,0.9978533782034,0.998102618847093
"Market Value Model",0.0198348792357498,0.0195171568389869,0.994845674012517,0.995049026024051
"Blue Economy Model",82665.8413737221,38370.9849867908,0.909086995902565,0.96518209669864
"Landings Model",1481632.11895327,2382061.69969221,0.949130763293225,0.951388299240207
"Consumption Model",0.108444001082738,0.119718870022687,0.997998925324609,0.997721875236948
"Exports Model",80107.8353431247,82451.5230927664,0.9978533782034,0.998102618847093
"Market Value Model",0.0198348792357498,0.0195171568389869,0.994845674012517,0.995049026024051
"Blue Economy Model",65556.0139002655,29417.1871251816,0.951510913998583,0.980494005628453
"Landings Model",1481632.11895327,2382061.69969221,0.949130763293225,0.951388299240207
"Consumption Model",0.108444001082738,0.119718870022687,0.997998925324609,0.997721875236948
"Exports Model",80107.8353431247,82451.5230927664,0.9978533782034,0.998102618847093
"Market Value Model",0.0198348792357498,0.0195171568389869,0.994845674012517,0.995049026024051
"Blue Economy Model",68734.3469306612,30695.8478873225,0.939775384657615,0.978649789281166
"Landings Model",1481632.11895327,2382061.69969221,0.949130763293225,0.951388299240207
"Consumption Model",0.108444001082738,0.119718870022687,0.997998925324609,0.997721875236948
"Exports Model",80107.8353431247,82451.5230927664,0.9978533782034,0.998102618847093
"Market Value Model",0.0218585767131176,0.0223219136071687,0.993771804339513,0.99393182970421
"Blue Economy Model",82074.1545338472,36275.7373865154,0.910390967312559,0.956074357233772
