"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",410336.681925917,1321948.14253432,0.966588703903665,0.755425151536263
"Consumption Model",0.0988504227661638,0.055339055651836,0.998663637892837,0.999568889641096
"Exports Model",77808.7062565606,78529.8489083649,0.998282041272946,0.998470445029172
"Landings Model",410336.681925917,1321948.14253432,0.966588703903665,0.755425151536263
"Consumption Model",0.0988504227661638,0.055339055651836,0.998663637892837,0.999568889641096
"Exports Model",77808.7062565606,78529.8489083649,0.998282041272946,0.998470445029172
"Market Value Model",0.0127550067957656,0.00685156760582678,0.999385346809854,0.999831298083121
"Landings Model",410336.681925917,1321948.14253432,0.966588703903665,0.755425151536263
"Consumption Model",0.0988504227661638,0.055339055651836,0.998663637892837,0.999568889641096
"Exports Model",77808.7062565606,78529.8489083649,0.998282041272946,0.998470445029172
"Market Value Model",0.0127550067957656,0.00685156760582678,0.999385346809854,0.999831298083121
"Landings Model",410336.681925917,1321948.14253432,0.966588703903665,0.755425151536263
"Consumption Model",0.0988504227661638,0.055339055651836,0.998663637892837,0.999568889641096
"Exports Model",77808.7062565606,78529.8489083649,0.998282041272946,0.998470445029172
"Market Value Model",0.0127550067957656,0.00685156760582678,0.999385346809854,0.999831298083121
"Blue Economy Model",101629.376997251,51494.580891151,0.989771016029822,0.996639038640542
"Landings Model",410336.681925917,1321948.14253432,0.966588703903665,0.755425151536263
"Consumption Model",0.0988504227661638,0.055339055651836,0.998663637892837,0.999568889641096
"Exports Model",77808.7062565606,78529.8489083649,0.998282041272946,0.998470445029172
"Market Value Model",0.0127550067957656,0.00685156760582678,0.999385346809854,0.999831298083121
"Blue Economy Model",96064.0821901503,47186.8866953859,0.990956796336574,0.997196480232079
"Landings Model",413869.545766395,1310585.13629126,0.96487462401976,0.758895226665652
"Consumption Model",0.0839424172988648,0.118779629289316,0.998954276008385,0.998450042739154
"Exports Model",85033.732931567,37528.5398289901,0.998013363861737,0.999608463595759
"Market Value Model",0.0116023258321352,0.0125525032676399,0.999471039253802,0.999464522700525
"Blue Economy Model",88228.3833966668,126397.40227411,0.991106362804946,0.990048950727134
"Landings Model",413869.545766395,1310585.13629126,0.96487462401976,0.758895226665652
"Consumption Model",0.0839424172988648,0.118779629289316,0.998954276008385,0.998450042739154
"Exports Model",85033.732931567,37528.5398289901,0.998013363861737,0.999608463595759
"Market Value Model",0.0116023258321352,0.0125525032676399,0.999471039253802,0.999464522700525
"Blue Economy Model",90961.1729785811,130625.033206454,0.991070475980294,0.991768191788113
"Landings Model",413869.545766395,1310585.13629126,0.96487462401976,0.758895226665652
"Consumption Model",0.0839424172988648,0.118779629289316,0.998954276008385,0.998450042739154
"Exports Model",45231.0491031597,65228.3047437903,0.999422244088266,0.998893665334948
"Market Value Model",0.00972999615218035,0.0134589997506483,0.999640576171937,0.999203961857621
"Blue Economy Model",96706.5058685073,51929.9680375232,0.991994386692739,0.996636691089119
"Landings Model",413869.545766395,1310585.13629126,0.96487462401976,0.758895226665652
"Consumption Model",0.0839424172988648,0.118779629289316,0.998954276008385,0.998450042739154
"Exports Model",45231.0491031597,65228.3047437903,0.999422244088266,0.998893665334948
"Market Value Model",0.0103923083054725,0.0144728009369059,0.999586507160693,0.999101399694506
"Blue Economy Model",87397.5813968791,28156.8421490784,0.992409225794318,0.999311978974815
"Landings Model",413869.545766395,1310585.13629126,0.96487462401976,0.758895226665652
"Consumption Model",0.0839424172988648,0.118779629289316,0.998954276008385,0.998450042739154
"Exports Model",45231.0491031597,65228.3047437903,0.999422244088266,0.998893665334948
"Market Value Model",0.0103340383893538,0.0144946823612509,0.999591226394157,0.999092771785395
"Blue Economy Model",75262.19786168,93007.2325155029,0.993753369894429,0.994937294577229
"Landings Model",413869.545766395,1310585.13629126,0.96487462401976,0.758895226665652
"Consumption Model",0.0839424172988648,0.118779629289316,0.998954276008385,0.998450042739154
"Exports Model",45231.0491031597,65228.3047437903,0.999422244088266,0.998893665334948
"Market Value Model",0.022889047556331,0.0250504788431448,0.998117700281532,0.997900601780417
"Blue Economy Model",106794.938253433,46707.451195741,0.989615388070187,0.997457559138802
"Landings Model",449964.696890822,957322.167481201,0.964100691034186,0.796666091910543
"Consumption Model",0.0659863534494167,0.139410484650147,0.999355073277524,0.997642947427099
"Exports Model",55698.349907212,59164.2927811934,0.999087096296916,0.999146726370751
"Market Value Model",0.0105985367926314,0.0152527193607073,0.999575306908299,0.999060922165406
"Blue Economy Model",95798.9222056173,86878.7771943204,0.990622882510979,0.992950091049592
"Landings Model",449964.696890822,957322.167481201,0.964100691034186,0.796666091910543
"Consumption Model",0.0659863534494167,0.139410484650147,0.999355073277524,0.997642947427099
"Exports Model",55698.349907212,59164.2927811934,0.999087096296916,0.999146726370751
"Market Value Model",0.0199667494834294,0.0252217536140543,0.998561085050645,0.997974713639961
"Blue Economy Model",87363.3203676576,101340.725508539,0.992331662058887,0.989913984159412
"Landings Model",449964.696890822,957322.167481201,0.964100691034186,0.796666091910543
"Consumption Model",0.0659863534494167,0.139410484650147,0.999355073277524,0.997642947427099
"Exports Model",55698.349907212,59164.2927811934,0.999087096296916,0.999146726370751
"Market Value Model",0.00942686259438538,0.0149808259011666,0.999662952629206,0.99910632988894
"Blue Economy Model",77018.4598946189,115816.300969065,0.994397770166422,0.986518237404731
"Landings Model",449964.696890822,957322.167481201,0.964100691034186,0.796666091910543
"Consumption Model",0.0659863534494167,0.139410484650147,0.999355073277524,0.997642947427099
"Exports Model",55698.349907212,59164.2927811934,0.999087096296916,0.999146726370751
"Market Value Model",0.00942686259438538,0.0149808259011666,0.999662952629206,0.99910632988894
"Blue Economy Model",89129.0005505063,114104.23845329,0.993192812510882,0.987935187105825
"Landings Model",449964.696890822,957322.167481201,0.964100691034186,0.796666091910543
"Consumption Model",0.0659863534494167,0.139410484650147,0.999355073277524,0.997642947427099
"Exports Model",55698.349907212,59164.2927811934,0.999087096296916,0.999146726370751
"Market Value Model",0.00942686259438538,0.0149808259011666,0.999662952629206,0.99910632988894
"Blue Economy Model",74755.6085877707,103915.492941174,0.995056520598133,0.989310405729105
"Landings Model",449964.696890822,957322.167481201,0.964100691034186,0.796666091910543
"Consumption Model",0.0659863534494167,0.139410484650147,0.999355073277524,0.997642947427099
"Exports Model",55698.349907212,59164.2927811934,0.999087096296916,0.999146726370751
"Market Value Model",0.0109404226030497,0.0148495377375438,0.999548304620846,0.999155831348854
"Blue Economy Model",89285.8531495614,126808.792900447,0.99200095311085,0.987040194103453
