"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",6148.42554488318,7312.68351973733,0.963032929055411,0.918304761946589
"Consumption Model",0.102900209198326,0.0997596598259186,0.998589395108906,0.998464573118093
"Exports Model",75894.374828368,91581.6814309396,0.998510760674215,0.997431145573469
"Landings Model",6148.42554488318,7312.68351973733,0.963032929055411,0.918304761946589
"Consumption Model",0.102900209198326,0.0997596598259186,0.998589395108906,0.998464573118093
"Exports Model",75894.374828368,91581.6814309396,0.998510760674215,0.997431145573469
"Market Value Model",0.0484233871985712,0.0389858236809059,0.999513988834229,0.999593718289502
"Landings Model",6148.42554488318,7312.68351973733,0.963032929055411,0.918304761946589
"Consumption Model",0.102900209198326,0.0997596598259186,0.998589395108906,0.998464573118093
"Exports Model",75894.374828368,91581.6814309396,0.998510760674215,0.997431145573469
"Market Value Model",0.0484233871985712,0.0389858236809059,0.999513988834229,0.999593718289502
"Landings Model",6148.42554488318,7312.68351973733,0.963032929055411,0.918304761946589
"Consumption Model",0.102900209198326,0.0997596598259186,0.998589395108906,0.998464573118093
"Exports Model",75894.374828368,91581.6814309396,0.998510760674215,0.997431145573469
"Market Value Model",0.0484233871985712,0.0389858236809059,0.999513988834229,0.999593718289502
"Blue Economy Model",7112.98562756966,4010.47711914695,0.998339594859123,0.99954743360811
"Landings Model",6148.42554488318,7312.68351973733,0.963032929055411,0.918304761946589
"Consumption Model",0.102900209198326,0.0997596598259186,0.998589395108906,0.998464573118093
"Exports Model",75894.374828368,91581.6814309396,0.998510760674215,0.997431145573469
"Market Value Model",0.0484233871985712,0.0389858236809059,0.999513988834229,0.999593718289502
"Blue Economy Model",6691.69881726644,3777.13438825037,0.998535010475638,0.999598957887608
"Landings Model",6359.66720216364,8744.28533789196,0.960930684493477,0.883032483490534
"Consumption Model",0.0955779668916019,0.126151572043277,0.99871395533415,0.997861581135145
"Exports Model",75462.2127061032,92791.1675896904,0.998494384207207,0.997869417043707
"Market Value Model",0.042578464480305,0.0620883658680596,0.999610853578916,0.999099050838803
