"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",7262859.55807248,17960909.9381684,0.951866390648747,0.482891933478687
"Consumption Model",0.0792762605501306,0.130385330121113,0.999139381473146,0.997458287040333
"Exports Model",122418.702845453,19347.8343077508,0.995853115008924,0.999898261805934
"Landings Model",7262859.55807248,17960909.9381684,0.951866390648747,0.482891933478687
"Consumption Model",0.0792762605501306,0.130385330121113,0.999139381473146,0.997458287040333
"Exports Model",122418.702845453,19347.8343077508,0.995853115008924,0.999898261805934
"Market Value Model",0.00151905053248746,0.00120779023442982,0.999772572751065,0.999814515843754
"Landings Model",7262859.55807248,17960909.9381684,0.951866390648747,0.482891933478687
"Consumption Model",0.0792762605501306,0.130385330121113,0.999139381473146,0.997458287040333
"Exports Model",122418.702845453,19347.8343077508,0.995853115008924,0.999898261805934
"Market Value Model",0.00151905053248746,0.00120779023442982,0.999772572751065,0.999814515843754
"Landings Model",7262859.55807248,17960909.9381684,0.951866390648747,0.482891933478687
"Consumption Model",0.0792762605501306,0.130385330121113,0.999139381473146,0.997458287040333
"Exports Model",122418.702845453,19347.8343077508,0.995853115008924,0.999898261805934
"Market Value Model",0.00151905053248746,0.00120779023442982,0.999772572751065,0.999814515843754
"Blue Economy Model",210937.986232433,153737.483796773,0.998469019468559,0.999308063743283
"Landings Model",7262859.55807248,17960909.9381684,0.951866390648747,0.482891933478687
"Consumption Model",0.0792762605501306,0.130385330121113,0.999139381473146,0.997458287040333
"Exports Model",122418.702845453,19347.8343077508,0.995853115008924,0.999898261805934
"Market Value Model",0.00151905053248746,0.00120779023442982,0.999772572751065,0.999814515843754
"Blue Economy Model",201100.250843502,139328.307522233,0.998611213675752,0.999433979805876
"Landings Model",7241163.98264382,17797922.7413009,0.952219152995311,0.493002187187305
"Consumption Model",0.0936022057497725,0.0790185991160455,0.998780308102997,0.999062390332341
"Exports Model",116115.127839619,76926.7505283901,0.99617885612473,0.998558989108888
"Market Value Model",0.0015507881471212,0.000999841330157321,0.999739505436597,0.999907847441668
"Blue Economy Model",187585.740422382,260480.301317149,0.998802118133612,0.998007229483836
"Landings Model",7241163.98264382,17797922.7413009,0.952219152995311,0.493002187187305
"Consumption Model",0.0936022057497725,0.0790185991160455,0.998780308102997,0.999062390332341
"Exports Model",116115.127839619,76926.7505283901,0.99617885612473,0.998558989108888
"Market Value Model",0.0015507881471212,0.000999841330157321,0.999739505436597,0.999907847441668
"Blue Economy Model",214264.972718103,284579.771538435,0.998491181014041,0.997660704101456
"Landings Model",7241163.98264382,17797922.7413009,0.952219152995311,0.493002187187305
"Consumption Model",0.0936022057497725,0.0790185991160455,0.998780308102997,0.999062390332341
"Exports Model",60763.8784193901,25031.6846278272,0.998924842667607,0.99984236155998
"Market Value Model",0.00122384521668378,0.000821252847764909,0.999804571155669,0.999953886441202
"Blue Economy Model",203306.419381727,115889.095893881,0.998631078389365,0.999573836609217
"Landings Model",7241163.98264382,17797922.7413009,0.952219152995311,0.493002187187305
"Consumption Model",0.0936022057497725,0.0790185991160455,0.998780308102997,0.999062390332341
"Exports Model",60763.8784193901,25031.6846278272,0.998924842667607,0.99984236155998
"Market Value Model",0.00126655852459439,0.000861400733605097,0.999792018249095,0.999949951974301
"Blue Economy Model",199096.620803912,146645.927218709,0.998675617010136,0.999341129369485
"Landings Model",7241163.98264382,17797922.7413009,0.952219152995311,0.493002187187305
"Consumption Model",0.0936022057497725,0.0790185991160455,0.998780308102997,0.999062390332341
"Exports Model",60763.8784193901,25031.6846278272,0.998924842667607,0.99984236155998
"Market Value Model",0.00130949069344143,0.000936212029543622,0.999780979919961,0.999941052080282
"Blue Economy Model",200680.169137545,131781.120315991,0.998672422842262,0.999411911608928
"Landings Model",7241163.98264382,17797922.7413009,0.952219152995311,0.493002187187305
"Consumption Model",0.0936022057497725,0.0790185991160455,0.998780308102997,0.999062390332341
