"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",1744045.71189279,3227214.44853905,0.998408061216113,0.996263225289781
"Consumption Model",0.0844663284779104,0.0767298883842842,0.999037917208291,0.998934483182223
"Exports Model",65308.5505128859,29790.401167873,0.998774996657765,0.999754372766311
"Landings Model",1744045.71189279,3227214.44853905,0.998408061216113,0.996263225289781
"Consumption Model",0.0844663284779104,0.0767298883842842,0.999037917208291,0.998934483182223
"Exports Model",65308.5505128859,29790.401167873,0.998774996657765,0.999754372766311
"Market Value Model",0.0365327688375392,0.0557764243419593,0.999155293609867,0.997663988773696
"Landings Model",1744045.71189279,3227214.44853905,0.998408061216113,0.996263225289781
"Consumption Model",0.0844663284779104,0.0767298883842842,0.999037917208291,0.998934483182223
"Exports Model",65308.5505128859,29790.401167873,0.998774996657765,0.999754372766311
"Market Value Model",0.0365327688375392,0.0557764243419593,0.999155293609867,0.997663988773696
"Landings Model",1744045.71189279,3227214.44853905,0.998408061216113,0.996263225289781
"Consumption Model",0.0844663284779104,0.0767298883842842,0.999037917208291,0.998934483182223
"Exports Model",65308.5505128859,29790.401167873,0.998774996657765,0.999754372766311
"Market Value Model",0.0365327688375392,0.0557764243419593,0.999155293609867,0.997663988773696
"Blue Economy Model",2102883.43353216,572819.71313719,0.999851120422698,0.999991375612989
"Landings Model",1744045.71189279,3227214.44853905,0.998408061216113,0.996263225289781
"Consumption Model",0.0844663284779104,0.0767298883842842,0.999037917208291,0.998934483182223
"Exports Model",65308.5505128859,29790.401167873,0.998774996657765,0.999754372766311
"Market Value Model",0.0365327688375392,0.0557764243419593,0.999155293609867,0.997663988773696
"Blue Economy Model",1674660.16231161,1472800.85211855,0.999906819433348,0.999930420353968
"Landings Model",1746511.90471895,3089251.02368749,0.998314499696902,0.996207929001309
"Consumption Model",0.0868110422557809,0.0668386062265294,0.998967678287968,0.999287512948859
"Exports Model",54590.0167162582,77682.7173052208,0.999177730721735,0.998270795851534
"Market Value Model",0.038956209909197,0.0472972857485905,0.999007446649893,0.998654436048917
"Blue Economy Model",2444649.46418484,874280.69493242,0.999810127132792,0.999972540412215
"Landings Model",1746511.90471895,3089251.02368749,0.998314499696902,0.996207929001309
"Consumption Model",0.0868110422557809,0.0668386062265294,0.998967678287968,0.999287512948859
"Exports Model",54590.0167162582,77682.7173052208,0.999177730721735,0.998270795851534
"Market Value Model",0.038956209909197,0.0472972857485905,0.999007446649893,0.998654436048917
"Blue Economy Model",2058998.80060201,1238794.93212975,0.999885656935855,0.99995160987156
"Landings Model",1746511.90471895,3089251.02368749,0.998314499696902,0.996207929001309
"Consumption Model",0.0868110422557809,0.0668386062265294,0.998967678287968,0.999287512948859
"Exports Model",48719.4758000314,36377.9720266269,0.999322827444269,0.999582218628314
"Market Value Model",0.0323293252900364,0.0361429933731526,0.999327362013677,0.999115398545562
"Blue Economy Model",1348390.2377209,3235712.51859774,0.999941713710868,0.999638495738251
"Landings Model",1746511.90471895,3089251.02368749,0.998314499696902,0.996207929001309
"Consumption Model",0.0868110422557809,0.0668386062265294,0.998967678287968,0.999287512948859
"Exports Model",48719.4758000314,36377.9720266269,0.999322827444269,0.999582218628314
"Market Value Model",0.0362775547409297,0.0337234722909627,0.999159281574626,0.999234637257513
"Blue Economy Model",1349058.14795789,2822634.90046574,0.99993864542226,0.999734456133153
"Landings Model",1746511.90471895,3089251.02368749,0.998314499696902,0.996207929001309
"Consumption Model",0.0868110422557809,0.0668386062265294,0.998967678287968,0.999287512948859
"Exports Model",48719.4758000314,36377.9720266269,0.999322827444269,0.999582218628314
"Market Value Model",0.0370342056786271,0.0377974253686022,0.999123304391439,0.999044158090264
"Blue Economy Model",1907106.76028619,860408.207021522,0.999875015609164,0.999975988878303
"Landings Model",1746511.90471895,3089251.02368749,0.998314499696902,0.996207929001309
