"Year","Scenario","Net_Blue_Economy_Value"
2020,"Baseline",6401017.78513333
2020,"Extreme_Climate",6401017.78513333
2020,"Low_Climate",6401017.78513333
2020,"Moderate_Climate",6401017.78513333
2021,"Baseline",6401017.78513333
2021,"Extreme_Climate",6401017.78513333
2021,"Low_Climate",6401017.78513333
2021,"Moderate_Climate",6401017.78513333
2022,"Baseline",6401017.78513333
2022,"Extreme_Climate",6401017.78513333
2022,"Low_Climate",6401017.78513333
2022,"Moderate_Climate",6401017.78513333
2023,"Baseline",6401017.78513333
2023,"Extreme_Climate",6403339.69393333
2023,"Low_Climate",6403339.69393333
2023,"Moderate_Climate",6403339.69393333
2024,"Baseline",6403339.69393333
2024,"Extreme_Climate",6403339.69393333
2024,"Low_Climate",6403339.69393333
2024,"Moderate_Climate",6403339.69393333
2025,"Baseline",6403339.69393333
2025,"Extreme_Climate",5458249.6348
2025,"Low_Climate",6403339.69393333
2025,"Moderate_Climate",6403339.69393333
2026,"Baseline",6403339.69393333
2026,"Extreme_Climate",5458249.6348
2026,"Low_Climate",5458249.6348
2026,"Moderate_Climate",5458249.6348
2027,"Baseline",6403339.69393333
2027,"Extreme_Climate",6071963.336
2027,"Low_Climate",5458249.6348
2027,"Moderate_Climate",5458249.6348
2028,"Baseline",6403339.69393333
2028,"Extreme_Climate",6071963.336
2028,"Low_Climate",5458249.6348
2028,"Moderate_Climate",6071963.336
2029,"Baseline",6403339.69393333
2029,"Extreme_Climate",6071963.336
2029,"Low_Climate",6071963.336
2029,"Moderate_Climate",6071963.336
2030,"Baseline",6403339.69393333
2030,"Extreme_Climate",6071963.336
2030,"Low_Climate",6071963.336
2030,"Moderate_Climate",6071963.336
2031,"Baseline",5458249.6348
2031,"Extreme_Climate",6071963.336
2031,"Low_Climate",6071963.336
2031,"Moderate_Climate",6071963.336
2032,"Baseline",5458249.6348
2032,"Extreme_Climate",6071963.336
2032,"Low_Climate",6071963.336
2032,"Moderate_Climate",6071963.336
2033,"Baseline",5458249.6348
2033,"Extreme_Climate",6071963.336
2033,"Low_Climate",6071963.336
2033,"Moderate_Climate",6071963.336
2034,"Baseline",5458249.6348
2034,"Extreme_Climate",6071963.336
2034,"Low_Climate",6071963.336
2034,"Moderate_Climate",6071963.336
2035,"Baseline",5458249.6348
2035,"Extreme_Climate",6071963.336
2035,"Low_Climate",6071963.336
2035,"Moderate_Climate",6071963.336
2036,"Baseline",5458249.6348
2036,"Extreme_Climate",6071963.336
2036,"Low_Climate",6071963.336
2036,"Moderate_Climate",6071963.336
2037,"Baseline",5458249.6348
2037,"Extreme_Climate",6071963.336
2037,"Low_Climate",6071963.336
2037,"Moderate_Climate",6071963.336
2038,"Baseline",5458249.6348
2038,"Extreme_Climate",6071963.336
2038,"Low_Climate",6360154.65
2038,"Moderate_Climate",6361120.802
2039,"Baseline",6071963.336
2039,"Extreme_Climate",6071963.336
2039,"Low_Climate",6361120.802
2039,"Moderate_Climate",6071963.336
2040,"Baseline",6071963.336
2040,"Extreme_Climate",6071963.336
2040,"Low_Climate",6071963.336
2040,"Moderate_Climate",6071963.336
