"Scenario","Species","Total_Landings_kg"
"Baseline","Lobster_American",2171311500.20707
"Baseline","Herring_Atlantic",749212374.020909
"Baseline","Salmon_Atlantic",353062386.754875
"Baseline","Seaweed_Unc",347746947.655524
"Baseline","Rockweed",336612510.539
"Baseline","Menhaden_Atlantic",256835992.524009
"Baseline","Mussel_Blue_Sea",231045522.088101
"Baseline","Clam_Soft",172574348.076692
"Baseline","Shrimp_Northern",166774741.079375
"Baseline","Scallop_Sea",84305270.1753917
"Baseline","Oysters",59784887.0546917
"Baseline","Alewife",40466337.0389834
"Baseline","Clam_Northern_Quahog___Hard",39003837.0910499
"Baseline","Sea_Urchins_Green",38686531.6934417
"Baseline","Clam_Ocean_Quahog",38651344.70675
"Baseline","Crab_Unc",35596547.0971417
"Baseline","Cucumber_Sea",35261892.845625
"Baseline","Monkfish",23447886.4073
"Baseline","Pollock",18708434.3094
"Baseline","Periwinkles_Atlantic__Cockles_",13504634.07745
"Baseline","Mackerel_Atlantic",11075869.808275
"Baseline","Hake_White",9394635.22214999
"Baseline","Bloodworms",8711080.0241
"Baseline","Haddock",7045679.06672501
"Baseline","Plaice_American__Dab_",5416034.72274999
"Baseline","Shark_Dogfish",5341137.2408
"Baseline","Cod_Atlantic",5012259.63379166
"Baseline","Sandworms",4477901.66139999
"Baseline","Flounder_Winter",3984782.35355
"Baseline","Redfish_Acadian_Ocean_Perch",2824018.15717499
"Baseline","Flounder_Atlantic_Witch__Gray_Sole_",2723060.876975
"Baseline","Hake_Silver__Whiting_",2154808.648975
"Baseline","Flounder_Yellowtail",1436325.094375
"Baseline","Skates",1072685.33360833
"Baseline","Halibut_Atlantic",1053809.37165
"Baseline","Wolffish_Atlantic",710918.0612
"Baseline","Cusk",598258.7248
"Baseline","Elver",195986.025691667
"Baseline","Yellow_Eel",61736.2818166667
"Extreme_Climate","Lobster_American",2147610180.36566
"Extreme_Climate","Herring_Atlantic",674013121.763258
"Extreme_Climate","Salmon_Atlantic",363253699.605467
"Extreme_Climate","Seaweed_Unc",337012344.3776
"Extreme_Climate","Rockweed",328774863.9603
"Extreme_Climate","Menhaden_Atlantic",260078891.267592
"Extreme_Climate","Mussel_Blue_Sea",231572970.972251
"Extreme_Climate","Clam_Soft",185442594.916983
"Extreme_Climate","Shrimp_Northern",171074068.720633
"Extreme_Climate","Scallop_Sea",80305759.0107667
"Extreme_Climate","Sea_Urchins_Green",61676906.4802417
"Extreme_Climate","Oysters",59290757.1322166
"Extreme_Climate","Alewife",40629067.2914167
"Extreme_Climate","Cucumber_Sea",40212185.6047833
"Extreme_Climate","Clam_Northern_Quahog___Hard",39743954.4501999
"Extreme_Climate","Clam_Ocean_Quahog",38959867.02875
"Extreme_Climate","Crab_Unc",37181374.207925
"Extreme_Climate","Monkfish",23609110.100125
"Extreme_Climate","Pollock",19200088.83145
"Extreme_Climate","Periwinkles_Atlantic__Cockles_",13693982.9338167
"Extreme_Climate","Redfish_Acadian_Ocean_Perch",10951535.5899167
"Extreme_Climate","Mackerel_Atlantic",10602289.2447583
"Extreme_Climate","Hake_White",9848238.01111666
"Extreme_Climate","Bloodworms",8725330.422675
"Extreme_Climate","Haddock",7355627.81125001
"Extreme_Climate","Plaice_American__Dab_",6596458.62308333
"Extreme_Climate","Cod_Atlantic",6047598.0109
"Extreme_Climate","Shark_Dogfish",5123843.72786667
"Extreme_Climate","Sandworms",4568156.145975
"Extreme_Climate","Flounder_Winter",3840024.7729
"Extreme_Climate","Flounder_Atlantic_Witch__Gray_Sole_",3056940.55595
"Extreme_Climate","Hake_Silver__Whiting_",2208748.523225
"Extreme_Climate","Flounder_Yellowtail",1345625.32895833
"Extreme_Climate","Skates",1192026.92111667
"Extreme_Climate","Halibut_Atlantic",1041566.75031667
"Extreme_Climate","Cusk",1022747.78801667
"Extreme_Climate","Wolffish_Atlantic",726548.971525
"Extreme_Climate","Elver",210264.973275
"Extreme_Climate","Yellow_Eel",63891.2113333333
"Low_Climate","Lobster_American",2154604020.60639
"Low_Climate","Herring_Atlantic",683168256.438775
"Low_Climate","Salmon_Atlantic",357308737.2598
"Low_Climate","Seaweed_Unc",341826721.13635
"Low_Climate","Rockweed",332140622.0486
"Low_Climate","Menhaden_Atlantic",259229108.301034
"Low_Climate","Mussel_Blue_Sea",231391607.580426
"Low_Climate","Clam_Soft",180693788.939867
"Low_Climate","Shrimp_Northern",169609655.206625
"Low_Climate","Scallop_Sea",82713032.2340584
"Low_Climate","Oysters",59579022.025025
"Low_Climate","Sea_Urchins_Green",50731637.9847
"Low_Climate","Alewife",40629158.5930584
"Low_Climate","Clam_Northern_Quahog___Hard",39650562.1396249
"Low_Climate","Clam_Ocean_Quahog",38150752.6561833
"Low_Climate","Cucumber_Sea",37375891.3268167
"Low_Climate","Crab_Unc",36196677.2423
"Low_Climate","Monkfish",23376891.2645
"Low_Climate","Pollock",18916988.80955
"Low_Climate","Periwinkles_Atlantic__Cockles_",13591726.3883333
"Low_Climate","Mackerel_Atlantic",10847042.1471083
"Low_Climate","Hake_White",9527743.10525
"Low_Climate","Bloodworms",8716501.834675
"Low_Climate","Redfish_Acadian_Ocean_Perch",7865127.43559999
"Low_Climate","Haddock",7270557.91040001
"Low_Climate","Plaice_American__Dab_",6142448.47546666
"Low_Climate","Cod_Atlantic",5574693.45535
"Low_Climate","Shark_Dogfish",5299110.13941667
"Low_Climate","Sandworms",4513354.23399166
"Low_Climate","Flounder_Winter",3960035.70255833
"Low_Climate","Flounder_Atlantic_Witch__Gray_Sole_",2908871.57185833
"Low_Climate","Hake_Silver__Whiting_",2203395.91264167
"Low_Climate","Flounder_Yellowtail",1400932.27861667
"Low_Climate","Skates",1137873.60978333
