"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",3072847.5321017,6923762.53596521,0.9090154046683,0.613585120008841
"Consumption Model",0.140321367271184,0.0921818171766106,0.997995109338191,0.999255318578304
"Exports Model",79905.2565621137,221206.509226008,0.998612654065816,0.989335757877755
"Landings Model",3072847.5321017,6923762.53596521,0.9090154046683,0.613585120008841
"Consumption Model",0.140321367271184,0.0921818171766106,0.997995109338191,0.999255318578304
"Exports Model",79905.2565621137,221206.509226008,0.998612654065816,0.989335757877755
"Market Value Model",0.00380905175270818,0.00317044766780316,0.999261696181142,0.999685046012023
"Landings Model",3072847.5321017,6923762.53596521,0.9090154046683,0.613585120008841
"Consumption Model",0.140321367271184,0.0921818171766106,0.997995109338191,0.999255318578304
"Exports Model",79905.2565621137,221206.509226008,0.998612654065816,0.989335757877755
"Market Value Model",0.00380905175270818,0.00317044766780316,0.999261696181142,0.999685046012023
"Landings Model",3072847.5321017,6923762.53596521,0.9090154046683,0.613585120008841
"Consumption Model",0.140321367271184,0.0921818171766106,0.997995109338191,0.999255318578304
"Exports Model",79905.2565621137,221206.509226008,0.998612654065816,0.989335757877755
"Market Value Model",0.00380905175270818,0.00317044766780316,0.999261696181142,0.999685046012023
"Blue Economy Model",60164.9891178197,61043.8459698739,0.999064700957044,0.999336867289142
"Landings Model",3072847.5321017,6923762.53596521,0.9090154046683,0.613585120008841
"Consumption Model",0.140321367271184,0.0921818171766106,0.997995109338191,0.999255318578304
"Exports Model",79905.2565621137,221206.509226008,0.998612654065816,0.989335757877755
"Market Value Model",0.00380905175270818,0.00317044766780316,0.999261696181142,0.999685046012023
"Blue Economy Model",61390.224638817,62950.7079686403,0.999025253114927,0.999319997587303
"Landings Model",3011404.26774462,6836651.22980297,0.912950205680884,0.622256027240079
"Consumption Model",0.146374077018125,0.0250258745694602,0.997639791998543,0.99997236749358
"Exports Model",120525.558083044,119230.493449261,0.996784515706683,0.996830644209644
"Market Value Model",0.00363192119165786,0.00394547623117896,0.999441431527457,0.99906519917629
"Blue Economy Model",75922.6647465255,15124.4529310573,0.998577395516911,0.99993791738278
"Landings Model",3011404.26774462,6836651.22980297,0.912950205680884,0.622256027240079
"Consumption Model",0.146374077018125,0.0250258745694602,0.997639791998543,0.99997236749358
"Exports Model",120525.558083044,119230.493449261,0.996784515706683,0.996830644209644
"Market Value Model",0.00363192119165786,0.00394547623117896,0.999441431527457,0.99906519917629
"Blue Economy Model",108850.815239472,18938.9624037906,0.997163164548919,0.999904768198857
"Landings Model",3011404.26774462,6836651.22980297,0.912950205680884,0.622256027240079
"Consumption Model",0.146374077018125,0.0250258745694602,0.997639791998543,0.99997236749358
"Exports Model",67120.5676019254,76452.2168063892,0.998913796629557,0.998844310114983
"Market Value Model",0.00284338044708233,0.00131079066736018,0.999555840194836,0.999953292605175
"Blue Economy Model",65876.9279569149,46028.4297292121,0.998878028085021,0.999573382262414
"Landings Model",3011404.26774462,6836651.22980297,0.912950205680884,0.622256027240079
"Consumption Model",0.146374077018125,0.0250258745694602,0.997639791998543,0.99997236749358
"Exports Model",67120.5676019254,76452.2168063892,0.998913796629557,0.998844310114983
"Market Value Model",0.00327328622974146,0.00117850733708333,0.999423978804481,0.999928999473049
"Blue Economy Model",58180.4445585877,35389.444925819,0.999143891669171,0.999749086174135
"Landings Model",3011404.26774462,6836651.22980297,0.912950205680884,0.622256027240079
"Consumption Model",0.146374077018125,0.0250258745694602,0.997639791998543,0.99997236749358
"Exports Model",67120.5676019254,76452.2168063892,0.998913796629557,0.998844310114983
