"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",266277.479081094,683581.616900043,0.993717868519583,0.965191363696787
"Consumption Model",0.0914221500173294,0.0782344237305556,0.987065846538981,0.992090190688812
"Exports Model",65187.934162712,9071.29967412471,0.994871150066646,0.999902779873943
"Landings Model",266277.479081094,683581.616900043,0.993717868519583,0.965191363696787
"Consumption Model",0.0914221500173294,0.0782344237305556,0.987065846538981,0.992090190688812
"Exports Model",65187.934162712,9071.29967412471,0.994871150066646,0.999902779873943
"Market Value Model",0.0203725076040256,0.00712888108613889,0.988291539724464,0.998634059506461
"Landings Model",266277.479081094,683581.616900043,0.993717868519583,0.965191363696787
"Consumption Model",0.0914221500173294,0.0782344237305556,0.987065846538981,0.992090190688812
"Exports Model",65187.934162712,9071.29967412471,0.994871150066646,0.999902779873943
"Market Value Model",0.0203725076040256,0.00712888108613889,0.988291539724464,0.998634059506461
"Landings Model",266277.479081094,683581.616900043,0.993717868519583,0.965191363696787
"Consumption Model",0.0914221500173294,0.0782344237305556,0.987065846538981,0.992090190688812
"Exports Model",65187.934162712,9071.29967412471,0.994871150066646,0.999902779873943
"Market Value Model",0.0203725076040256,0.00712888108613889,0.988291539724464,0.998634059506461
"Blue Economy Model",147269.001113674,86807.7666444635,0.995980851886038,0.998685555947838
"Landings Model",265135.595433698,815677.483785923,0.993837302504972,0.952568790323727
"Consumption Model",0.0901920743703533,0.0801623300313168,0.98856607124948,0.989733398231183
"Exports Model",61559.6823390293,46697.7779643101,0.995302699135534,0.997152951881666
"Market Value Model",0.0158528858945735,0.0283835378876676,0.991368967856,0.987744111428393
"Blue Economy Model",153157.232522504,144275.264392118,0.995977557087544,0.995671277868178
"Landings Model",265135.595433698,815677.483785923,0.993837302504972,0.952568790323727
"Consumption Model",0.0901920743703533,0.0801623300313168,0.98856607124948,0.989733398231183
"Exports Model",61559.6823390293,46697.7779643101,0.995302699135534,0.997152951881666
"Market Value Model",0.0158528858945735,0.0283835378876676,0.991368967856,0.987744111428393
"Blue Economy Model",127037.255725002,153413.941041129,0.99724344278735,0.995294172182702
"Landings Model",265135.595433698,815677.483785923,0.993837302504972,0.952568790323727
"Consumption Model",0.0901920743703533,0.0801623300313168,0.98856607124948,0.989733398231183
"Exports Model",45742.1220479254,40873.1525003209,0.99698012950286,0.998377889676044
"Market Value Model",0.0183749582111305,0.00794015220007672,0.99086516224752,0.998048883552698
"Blue Economy Model",145465.470448455,58452.3597261535,0.996144716503332,0.99918014606166
"Landings Model",265135.595433698,815677.483785923,0.993837302504972,0.952568790323727
"Consumption Model",0.0901920743703533,0.0801623300313168,0.98856607124948,0.989733398231183
"Exports Model",45742.1220479254,40873.1525003209,0.99698012950286,0.998377889676044
"Market Value Model",0.0200497283641545,0.00899367303214848,0.989193037266016,0.997544441809113
"Blue Economy Model",132362.307810865,129502.662538235,0.996746917059776,0.996148291614033
"Landings Model",265135.595433698,815677.483785923,0.993837302504972,0.952568790323727
"Consumption Model",0.0901920743703533,0.0801623300313168,0.98856607124948,0.989733398231183
"Exports Model",45742.1220479254,40873.1525003209,0.99698012950286,0.998377889676044
"Market Value Model",0.0169373329238206,0.00695857210527368,0.992265838051497,0.998478260731584
"Blue Economy Model",146786.709627627,1214.08283345614,0.995869051623347,0.999999850791551
"Landings Model",265135.595433698,815677.483785923,0.993837302504972,0.952568790323727
"Consumption Model",0.0901920743703533,0.0801623300313168,0.98856607124948,0.989733398231183
"Exports Model",45742.1220479254,40873.1525003209,0.99698012950286,0.998377889676044
"Market Value Model",0.0219808750331378,0.0115936731730164,0.987345365794834,0.995773374965607
"Blue Economy Model",160275.299200546,118766.386929078,0.994817786658509,0.998231090130604
"Landings Model",281175.636308665,666587.258080175,0.992677787343018,0.96749371819018
"Consumption Model",0.0974929469820852,0.0665963981724424,0.986209728932193,0.993898772716623
"Exports Model",51270.9110855297,35883.9801018519,0.996387928922196,0.998556784110377
"Market Value Model",0.0133516802104601,0.031522220557217,0.995735259947778,0.970522615532067
"Blue Economy Model",235674.308796969,71756.2164081326,0.990885346453264,0.998726062917394
"Landings Model",281175.636308665,666587.258080175,0.992677787343018,0.96749371819018
"Consumption Model",0.0974929469820852,0.0665963981724424,0.986209728932193,0.993898772716623
"Exports Model",51270.9110855297,35883.9801018519,0.996387928922196,0.998556784110377
"Market Value Model",0.00849929254851703,0.0264996574239184,0.998142716478297,0.979114356150907
"Blue Economy Model",123317.742727193,315378.008185473,0.99689222715413,0.983341219074081
"Landings Model",281175.636308665,666587.258080175,0.992677787343018,0.96749371819018
"Consumption Model",0.0974929469820852,0.0665963981724424,0.986209728932193,0.993898772716623
"Exports Model",51270.9110855297,35883.9801018519,0.996387928922196,0.998556784110377
"Market Value Model",0.00849929254851703,0.0264996574239184,0.998142716478297,0.979114356150907
"Blue Economy Model",118581.331787816,238694.773907535,0.997037782559971,0.991514656729824
"Landings Model",281175.636308665,666587.258080175,0.992677787343018,0.96749371819018
"Consumption Model",0.0974929469820852,0.0665963981724424,0.986209728932193,0.993898772716623
"Exports Model",51270.9110855297,35883.9801018519,0.996387928922196,0.998556784110377
"Market Value Model",0.00849929254851703,0.0264996574239184,0.998142716478297,0.979114356150907
"Blue Economy Model",126205.938515026,222456.097889815,0.996644913570774,0.992453875687303
"Landings Model",281175.636308665,666587.258080175,0.992677787343018,0.96749371819018
"Consumption Model",0.0974929469820852,0.0665963981724424,0.986209728932193,0.993898772716623
"Exports Model",51270.9110855297,35883.9801018519,0.996387928922196,0.998556784110377
"Market Value Model",0.0101514496714005,0.0238913121017085,0.997326450690976,0.983084887589769
"Blue Economy Model",219536.421263854,71759.736590934,0.991270431008849,0.998984422223415
