"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",1204810.26580111,1717042.23735389,0.981430049905038,0.936335090423959
"Consumption Model",0.0841061836998368,0.0799195409292793,0.999059545043267,0.998912187297854
"Exports Model",102334.104724244,98819.815088591,0.997272256940489,0.996661455113725
"Landings Model",1204810.26580111,1717042.23735389,0.981430049905038,0.936335090423959
"Consumption Model",0.0841061836998368,0.0799195409292793,0.999059545043267,0.998912187297854
"Exports Model",102334.104724244,98819.815088591,0.997272256940489,0.996661455113725
"Market Value Model",0.00373542703147873,0.0010827842042527,0.997968489820374,0.999828714809089
"Landings Model",1204810.26580111,1717042.23735389,0.981430049905038,0.936335090423959
"Consumption Model",0.0841061836998368,0.0799195409292793,0.999059545043267,0.998912187297854
"Exports Model",102334.104724244,98819.815088591,0.997272256940489,0.996661455113725
"Market Value Model",0.00373542703147873,0.0010827842042527,0.997968489820374,0.999828714809089
"Landings Model",1204810.26580111,1717042.23735389,0.981430049905038,0.936335090423959
"Consumption Model",0.0841061836998368,0.0799195409292793,0.999059545043267,0.998912187297854
"Exports Model",102334.104724244,98819.815088591,0.997272256940489,0.996661455113725
"Market Value Model",0.00373542703147873,0.0010827842042527,0.997968489820374,0.999828714809089
"Blue Economy Model",80906.6907462856,79154.392425243,0.993362454408679,0.994015841874276
"Landings Model",1204810.26580111,1717042.23735389,0.981430049905038,0.936335090423959
"Consumption Model",0.0841061836998368,0.0799195409292793,0.999059545043267,0.998912187297854
"Exports Model",102334.104724244,98819.815088591,0.997272256940489,0.996661455113725
"Market Value Model",0.00373542703147873,0.0010827842042527,0.997968489820374,0.999828714809089
"Blue Economy Model",77280.6847477816,91784.5444790577,0.993963505092242,0.991895358431646
"Landings Model",1276866.0694348,1902283.11734613,0.979038705437743,0.922095091851057
"Consumption Model",0.0890834462247573,0.0640573121527193,0.998889208196504,0.999440286182638
"Exports Model",91274.2589894359,134279.724568826,0.997726303358089,0.994366840184846
"Market Value Model",0.0025755244146335,0.00567387109485413,0.99902413982698,0.994943285051557
"Blue Economy Model",78601.5158007331,88220.9279549843,0.993780166026273,0.992573440359558
"Landings Model",1276866.0694348,1902283.11734613,0.979038705437743,0.922095091851057
"Consumption Model",0.0890834462247573,0.0640573121527193,0.998889208196504,0.999440286182638
"Exports Model",91274.2589894359,134279.724568826,0.997726303358089,0.994366840184846
"Market Value Model",0.0025755244146335,0.00567387109485413,0.99902413982698,0.994943285051557
"Blue Economy Model",100199.591426491,62660.4530518899,0.990106097909389,0.996344315384946
"Landings Model",1276866.0694348,1902283.11734613,0.979038705437743,0.922095091851057
"Consumption Model",0.0890834462247573,0.0640573121527193,0.998889208196504,0.999440286182638
"Exports Model",45034.5890783166,84434.5227459895,0.99940943537368,0.998175248993348
"Market Value Model",0.00287939579230579,0.00391108642441718,0.998800682982393,0.997263426104056
"Blue Economy Model",47658.0885542908,151910.744784805,0.997653260499917,0.980005345836478
"Landings Model",1276866.0694348,1902283.11734613,0.979038705437743,0.922095091851057
"Consumption Model",0.0890834462247573,0.0640573121527193,0.998889208196504,0.999440286182638
"Exports Model",45034.5890783166,84434.5227459895,0.99940943537368,0.998175248993348
"Market Value Model",0.00299672043162188,0.00455082834764591,0.998714064562189,0.996295759970373
"Blue Economy Model",79844.2297797693,61948.5603620457,0.993598412967209,0.996161538940643
"Landings Model",1276866.0694348,1902283.11734613,0.979038705437743,0.922095091851057
"Consumption Model",0.0890834462247573,0.0640573121527193,0.998889208196504,0.999440286182638
"Exports Model",45034.5890783166,84434.5227459895,0.99940943537368,0.998175248993348
"Market Value Model",0.00293843364587577,0.00458799778183814,0.998752511040079,0.996239876317316
"Blue Economy Model",83839.7543012406,13884.6315043808,0.993001417024366,0.999800427029732
"Landings Model",1276866.0694348,1902283.11734613,0.979038705437743,0.922095091851057
"Consumption Model",0.0890834462247573,0.0640573121527193,0.998889208196504,0.999440286182638
"Exports Model",45034.5890783166,84434.5227459895,0.99940943537368,0.998175248993348
"Market Value Model",0.00418168128482197,0.00293383706864776,0.997603441525375,0.998470814539296
"Blue Economy Model",92648.6263449614,71078.2814223472,0.991812675397303,0.994223023910826
