"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",47248.7001132396,742332.164275237,0.997302496690647,0.497756416289964
"Consumption Model",0.0814975695527586,0.12751134923208,0.9968866151043,0.996629625303811
"Exports Model",87935.5077275014,71084.3363130061,0.995834142546114,0.99618709877581
"Landings Model",47248.7001132396,742332.164275237,0.997302496690647,0.497756416289964
"Consumption Model",0.0814975695527586,0.12751134923208,0.9968866151043,0.996629625303811
"Exports Model",87935.5077275014,71084.3363130061,0.995834142546114,0.99618709877581
"Market Value Model",0.076043099735277,0.0271156881270983,0.988721189940622,0.998171550689679
"Landings Model",47248.7001132396,742332.164275237,0.997302496690647,0.497756416289964
"Consumption Model",0.0814975695527586,0.12751134923208,0.9968866151043,0.996629625303811
"Exports Model",87935.5077275014,71084.3363130061,0.995834142546114,0.99618709877581
"Market Value Model",0.076043099735277,0.0271156881270983,0.988721189940622,0.998171550689679
"Landings Model",47248.7001132396,742332.164275237,0.997302496690647,0.497756416289964
"Consumption Model",0.0814975695527586,0.12751134923208,0.9968866151043,0.996629625303811
"Exports Model",87935.5077275014,71084.3363130061,0.995834142546114,0.99618709877581
"Market Value Model",0.076043099735277,0.0271156881270983,0.988721189940622,0.998171550689679
"Blue Economy Model",27365.8333027076,36792.6759447515,0.999878111154645,0.999745548247943
"Landings Model",47248.7001132396,742332.164275237,0.997302496690647,0.497756416289964
"Consumption Model",0.0814975695527586,0.12751134923208,0.9968866151043,0.996629625303811
"Exports Model",87935.5077275014,71084.3363130061,0.995834142546114,0.99618709877581
"Market Value Model",0.076043099735277,0.0271156881270983,0.988721189940622,0.998171550689679
"Blue Economy Model",37197.8531601064,32794.1992109132,0.999767553738531,0.999812712976465
"Landings Model",46113.1899409337,746012.860607518,0.997427313575179,0.49246822562867
"Consumption Model",0.0971224208504548,0.0650865964943047,0.996058706438084,0.998780166325722
"Exports Model",91629.9772101434,33179.8460689664,0.995042960469025,0.999444270509006
"Market Value Model",0.0755854098481838,0.0270182223188026,0.988930661167903,0.997907850345367
"Blue Economy Model",35466.4555553379,57382.4639794823,0.999787355773919,0.999588940364414
"Landings Model",46113.1899409337,746012.860607518,0.997427313575179,0.49246822562867
"Consumption Model",0.0971224208504548,0.0650865964943047,0.996058706438084,0.998780166325722
"Exports Model",91629.9772101434,33179.8460689664,0.995042960469025,0.999444270509006
"Market Value Model",0.0755854098481838,0.0270182223188026,0.988930661167903,0.997907850345367
"Blue Economy Model",47747.4936459082,48428.6243542315,0.99960358503241,0.999712309277109
"Landings Model",46113.1899409337,746012.860607518,0.997427313575179,0.49246822562867
"Consumption Model",0.0971224208504548,0.0650865964943047,0.996058706438084,0.998780166325722
"Exports Model",51411.145186032,96093.9903906045,0.998393454929318,0.994867899253783
"Market Value Model",0.0531656758677758,0.0879579961416281,0.993602128451966,0.988685721478332
"Blue Economy Model",32042.0630592442,62337.3121924572,0.999835011535983,0.999404354425729
"Landings Model",46113.1899409337,746012.860607518,0.997427313575179,0.49246822562867
"Consumption Model",0.0971224208504548,0.0650865964943047,0.996058706438084,0.998780166325722
"Exports Model",51411.145186032,96093.9903906045,0.998393454929318,0.994867899253783
"Market Value Model",0.054558835746796,0.10462266023553,0.993350626009439,0.98299615103139
"Blue Economy Model",37013.2890088064,22309.4436342678,0.999753279088765,0.999929392487766
"Landings Model",46113.1899409337,746012.860607518,0.997427313575179,0.49246822562867
"Consumption Model",0.0971224208504548,0.0650865964943047,0.996058706438084,0.998780166325722
"Exports Model",51411.145186032,96093.9903906045,0.998393454929318,0.994867899253783
"Market Value Model",0.0516994894646445,0.112847449650772,0.993940002250202,0.980470675989898
"Blue Economy Model",34761.4439631242,26245.309523661,0.999797915928089,0.99985964101757
"Landings Model",46113.1899409337,746012.860607518,0.997427313575179,0.49246822562867
"Consumption Model",0.0971224208504548,0.0650865964943047,0.996058706438084,0.998780166325722
