"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",126943.300404273,90400.3491684473,0.944661858179267,0.933841046116949
"Consumption Model",0.0783261801187427,0.0965599190881937,0.999200259271221,0.998054610790941
"Exports Model",94810.4407330693,116271.22494162,0.997492252257425,0.995894342447127
"Landings Model",126943.300404273,90400.3491684473,0.944661858179267,0.933841046116949
"Consumption Model",0.0783261801187427,0.0965599190881937,0.999200259271221,0.998054610790941
"Exports Model",94810.4407330693,116271.22494162,0.997492252257425,0.995894342447127
"Market Value Model",0.0151534991571933,0.0323941302386743,0.9977911445795,0.990766773217438
"Landings Model",126943.300404273,90400.3491684473,0.944661858179267,0.933841046116949
"Consumption Model",0.0783261801187427,0.0965599190881937,0.999200259271221,0.998054610790941
"Exports Model",94810.4407330693,116271.22494162,0.997492252257425,0.995894342447127
"Market Value Model",0.0151534991571933,0.0323941302386743,0.9977911445795,0.990766773217438
"Landings Model",126943.300404273,90400.3491684473,0.944661858179267,0.933841046116949
"Consumption Model",0.0783261801187427,0.0965599190881937,0.999200259271221,0.998054610790941
"Exports Model",94810.4407330693,116271.22494162,0.997492252257425,0.995894342447127
"Market Value Model",0.0151534991571933,0.0323941302386743,0.9977911445795,0.990766773217438
"Blue Economy Model",43252.8494806142,18056.8332149899,0.984169951558268,0.99732311168409
"Landings Model",126943.300404273,90400.3491684473,0.944661858179267,0.933841046116949
"Consumption Model",0.0783261801187427,0.0965599190881937,0.999200259271221,0.998054610790941
"Exports Model",94810.4407330693,116271.22494162,0.997492252257425,0.995894342447127
"Market Value Model",0.0151534991571933,0.0323941302386743,0.9977911445795,0.990766773217438
"Blue Economy Model",39251.2130962555,14529.0291111948,0.986997793629921,0.998263536220207
"Landings Model",125219.151836415,87719.6420310146,0.947944317244628,0.939520141249872
"Consumption Model",0.0879367663424873,0.0611515567335718,0.998856173939883,0.9997021116275
"Exports Model",105848.903332138,84626.0348126642,0.996793485572558,0.998095178964427
"Market Value Model",0.0206987809107057,0.0126736064278031,0.996128823398593,0.998513405470789
"Blue Economy Model",41088.1387376725,13510.3228954466,0.985857807625429,0.99847294364822
"Landings Model",125219.151836415,87719.6420310146,0.947944317244628,0.939520141249872
"Consumption Model",0.0879367663424873,0.0611515567335718,0.998856173939883,0.9997021116275
"Exports Model",105848.903332138,84626.0348126642,0.996793485572558,0.998095178964427
"Market Value Model",0.0206987809107057,0.0126736064278031,0.996128823398593,0.998513405470789
"Blue Economy Model",33198.976955542,18791.0879341237,0.990962865479499,0.997079218234926
"Landings Model",125219.151836415,87719.6420310146,0.947944317244628,0.939520141249872
"Consumption Model",0.0879367663424873,0.0611515567335718,0.998856173939883,0.9997021116275
"Exports Model",61108.6511013015,17187.1073013424,0.998898847737984,0.999920115892825
"Market Value Model",0.0191686642709088,0.0112176971179159,0.996623352017927,0.998636149350526
"Blue Economy Model",39223.88884685,5271.22259907933,0.987252079170096,0.999783771594421
"Landings Model",125219.151836415,87719.6420310146,0.947944317244628,0.939520141249872
"Consumption Model",0.0879367663424873,0.0611515567335718,0.998856173939883,0.9997021116275
"Exports Model",61108.6511013015,17187.1073013424,0.998898847737984,0.999920115892825
"Market Value Model",0.0194921382655911,0.0116248432010717,0.996521723212852,0.998510739371935
"Blue Economy Model",38961.2702771515,8024.03069525189,0.987322402082329,0.999457538656161
"Landings Model",125219.151836415,87719.6420310146,0.947944317244628,0.939520141249872
"Consumption Model",0.0879367663424873,0.0611515567335718,0.998856173939883,0.9997021116275
"Exports Model",61108.6511013015,17187.1073013424,0.998898847737984,0.999920115892825
"Market Value Model",0.0198644143149519,0.0122048617207651,0.996374431568599,0.998365501888307
"Blue Economy Model",39333.8759924505,7752.7597264554,0.986993434057659,0.999544931217563
"Landings Model",125219.151836415,87719.6420310146,0.947944317244628,0.939520141249872
"Consumption Model",0.0879367663424873,0.0611515567335718,0.998856173939883,0.9997021116275
"Exports Model",61108.6511013015,17187.1073013424,0.998898847737984,0.999920115892825
"Market Value Model",0.0212686685862608,0.0176215879817767,0.995992998546275,0.996576794540764
"Blue Economy Model",43339.4904281504,22416.9908167951,0.984102875964075,0.996230573175117
"Landings Model",138408.555506914,151668.902980918,0.93788540992338,0.818635841577747
"Consumption Model",0.0864793546365843,0.0684121212968093,0.998967608452754,0.999318661146943
"Exports Model",58588.1429175104,78081.1864538288,0.999001624307174,0.99835459549964
"Market Value Model",0.0126991748412963,0.0276999113049265,0.998489199007306,0.992510484559621
"Blue Economy Model",40065.9842948479,19135.1573474053,0.986862150000263,0.996860412381117
"Landings Model",138408.555506914,151668.902980918,0.93788540992338,0.818635841577747
"Consumption Model",0.0864793546365843,0.0684121212968093,0.998967608452754,0.999318661146943
"Exports Model",58588.1429175104,78081.1864538288,0.999001624307174,0.99835459549964
