"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",1922183.33918909,3725793.76097327,0.993682477836398,0.967031428502259
"Consumption Model",0.0768972320400327,0.0977478881427646,0.999212812800698,0.998743447295469
"Exports Model",95013.5836611398,71679.215742464,0.997442145231803,0.998663495764046
"Landings Model",1922183.33918909,3725793.76097327,0.993682477836398,0.967031428502259
"Consumption Model",0.0768972320400327,0.0977478881427646,0.999212812800698,0.998743447295469
"Exports Model",95013.5836611398,71679.215742464,0.997442145231803,0.998663495764046
"Market Value Model",0.026581850866567,0.00692320527652573,0.986308626011241,0.999223388819572
"Landings Model",1922183.33918909,3725793.76097327,0.993682477836398,0.967031428502259
"Consumption Model",0.0768972320400327,0.0977478881427646,0.999212812800698,0.998743447295469
"Exports Model",95013.5836611398,71679.215742464,0.997442145231803,0.998663495764046
"Market Value Model",0.026581850866567,0.00692320527652573,0.986308626011241,0.999223388819572
"Landings Model",1922183.33918909,3725793.76097327,0.993682477836398,0.967031428502259
"Consumption Model",0.0768972320400327,0.0977478881427646,0.999212812800698,0.998743447295469
"Exports Model",95013.5836611398,71679.215742464,0.997442145231803,0.998663495764046
"Market Value Model",0.026581850866567,0.00692320527652573,0.986308626011241,0.999223388819572
"Blue Economy Model",83418.4243739737,42487.3858370664,0.993149761650671,0.9976511694485
"Landings Model",1922183.33918909,3725793.76097327,0.993682477836398,0.967031428502259
"Consumption Model",0.0768972320400327,0.0977478881427646,0.999212812800698,0.998743447295469
"Exports Model",95013.5836611398,71679.215742464,0.997442145231803,0.998663495764046
"Market Value Model",0.026581850866567,0.00692320527652573,0.986308626011241,0.999223388819572
"Blue Economy Model",78899.6400166677,35778.0704908144,0.993864246617297,0.998355153069222
"Landings Model",1900473.85117305,3521120.28121433,0.993656788568713,0.971046201375984
"Consumption Model",0.0696597464866657,0.117970617409083,0.999357678978586,0.996857874647347
"Exports Model",78842.1863709271,131295.267510569,0.998268096887873,0.994990109969883
"Market Value Model",0.0154479409492889,0.0458599311756193,0.99544265344894,0.965843741656774
"Blue Economy Model",75161.4221954443,54851.6580800815,0.99481177382311,0.99449988253095
"Landings Model",1900473.85117305,3521120.28121433,0.993656788568713,0.971046201375984
"Consumption Model",0.0696597464866657,0.117970617409083,0.999357678978586,0.996857874647347
"Exports Model",78842.1863709271,131295.267510569,0.998268096887873,0.994990109969883
"Market Value Model",0.0154479409492889,0.0458599311756193,0.99544265344894,0.965843741656774
"Blue Economy Model",86578.6542513595,59556.4234243608,0.993022577603795,0.992906707741549
"Landings Model",1900473.85117305,3521120.28121433,0.993656788568713,0.971046201375984
"Consumption Model",0.0696597464866657,0.117970617409083,0.999357678978586,0.996857874647347
"Exports Model",48199.6448458682,71538.8715110702,0.999368999369583,0.998027065606848
"Market Value Model",0.0252196884849043,0.015404851187918,0.987783670082392,0.996177755973266
"Blue Economy Model",74640.5113822489,64607.1588109181,0.993761722243018,0.996618873695656
"Landings Model",1900473.85117305,3521120.28121433,0.993656788568713,0.971046201375984
"Consumption Model",0.0696597464866657,0.117970617409083,0.999357678978586,0.996857874647347
"Exports Model",48199.6448458682,71538.8715110702,0.999368999369583,0.998027065606848
"Market Value Model",0.0259096379515666,0.015528254398936,0.987110715829226,0.996111158657829
"Blue Economy Model",79230.0611109395,47130.8551170456,0.993466448883098,0.997831875280841
"Landings Model",1900473.85117305,3521120.28121433,0.993656788568713,0.971046201375984
"Consumption Model",0.0696597464866657,0.117970617409083,0.999357678978586,0.996857874647347
"Exports Model",48199.6448458682,71538.8715110702,0.999368999369583,0.998027065606848
"Market Value Model",0.0239487998669695,0.011015361749837,0.989009955754154,0.9980493623772
"Blue Economy Model",77984.1983599406,61050.2163185808,0.994379728759539,0.995160094683471
"Landings Model",1900473.85117305,3521120.28121433,0.993656788568713,0.971046201375984
"Consumption Model",0.0696597464866657,0.117970617409083,0.999357678978586,0.996857874647347
"Exports Model",48199.6448458682,71538.8715110702,0.999368999369583,0.998027065606848
"Market Value Model",0.0257996718231848,0.0145513273918362,0.987432326258327,0.996652733756582
"Blue Economy Model",82987.7471782275,71982.5124640444,0.993496063867318,0.996665930034684
"Landings Model",2120872.33035968,1883344.76472896,0.993157556022267,0.991582401746436
"Consumption Model",0.0804950183099686,0.085078099399582,0.998999807999837,0.999102948086875
"Exports Model",72160.0239509513,30324.9034464458,0.998448626953949,0.999750556852854
"Market Value Model",0.0285380514576973,0.0122511544870417,0.984154041072102,0.997560462158264
"Blue Economy Model",84562.5307252643,53718.0827435526,0.992728340585857,0.996924860318139
"Landings Model",2120872.33035968,1883344.76472896,0.993157556022267,0.991582401746436
"Consumption Model",0.0804950183099686,0.085078099399582,0.998999807999837,0.999102948086875
"Exports Model",72160.0239509513,30324.9034464458,0.998448626953949,0.999750556852854
"Market Value Model",0.0249999906822393,0.0105352949862562,0.987654085301794,0.998159443131443
"Blue Economy Model",80029.3064993524,104607.710751073,0.992837394813854,0.991691653657301
"Landings Model",2120872.33035968,1883344.76472896,0.993157556022267,0.991582401746436
"Consumption Model",0.0804950183099686,0.085078099399582,0.998999807999837,0.999102948086875
"Exports Model",72160.0239509513,30324.9034464458,0.998448626953949,0.999750556852854
"Market Value Model",0.0249999906822393,0.0105352949862562,0.987654085301794,0.998159443131443
"Blue Economy Model",77958.5170308676,100784.121909027,0.993233241939372,0.992636682640511
"Landings Model",2120872.33035968,1883344.76472896,0.993157556022267,0.991582401746436
"Consumption Model",0.0804950183099686,0.085078099399582,0.998999807999837,0.999102948086875
"Exports Model",72160.0239509513,30324.9034464458,0.998448626953949,0.999750556852854
"Market Value Model",0.0249999906822393,0.0105352949862562,0.987654085301794,0.998159443131443
"Blue Economy Model",75901.2448208328,96633.4184847273,0.993532972413104,0.992859424277972
"Landings Model",2120872.33035968,1883344.76472896,0.993157556022267,0.991582401746436
"Consumption Model",0.0804950183099686,0.085078099399582,0.998999807999837,0.999102948086875
"Exports Model",72160.0239509513,30324.9034464458,0.998448626953949,0.999750556852854
"Market Value Model",0.0257887504357169,0.0117727413911473,0.986883709557614,0.997708234825702
"Blue Economy Model",66521.5824148587,129110.089249155,0.994865118112168,0.988626762632132
"Landings Model",2120872.33035968,1883344.76472896,0.993157556022267,0.991582401746436
"Consumption Model",0.0804950183099686,0.085078099399582,0.998999807999837,0.999102948086875
"Exports Model",72160.0239509513,30324.9034464458,0.998448626953949,0.999750556852854
"Market Value Model",0.0257887504357169,0.0117727413911473,0.986883709557614,0.997708234825702
"Blue Economy Model",73771.8962745153,137104.827991371,0.993729372515657,0.987253249467373
