"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",40572.6153431195,89688.7273778043,0.999950402728579,0.999734688071036
"Consumption Model",0.0635428113407137,0.000716110025239628,0.991697700922377,0.999999118272018
"Exports Model",40597.4447398377,49374.0944613657,0.99707799199626,0.996520516472162
"Landings Model",40572.6153431195,89688.7273778043,0.999950402728579,0.999734688071036
"Consumption Model",0.0635428113407137,0.000716110025239628,0.991697700922377,0.999999118272018
"Exports Model",40597.4447398377,49374.0944613657,0.99707799199626,0.996520516472162
"Market Value Model",0.000143113220830029,8.42769831793386e-06,0.999613630246746,0.999998839837045
"Landings Model",40572.6153431195,89688.7273778043,0.999950402728579,0.999734688071036
"Consumption Model",0.0635428113407137,0.000716110025239628,0.991697700922377,0.999999118272018
"Exports Model",40597.4447398377,49374.0944613657,0.99707799199626,0.996520516472162
"Market Value Model",0.000143113220830029,8.42769831793386e-06,0.999613630246746,0.999998839837045
"Landings Model",40572.6153431195,89688.7273778043,0.999950402728579,0.999734688071036
"Consumption Model",0.0635428113407137,0.000716110025239628,0.991697700922377,0.999999118272018
"Exports Model",40597.4447398377,49374.0944613657,0.99707799199626,0.996520516472162
"Market Value Model",0.000143113220830029,8.42769831793386e-06,0.999613630246746,0.999998839837045
"Blue Economy Model",1167.09221639672,94.629417446911,0.999974569787081,0.999999822447257
"Landings Model",52730.2945546022,28070.0684005781,0.99991838794589,0.999976697786496
"Consumption Model",0.0635305438676308,0.0010915061537836,0.991922085010449,0.999997588201184
"Exports Model",46957.7040075371,1183.31674374324,0.99639744931871,0.999998791363085
"Market Value Model",0.000135016973323129,8.01163463294523e-06,0.999659528240405,0.999998888938933
"Blue Economy Model",2418.6704151416,65.3841542959614,0.999874711641251,0.999999958548024
"Landings Model",52730.2945546022,28070.0684005781,0.99991838794589,0.999976697786496
"Consumption Model",0.0635305438676308,0.0010915061537836,0.991922085010449,0.999997588201184
"Exports Model",46957.7040075371,1183.31674374324,0.99639744931871,0.999998791363085
"Market Value Model",0.000135016973323129,8.01163463294523e-06,0.999659528240405,0.999998888938933
"Blue Economy Model",969.533780004623,37.8483226562649,0.999980270137188,0.999999987216342
"Landings Model",52730.2945546022,28070.0684005781,0.99991838794589,0.999976697786496
"Consumption Model",0.0635305438676308,0.0010915061537836,0.991922085010449,0.999997588201184
"Exports Model",22295.069975913,920.58482813965,0.999198325990162,0.999998697730232
"Market Value Model",5.81297853667318e-05,2.71600467443321e-06,0.999938243574016,0.999999847597197
"Blue Economy Model",2524.11967794846,643.106721271356,0.999881998165449,0.999992617763411
"Landings Model",52730.2945546022,28070.0684005781,0.99991838794589,0.999976697786496
"Consumption Model",0.0635305438676308,0.0010915061537836,0.991922085010449,0.999997588201184
"Exports Model",22295.069975913,920.58482813965,0.999198325990162,0.999998697730232
"Market Value Model",9.94561582154181e-05,6.95667122609363e-06,0.999820118742037,0.999999089288911
"Blue Economy Model",841.466972007868,1486.05827749,0.999986577763326,0.99996490626951
"Landings Model",52730.2945546022,28070.0684005781,0.99991838794589,0.999976697786496
"Consumption Model",0.0635305438676308,0.0010915061537836,0.991922085010449,0.999997588201184
"Exports Model",22295.069975913,920.58482813965,0.999198325990162,0.999998697730232
"Market Value Model",9.06257965102749e-05,2.5881165158663e-06,0.999852802057321,0.999999858386813
"Blue Economy Model",470.115734144935,2073.85013258894,0.99999573267018,0.999925261183871
"Landings Model",52730.2945546022,28070.0684005781,0.99991838794589,0.999976697786496
"Consumption Model",0.0635305438676308,0.0010915061537836,0.991922085010449,0.999997588201184
"Exports Model",22295.069975913,920.58482813965,0.999198325990162,0.999998697730232
"Market Value Model",0.000159205020037202,9.86285717203744e-06,0.999545334879559,0.999998181346196
"Blue Economy Model",1803.14897950721,619.100283162688,0.999936164975145,0.999993837558765
"Landings Model",61562.3935237837,40900.3415120268,0.999898642352731,0.999965664233353
"Consumption Model",0.0548437840812626,0.0594531979823732,0.99379548337975,0.992863468818731
"Exports Model",33431.7363643923,1398.36166534561,0.998255755088928,0.999996327446698
"Market Value Model",4.20725355650415e-06,0.000351061829109269,0.999999707709142,0.998176034628377
"Blue Economy Model",3679.9226963617,639.672594395012,0.999746880502583,0.999992778833465
"Landings Model",61562.3935237837,40900.3415120268,0.999898642352731,0.999965664233353
"Consumption Model",0.0548437840812626,0.0594531979823732,0.99379548337975,0.992863468818731
"Exports Model",33431.7363643923,1398.36166534561,0.998255755088928,0.999996327446698
"Market Value Model",3.14511774231584e-06,0.00016355226765165,0.999999841668206,0.999613416855755
"Blue Economy Model",1079.26917665281,3802.40286353773,0.999975760620218,0.999791249210812
"Landings Model",61562.3935237837,40900.3415120268,0.999898642352731,0.999965664233353
"Consumption Model",0.0548437840812626,0.0594531979823732,0.99379548337975,0.992863468818731
"Exports Model",33431.7363643923,1398.36166534561,0.998255755088928,0.999996327446698
"Market Value Model",3.14511774231584e-06,0.00016355226765165,0.999999841668206,0.999613416855755
"Blue Economy Model",847.081161163898,1642.09338368152,0.999985199286915,0.999961965009712
"Landings Model",61562.3935237837,40900.3415120268,0.999898642352731,0.999965664233353
"Consumption Model",0.0548437840812626,0.0594531979823732,0.99379548337975,0.992863468818731
"Exports Model",33431.7363643923,1398.36166534561,0.998255755088928,0.999996327446698
"Market Value Model",3.14511774231584e-06,0.00016355226765165,0.999999841668206,0.999613416855755
"Blue Economy Model",1870.40798994348,853.036899330074,0.999925270644762,0.999989733724755
"Landings Model",61562.3935237837,40900.3415120268,0.999898642352731,0.999965664233353
"Consumption Model",0.0548437840812626,0.0594531979823732,0.99379548337975,0.992863468818731
"Exports Model",33431.7363643923,1398.36166534561,0.998255755088928,0.999996327446698
