"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",1455409.73003307,1028798.39272615,0.982264706954941,0.98346183081101
"Consumption Model",0.104362562138948,0.17611480892015,0.998189061811102,0.992222565561094
"Exports Model",78838.6088799885,125989.572480434,0.996871495138822,0.993606472817039
"Landings Model",1455409.73003307,1028798.39272615,0.982264706954941,0.98346183081101
"Consumption Model",0.104362562138948,0.17611480892015,0.998189061811102,0.992222565561094
"Exports Model",78838.6088799885,125989.572480434,0.996871495138822,0.993606472817039
"Market Value Model",0.166870740009832,0.182162453304806,0.947955764567736,0.930807104077839
"Landings Model",1455409.73003307,1028798.39272615,0.982264706954941,0.98346183081101
"Consumption Model",0.104362562138948,0.17611480892015,0.998189061811102,0.992222565561094
"Exports Model",78838.6088799885,125989.572480434,0.996871495138822,0.993606472817039
"Market Value Model",0.166870740009832,0.182162453304806,0.947955764567736,0.930807104077839
"Landings Model",1455409.73003307,1028798.39272615,0.982264706954941,0.98346183081101
"Consumption Model",0.104362562138948,0.17611480892015,0.998189061811102,0.992222565561094
"Exports Model",78838.6088799885,125989.572480434,0.996871495138822,0.993606472817039
"Market Value Model",0.166870740009832,0.182162453304806,0.947955764567736,0.930807104077839
"Blue Economy Model",2159430.39277017,2254439.79979894,0.992139117764856,0.992794482841415
"Landings Model",1455409.73003307,1028798.39272615,0.982264706954941,0.98346183081101
"Consumption Model",0.104362562138948,0.17611480892015,0.998189061811102,0.992222565561094
"Exports Model",78838.6088799885,125989.572480434,0.996871495138822,0.993606472817039
"Market Value Model",0.166870740009832,0.182162453304806,0.947955764567736,0.930807104077839
"Blue Economy Model",1913943.78472497,2036340.33656875,0.993841125994683,0.994114022346621
"Landings Model",1354603.54057192,930284.069257158,0.98455107843168,0.986805327265274
"Consumption Model",0.118430163109952,0.128214157984379,0.997523520495031,0.997668122346167
"Exports Model",78838.6088799885,125989.572480434,0.996871495138822,0.993606472817039
"Market Value Model",0.166870740009832,0.182162453304806,0.947955764567736,0.930807104077839
"Blue Economy Model",2122079.15456656,2115531.17071909,0.992590540394736,0.993593154265075
"Landings Model",1354603.54057192,930284.069257158,0.98455107843168,0.986805327265274
"Consumption Model",0.118430163109952,0.128214157984379,0.997523520495031,0.997668122346167
"Exports Model",78838.6088799885,125989.572480434,0.996871495138822,0.993606472817039
"Market Value Model",0.166870740009832,0.182162453304806,0.947955764567736,0.930807104077839
"Blue Economy Model",1883815.59037201,2270622.89841378,0.994084125321224,0.992247307595769
"Landings Model",1354603.54057192,930284.069257158,0.98455107843168,0.986805327265274
"Consumption Model",0.118430163109952,0.128214157984379,0.997523520495031,0.997668122346167
"Exports Model",66477.4253516202,69221.5421227545,0.997785750921814,0.998236831280677
"Market Value Model",0.147815889515156,0.198850791212675,0.961862127728635,0.90382762549856
"Blue Economy Model",2049513.2075487,1137533.6199266,0.992633728387134,0.99864970105955
"Landings Model",1354603.54057192,930284.069257158,0.98455107843168,0.986805327265274
"Consumption Model",0.118430163109952,0.128214157984379,0.997523520495031,0.997668122346167
"Exports Model",66477.4253516202,69221.5421227545,0.997785750921814,0.998236831280677
"Market Value Model",0.151992461588328,0.201988835479138,0.959385510111367,0.900435422290784
"Blue Economy Model",2122349.63355045,727761.474644745,0.992628425718738,0.99904757107375
"Landings Model",1354603.54057192,930284.069257158,0.98455107843168,0.986805327265274
"Consumption Model",0.118430163109952,0.128214157984379,0.997523520495031,0.997668122346167
"Exports Model",66477.4253516202,69221.5421227545,0.997785750921814,0.998236831280677
"Market Value Model",0.162444777875819,0.224059842906955,0.953865617752685,0.876945325974418
"Blue Economy Model",2181785.56179322,244861.169710252,0.991250574268573,0.99994369369332
"Landings Model",1354603.54057192,930284.069257158,0.98455107843168,0.986805327265274
"Consumption Model",0.118430163109952,0.128214157984379,0.997523520495031,0.997668122346167
"Exports Model",66477.4253516202,69221.5421227545,0.997785750921814,0.998236831280677
"Market Value Model",0.166358728862924,0.235734095252883,0.955109073135798,0.866443321206325
"Blue Economy Model",1627068.12737074,4142098.51521591,0.995553557621498,0.976067050775182
"Landings Model",1529325.29292291,2044955.05347782,0.979590262422486,0.951994286906057
"Consumption Model",0.132297386270811,0.0807480383622911,0.997086514110576,0.99875435725138
"Exports Model",63922.5751679453,94041.6167152319,0.998001502392907,0.995707393006627
"Market Value Model",0.184790279236383,0.178029126643724,0.921423343223298,0.961170961423676
"Blue Economy Model",2351427.93564168,1266683.52691502,0.990525948487666,0.997518179777772
"Landings Model",1529325.29292291,2044955.05347782,0.979590262422486,0.951994286906057
"Consumption Model",0.132297386270811,0.0807480383622911,0.997086514110576,0.99875435725138
"Exports Model",63922.5751679453,94041.6167152319,0.998001502392907,0.995707393006627
"Market Value Model",0.181302760340716,0.157753204075553,0.923112628286873,0.967675315526113
"Blue Economy Model",2391795.64241853,1968818.470555,0.990318845483351,0.993093093028034
"Landings Model",1529325.29292291,2044955.05347782,0.979590262422486,0.951994286906057
"Consumption Model",0.132297386270811,0.0807480383622911,0.997086514110576,0.99875435725138
"Exports Model",63922.5751679453,94041.6167152319,0.998001502392907,0.995707393006627
"Market Value Model",0.181302760340716,0.157753204075553,0.923112628286873,0.967675315526113
"Blue Economy Model",2365598.15356361,1437395.18759937,0.991063246981671,0.996806806721604
"Landings Model",1529325.29292291,2044955.05347782,0.979590262422486,0.951994286906057
"Consumption Model",0.132297386270811,0.0807480383622911,0.997086514110576,0.99875435725138
"Exports Model",63922.5751679453,94041.6167152319,0.998001502392907,0.995707393006627
"Market Value Model",0.181302760340716,0.157753204075553,0.923112628286873,0.967675315526113
"Blue Economy Model",2025539.32606313,1355519.7074007,0.99319661189128,0.996780301143027
"Landings Model",1529325.29292291,2044955.05347782,0.979590262422486,0.951994286906057
"Consumption Model",0.132297386270811,0.0807480383622911,0.997086514110576,0.99875435725138
"Exports Model",63922.5751679453,94041.6167152319,0.998001502392907,0.995707393006627
"Market Value Model",0.17524461069584,0.15269105732459,0.929501409038945,0.97022463054204
"Blue Economy Model",2596827.03580144,1390333.34419885,0.988736074172813,0.997108293638549
