"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",34959.4509542353,99736.2547872544,0.972339345936625,0.675735490940814
"Consumption Model",0.0778938193736729,0.115256852896992,0.999169529418632,0.997923082929954
"Exports Model",103082.56302457,110660.524877068,0.997047690232344,0.996276371804406
"Landings Model",34959.4509542353,99736.2547872544,0.972339345936625,0.675735490940814
"Consumption Model",0.0778938193736729,0.115256852896992,0.999169529418632,0.997923082929954
"Exports Model",103082.56302457,110660.524877068,0.997047690232344,0.996276371804406
"Market Value Model",0.0347753416152191,0.0404382577127738,0.999781280042387,0.999755257733423
"Landings Model",34959.4509542353,99736.2547872544,0.972339345936625,0.675735490940814
"Consumption Model",0.0778938193736729,0.115256852896992,0.999169529418632,0.997923082929954
"Exports Model",103082.56302457,110660.524877068,0.997047690232344,0.996276371804406
"Market Value Model",0.0347753416152191,0.0404382577127738,0.999781280042387,0.999755257733423
"Landings Model",34959.4509542353,99736.2547872544,0.972339345936625,0.675735490940814
"Consumption Model",0.0778938193736729,0.115256852896992,0.999169529418632,0.997923082929954
"Exports Model",103082.56302457,110660.524877068,0.997047690232344,0.996276371804406
"Market Value Model",0.0347753416152191,0.0404382577127738,0.999781280042387,0.999755257733423
"Blue Economy Model",46922.0340242617,29826.9169486782,0.99180613436668,0.996694158712196
"Landings Model",34959.4509542353,99736.2547872544,0.972339345936625,0.675735490940814
"Consumption Model",0.0778938193736729,0.115256852896992,0.999169529418632,0.997923082929954
"Exports Model",103082.56302457,110660.524877068,0.997047690232344,0.996276371804406
"Market Value Model",0.0347753416152191,0.0404382577127738,0.999781280042387,0.999755257733423
"Blue Economy Model",47098.7852316911,30767.5939337704,0.991720949263506,0.996490373841618
"Landings Model",34702.215445359,98416.8113688514,0.972505733636514,0.684416992570688
"Consumption Model",0.0876295198111856,0.0864583175066427,0.998904267328624,0.999007031034756
"Exports Model",88809.8695108788,149712.707778186,0.997739631018161,0.99408864743561
"Market Value Model",0.0334696764987002,0.0467063914801512,0.999814585870244,0.9995685199043
"Blue Economy Model",47098.1960899398,24163.6876409186,0.991412286653708,0.998228359635329
"Landings Model",34702.215445359,98416.8113688514,0.972505733636514,0.684416992570688
"Consumption Model",0.0876295198111856,0.0864583175066427,0.998904267328624,0.999007031034756
"Exports Model",88809.8695108788,149712.707778186,0.997739631018161,0.99408864743561
"Market Value Model",0.0334696764987002,0.0467063914801512,0.999814585870244,0.9995685199043
"Blue Economy Model",52901.7600673596,21854.2550928875,0.989297289521045,0.998770438960451
"Landings Model",34702.215445359,98416.8113688514,0.972505733636514,0.684416992570688
"Consumption Model",0.0876295198111856,0.0864583175066427,0.998904267328624,0.999007031034756
"Exports Model",55705.4734701191,49306.8051045151,0.999075081377375,0.999457536691612
"Market Value Model",0.0334228375961237,0.025683865843641,0.999778057285055,0.999892343148798
"Blue Economy Model",46889.8502766651,20160.1793148767,0.991755681126658,0.998685916824525
"Landings Model",34702.215445359,98416.8113688514,0.972505733636514,0.684416992570688
"Consumption Model",0.0876295198111856,0.0864583175066427,0.998904267328624,0.999007031034756
"Exports Model",55705.4734701191,49306.8051045151,0.999075081377375,0.999457536691612
"Market Value Model",0.0400283740656201,0.0186182658608929,0.999686148893315,0.999957641765712
"Blue Economy Model",38109.4139072372,57174.3105137418,0.994680091333498,0.987612049667727
"Landings Model",34702.215445359,98416.8113688514,0.972505733636514,0.684416992570688
"Consumption Model",0.0876295198111856,0.0864583175066427,0.998904267328624,0.999007031034756
"Exports Model",55705.4734701191,49306.8051045151,0.999075081377375,0.999457536691612
"Market Value Model",0.031277672016613,0.0254333429271897,0.999809258839289,0.999940355875965
"Blue Economy Model",31413.1940379039,72179.3950366979,0.996187093507424,0.983672157825535
"Landings Model",34702.215445359,98416.8113688514,0.972505733636514,0.684416992570688
"Consumption Model",0.0876295198111856,0.0864583175066427,0.998904267328624,0.999007031034756
"Exports Model",55705.4734701191,49306.8051045151,0.999075081377375,0.999457536691612
"Market Value Model",0.0799357076822378,0.159031663444158,0.998868874376159,0.997297942727795
"Blue Economy Model",46389.4899149024,39363.4795587737,0.991237297500207,0.996517616176598
