"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",1587605.72277391,964926.853693835,0.964394768507367,0.622356510143497
"Consumption Model",0.0771507408317132,0.110820665379374,0.998566521668596,0.99784522868754
"Exports Model",88769.4978857955,80853.3483691731,0.997028112353958,0.997167881963389
"Landings Model",1587605.72277391,964926.853693835,0.964394768507367,0.622356510143497
"Consumption Model",0.0771507408317132,0.110820665379374,0.998566521668596,0.99784522868754
"Exports Model",88769.4978857955,80853.3483691731,0.997028112353958,0.997167881963389
"Market Value Model",0.0218243574357349,0.04186230941359,0.999542783421035,0.998670843810434
"Landings Model",1587605.72277391,964926.853693835,0.964394768507367,0.622356510143497
"Consumption Model",0.0771507408317132,0.110820665379374,0.998566521668596,0.99784522868754
"Exports Model",88769.4978857955,80853.3483691731,0.997028112353958,0.997167881963389
"Market Value Model",0.0218243574357349,0.04186230941359,0.999542783421035,0.998670843810434
"Landings Model",1587605.72277391,964926.853693835,0.964394768507367,0.622356510143497
"Consumption Model",0.0771507408317132,0.110820665379374,0.998566521668596,0.99784522868754
"Exports Model",88769.4978857955,80853.3483691731,0.997028112353958,0.997167881963389
"Market Value Model",0.0218243574357349,0.04186230941359,0.999542783421035,0.998670843810434
"Blue Economy Model",1000956.65031074,67163.8583030752,0.974011195143778,0.999409559154336
"Landings Model",1587605.72277391,964926.853693835,0.964394768507367,0.622356510143497
"Consumption Model",0.0771507408317132,0.110820665379374,0.998566521668596,0.99784522868754
"Exports Model",88769.4978857955,80853.3483691731,0.997028112353958,0.997167881963389
"Market Value Model",0.0218243574357349,0.04186230941359,0.999542783421035,0.998670843810434
"Blue Economy Model",1000733.04191252,5858.58951834378,0.97270969595584,0.999995344691251
"Landings Model",1889862.43542251,1563106.37304553,0.948071880817713,0.260636143788162
"Consumption Model",0.0887389709841482,0.0694172475701704,0.99826982043917,0.998993571393372
"Exports Model",75254.47555457,128402.306603314,0.997719311762452,0.994149102447804
"Market Value Model",0.0300101138305195,0.0101756837648993,0.999247691387125,0.999867312637301
"Blue Economy Model",873753.697154358,1058517.6713467,0.963369327312961,0.996893789919432
"Landings Model",1889862.43542251,1563106.37304553,0.948071880817713,0.260636143788162
"Consumption Model",0.0887389709841482,0.0694172475701704,0.99826982043917,0.998993571393372
"Exports Model",75254.47555457,128402.306603314,0.997719311762452,0.994149102447804
"Market Value Model",0.0300101138305195,0.0101756837648993,0.999247691387125,0.999867312637301
"Blue Economy Model",835068.002515365,1135114.66661214,0.968285169618944,0.997148182450962
"Landings Model",1889862.43542251,1563106.37304553,0.948071880817713,0.260636143788162
"Consumption Model",0.0887389709841482,0.0694172475701704,0.99826982043917,0.998993571393372
"Exports Model",68043.9426367318,22958.9584226426,0.997922865037219,0.999852053374794
"Market Value Model",0.0134045918576965,0.0170744554316307,0.999823275216086,0.999725907456905
"Blue Economy Model",704954.265048964,1129116.08266994,0.984501518752142,0.967473405874063
"Landings Model",1889862.43542251,1563106.37304553,0.948071880817713,0.260636143788162
"Consumption Model",0.0887389709841482,0.0694172475701704,0.99826982043917,0.998993571393372
"Exports Model",68043.9426367318,22958.9584226426,0.997922865037219,0.999852053374794
"Market Value Model",0.0173217627622318,0.0223264324397791,0.999716169058422,0.999533402391512
"Blue Economy Model",827880.157868445,757188.457768264,0.975362374812567,0.989139059276495
"Landings Model",1889862.43542251,1563106.37304553,0.948071880817713,0.260636143788162
"Consumption Model",0.0887389709841482,0.0694172475701704,0.99826982043917,0.998993571393372
"Exports Model",68043.9426367318,22958.9584226426,0.997922865037219,0.999852053374794
"Market Value Model",0.0194948736072539,0.0182948126204754,0.999640614333155,0.999686507784741
"Blue Economy Model",916249.157991133,192605.199370808,0.974903219297152,0.999203782893925
"Landings Model",1889862.43542251,1563106.37304553,0.948071880817713,0.260636143788162
"Consumption Model",0.0887389709841482,0.0694172475701704,0.99826982043917,0.998993571393372
"Exports Model",68043.9426367318,22958.9584226426,0.997922865037219,0.999852053374794
"Market Value Model",0.0353103613676569,0.0455391923915161,0.999029879265053,0.998148138638978
"Blue Economy Model",846360.684122775,739102.179603989,0.985127452188053,0.976929134221535
"Landings Model",2313112.93666577,3910668.38020725,0.927095098389015,0.561254992372541
"Consumption Model",0.0980406948458055,0.0591492979789273,0.997460312366343,0.999417734149057
"Exports Model",57705.8933091059,87788.7256816123,0.998623228111909,0.997164176816198
"Market Value Model",0.0294302304510828,0.0488657529871254,0.999325585622724,0.99789539312171
"Blue Economy Model",823046.632663502,777945.185241405,0.974880095498967,0.992605636920099
"Landings Model",2313112.93666577,3910668.38020725,0.927095098389015,0.561254992372541
"Consumption Model",0.0980406948458055,0.0591492979789273,0.997460312366343,0.999417734149057
"Exports Model",57705.8933091059,87788.7256816123,0.998623228111909,0.997164176816198
"Market Value Model",0.0160090949833269,0.0203308340489795,0.999757579555034,0.999585605728197
"Blue Economy Model",821517.105968944,1115302.4419617,0.978342532037462,0.974575508756324
"Landings Model",2313112.93666577,3910668.38020725,0.927095098389015,0.561254992372541
"Consumption Model",0.0980406948458055,0.0591492979789273,0.997460312366343,0.999417734149057
"Exports Model",57705.8933091059,87788.7256816123,0.998623228111909,0.997164176816198
"Market Value Model",0.0160090949833269,0.0203308340489795,0.999757579555034,0.999585605728197
"Blue Economy Model",886091.989953245,1112917.4699231,0.975579857224771,0.975451703338098
"Landings Model",2313112.93666577,3910668.38020725,0.927095098389015,0.561254992372541
"Consumption Model",0.0980406948458055,0.0591492979789273,0.997460312366343,0.999417734149057
"Exports Model",57705.8933091059,87788.7256816123,0.998623228111909,0.997164176816198
