"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",385823.396601664,669661.753845501,0.996842124846221,0.991806654462389
"Consumption Model",0.101738424298737,0.0373491443770381,0.997354747046363,0.999817708825125
"Exports Model",80914.7666640593,49937.1260693288,0.99757503676863,0.997723767718707
"Landings Model",385823.396601664,669661.753845501,0.996842124846221,0.991806654462389
"Consumption Model",0.101738424298737,0.0373491443770381,0.997354747046363,0.999817708825125
"Exports Model",80914.7666640593,49937.1260693288,0.99757503676863,0.997723767718707
"Market Value Model",0.0274528884197797,0.0210763731147677,0.801755561572952,0.967859580504746
"Landings Model",385823.396601664,669661.753845501,0.996842124846221,0.991806654462389
"Consumption Model",0.101738424298737,0.0373491443770381,0.997354747046363,0.999817708825125
"Exports Model",80914.7666640593,49937.1260693288,0.99757503676863,0.997723767718707
"Market Value Model",0.0274528884197797,0.0210763731147677,0.801755561572952,0.967859580504746
"Landings Model",385823.396601664,669661.753845501,0.996842124846221,0.991806654462389
"Consumption Model",0.101738424298737,0.0373491443770381,0.997354747046363,0.999817708825125
"Exports Model",80914.7666640593,49937.1260693288,0.99757503676863,0.997723767718707
"Market Value Model",0.0274528884197797,0.0210763731147677,0.801755561572952,0.967859580504746
"Blue Economy Model",30359.0871884142,8714.89864850504,0.986463285607475,0.999191831317648
"Landings Model",385823.396601664,669661.753845501,0.996842124846221,0.991806654462389
"Consumption Model",0.101738424298737,0.0373491443770381,0.997354747046363,0.999817708825125
"Exports Model",80914.7666640593,49937.1260693288,0.99757503676863,0.997723767718707
"Market Value Model",0.0274528884197797,0.0210763731147677,0.801755561572952,0.967859580504746
"Blue Economy Model",30039.5809550182,6251.99616008499,0.986763621064376,0.999598748855452
"Landings Model",378108.968952977,559980.426915269,0.996940927333862,0.994298454329978
"Consumption Model",0.0772185902019141,0.138510544723755,0.998551686251504,0.996827934235772
"Exports Model",70309.1247009313,85100.929151513,0.998158759266043,0.994190787877109
"Market Value Model",0.0240048734066501,0.0344669477272003,0.957066655919231,0.529601761123499
"Blue Economy Model",28705.6716171377,14470.7233049424,0.988533030799375,0.997402450908111
"Landings Model",378108.968952977,559980.426915269,0.996940927333862,0.994298454329978
"Consumption Model",0.0772185902019141,0.138510544723755,0.998551686251504,0.996827934235772
"Exports Model",70309.1247009313,85100.929151513,0.998158759266043,0.994190787877109
"Market Value Model",0.0240048734066501,0.0344669477272003,0.957066655919231,0.529601761123499
"Blue Economy Model",27930.8605787026,16506.4081994368,0.989229964819292,0.996600369508628
"Landings Model",378108.968952977,559980.426915269,0.996940927333862,0.994298454329978
"Consumption Model",0.0772185902019141,0.138510544723755,0.998551686251504,0.996827934235772
"Exports Model",51218.0431742712,71322.4619823827,0.998927620555325,0.997350698407919
"Market Value Model",0.0167724926624563,0.0387420918805585,0.844158334256905,0.98413814053209
"Blue Economy Model",29773.8889709923,7167.73785445467,0.986943795424739,0.999603776757624
"Landings Model",378108.968952977,559980.426915269,0.996940927333862,0.994298454329978
"Consumption Model",0.0772185902019141,0.138510544723755,0.998551686251504,0.996827934235772
"Exports Model",51218.0431742712,71322.4619823827,0.998927620555325,0.997350698407919
"Market Value Model",0.0174413526026569,0.0450506288557536,0.83169224947837,0.976173095421999
"Blue Economy Model",28869.0556632372,11343.9112843263,0.988658653090114,0.99856239684705
"Landings Model",378108.968952977,559980.426915269,0.996940927333862,0.994298454329978
"Consumption Model",0.0772185902019141,0.138510544723755,0.998551686251504,0.996827934235772
"Exports Model",51218.0431742712,71322.4619823827,0.998927620555325,0.997350698407919
"Market Value Model",0.0172151913896229,0.044633203137615,0.836749750708271,0.977825745185311
"Blue Economy Model",29204.2848147417,2942.5294418624,0.988147311425255,0.999880499329499
"Landings Model",378108.968952977,559980.426915269,0.996940927333862,0.994298454329978
"Consumption Model",0.0772185902019141,0.138510544723755,0.998551686251504,0.996827934235772
"Exports Model",51218.0431742712,71322.4619823827,0.998927620555325,0.997350698407919
"Market Value Model",0.0210691980590931,0.0453963082166461,0.755167558097896,0.983262671801173
"Blue Economy Model",30212.1733083923,15231.5612999175,0.987128990905597,0.996971246974098
"Landings Model",344179.014378451,814290.599720374,0.997641675675118,0.985822737136507
"Consumption Model",0.102476561932413,0.0754859644118135,0.997870794228447,0.998204557822889
"Exports Model",71680.3256723964,22076.7647269335,0.997821981815226,0.999810364417238
"Market Value Model",0.0296886589568089,0.0203497913259387,0.832668006637338,0.907481750307852
"Blue Economy Model",31667.6845158068,7530.71723413425,0.98597803937516,0.999315833555705
"Landings Model",344179.014378451,814290.599720374,0.997641675675118,0.985822737136507
"Consumption Model",0.102476561932413,0.0754859644118135,0.997870794228447,0.998204557822889
"Exports Model",71680.3256723964,22076.7647269335,0.997821981815226,0.999810364417238
"Market Value Model",0.027882085209893,0.0180007964769301,0.858014648040382,0.907476845449475
"Blue Economy Model",13017.1140942588,48580.7634869334,0.997847285702459,0.965228772809645
"Landings Model",344179.014378451,814290.599720374,0.997641675675118,0.985822737136507
"Consumption Model",0.102476561932413,0.0754859644118135,0.997870794228447,0.998204557822889
"Exports Model",71680.3256723964,22076.7647269335,0.997821981815226,0.999810364417238
"Market Value Model",0.027882085209893,0.0180007964769301,0.858014648040382,0.907476845449475
"Blue Economy Model",13566.4120479918,42381.1658897821,0.997816760052515,0.973853525977618
"Landings Model",344179.014378451,814290.599720374,0.997641675675118,0.985822737136507
"Consumption Model",0.102476561932413,0.0754859644118135,0.997870794228447,0.998204557822889
"Exports Model",71680.3256723964,22076.7647269335,0.997821981815226,0.999810364417238
"Market Value Model",0.027882085209893,0.0180007964769301,0.858014648040382,0.907476845449475
"Blue Economy Model",10991.0579529619,42002.5365885875,0.998505927530678,0.974212320644778
"Landings Model",344179.014378451,814290.599720374,0.997641675675118,0.985822737136507
"Consumption Model",0.102476561932413,0.0754859644118135,0.997870794228447,0.998204557822889
"Exports Model",71680.3256723964,22076.7647269335,0.997821981815226,0.999810364417238
"Market Value Model",0.028118431528483,0.0176912666456419,0.858944699055517,0.91291106981815
"Blue Economy Model",30992.5618990926,17385.6701614637,0.985270533510044,0.996999332751689
"Landings Model",344179.014378451,814290.599720374,0.997641675675118,0.985822737136507
"Consumption Model",0.102476561932413,0.0754859644118135,0.997870794228447,0.998204557822889
"Exports Model",71680.3256723964,22076.7647269335,0.997821981815226,0.999810364417238
"Market Value Model",0.028118431528483,0.0176912666456419,0.858944699055517,0.91291106981815
"Blue Economy Model",30273.0118225628,16489.7948494664,0.98594671477186,0.997225686142202
