"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",312466.72241295,673577.783090686,0.926868827244034,0.329162987372111
"Consumption Model",0.102416259170067,0.0684988965774519,0.998073789419799,0.996323786496756
"Exports Model",150671.106441207,106510.966720943,0.993229650380763,0.998581612421077
"Landings Model",312466.72241295,673577.783090686,0.926868827244034,0.329162987372111
"Consumption Model",0.102416259170067,0.0684988965774519,0.998073789419799,0.996323786496756
"Exports Model",150671.106441207,106510.966720943,0.993229650380763,0.998581612421077
"Market Value Model",0.00615715135367467,0.0086044931707353,0.996025959968474,0.994055999076804
"Landings Model",312466.72241295,673577.783090686,0.926868827244034,0.329162987372111
"Consumption Model",0.102416259170067,0.0684988965774519,0.998073789419799,0.996323786496756
"Exports Model",150671.106441207,106510.966720943,0.993229650380763,0.998581612421077
"Market Value Model",0.00615715135367467,0.0086044931707353,0.996025959968474,0.994055999076804
"Landings Model",312466.72241295,673577.783090686,0.926868827244034,0.329162987372111
"Consumption Model",0.102416259170067,0.0684988965774519,0.998073789419799,0.996323786496756
"Exports Model",150671.106441207,106510.966720943,0.993229650380763,0.998581612421077
"Market Value Model",0.00615715135367467,0.0086044931707353,0.996025959968474,0.994055999076804
"Blue Economy Model",31994.0076145383,12671.7220470389,0.950257212045979,0.978382230842394
"Landings Model",312466.72241295,673577.783090686,0.926868827244034,0.329162987372111
"Consumption Model",0.102416259170067,0.0684988965774519,0.998073789419799,0.996323786496756
"Exports Model",150671.106441207,106510.966720943,0.993229650380763,0.998581612421077
"Market Value Model",0.00615715135367467,0.0086044931707353,0.996025959968474,0.994055999076804
"Blue Economy Model",33979.0236379825,9361.840249351,0.935717758168667,0.989509861898755
"Landings Model",309819.826512402,731400.910548789,0.931041745694539,0.256672662555938
"Consumption Model",0.0945447553526655,0.109027507963381,0.998202132298074,0.996569424773703
"Exports Model",125429.872826352,209716.57677285,0.995375060737816,0.98839793927212
"Market Value Model",0.00632049770561116,0.00794161090455443,0.995950701500319,0.99374584786862
"Blue Economy Model",35254.5015849232,6272.74904976879,0.934556942590453,0.978961832887422
"Landings Model",309819.826512402,731400.910548789,0.931041745694539,0.256672662555938
"Consumption Model",0.0945447553526655,0.109027507963381,0.998202132298074,0.996569424773703
"Exports Model",125429.872826352,209716.57677285,0.995375060737816,0.98839793927212
"Market Value Model",0.00632049770561116,0.00794161090455443,0.995950701500319,0.99374584786862
"Blue Economy Model",38472.0947630861,17923.090077008,0.93144651147468,0.834828698370216
"Landings Model",309819.826512402,731400.910548789,0.931041745694539,0.256672662555938
"Consumption Model",0.0945447553526655,0.109027507963381,0.998202132298074,0.996569424773703
"Exports Model",81646.0906634803,68693.7170776221,0.997769922186075,0.999639070550478
"Market Value Model",0.00579447860605613,0.00654689311916794,0.996282969504635,0.995736562176371
"Blue Economy Model",36138.5797073268,4502.08251039994,0.931075856033756,0.991165298270589
"Landings Model",309819.826512402,731400.910548789,0.931041745694539,0.256672662555938
"Consumption Model",0.0945447553526655,0.109027507963381,0.998202132298074,0.996569424773703
"Exports Model",81646.0906634803,68693.7170776221,0.997769922186075,0.999639070550478
"Market Value Model",0.00621677572537072,0.00701816784408332,0.995779563258059,0.995386642282971
"Blue Economy Model",31494.1921429541,10163.6324699976,0.947850808732088,0.969051507026092
"Landings Model",309819.826512402,731400.910548789,0.931041745694539,0.256672662555938
"Consumption Model",0.0945447553526655,0.109027507963381,0.998202132298074,0.996569424773703
"Exports Model",81646.0906634803,68693.7170776221,0.997769922186075,0.999639070550478
"Market Value Model",0.00670359408835151,0.00678402912976078,0.995183332184447,0.995371265071407
"Blue Economy Model",31993.1561342054,4783.47832783452,0.945401390175394,0.993257479359245
"Landings Model",309819.826512402,731400.910548789,0.931041745694539,0.256672662555938
"Consumption Model",0.0945447553526655,0.109027507963381,0.998202132298074,0.996569424773703
"Exports Model",81646.0906634803,68693.7170776221,0.997769922186075,0.999639070550478
"Market Value Model",0.00909654031508433,0.00924231852956527,0.991467931436114,0.992377719900827
"Blue Economy Model",33414.1585843046,31900.2067058649,0.919498372302459,0.963691588550013
"Landings Model",332328.181401175,595992.778501429,0.902707252959094,0.65210355494707
"Consumption Model",0.0897872073999735,0.111493676119047,0.998090204612239,0.998804977372182
"Exports Model",92410.8518826113,105467.275674064,0.9975503852133,0.99665989059183
"Market Value Model",0.00935266415612114,0.00918898930095978,0.991515035416693,0.990058360466423
"Blue Economy Model",34548.7749624406,7716.22434650374,0.947107850236186,0.968264472964695
"Landings Model",332328.181401175,595992.778501429,0.902707252959094,0.65210355494707
"Consumption Model",0.0897872073999735,0.111493676119047,0.998090204612239,0.998804977372182
"Exports Model",92410.8518826113,105467.275674064,0.9975503852133,0.99665989059183
"Market Value Model",0.0064178398154906,0.00734530825498378,0.995814467228563,0.993380320249248
"Blue Economy Model",20317.5066627381,47935.492175916,0.944368540338771,0.951135699916304
"Landings Model",332328.181401175,595992.778501429,0.902707252959094,0.65210355494707
"Consumption Model",0.0897872073999735,0.111493676119047,0.998090204612239,0.998804977372182
"Exports Model",92410.8518826113,105467.275674064,0.9975503852133,0.99665989059183
"Market Value Model",0.0064178398154906,0.00734530825498378,0.995814467228563,0.993380320249248
"Blue Economy Model",23191.2332414173,54519.286280535,0.940633156034164,0.913229053085591
"Landings Model",332328.181401175,595992.778501429,0.902707252959094,0.65210355494707
"Consumption Model",0.0897872073999735,0.111493676119047,0.998090204612239,0.998804977372182
"Exports Model",92410.8518826113,105467.275674064,0.9975503852133,0.99665989059183
"Market Value Model",0.0064178398154906,0.00734530825498378,0.995814467228563,0.993380320249248
"Blue Economy Model",20137.534577619,49281.1872254038,0.954289801614201,0.923878589058046
"Landings Model",332328.181401175,595992.778501429,0.902707252959094,0.65210355494707
"Consumption Model",0.0897872073999735,0.111493676119047,0.998090204612239,0.998804977372182
"Exports Model",92410.8518826113,105467.275674064,0.9975503852133,0.99665989059183
"Market Value Model",0.00669153583714333,0.00715602545934439,0.995584340698791,0.99379890904974
"Blue Economy Model",40756.323886854,7869.84941333942,0.926131676906611,0.993137816764684
