"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",70942.5117705042,146529.73265142,0.921499397420951,0.359631404273104
"Consumption Model",0.16505216584823,0.189712343731059,0.994175489304549,0.996213852600424
"Exports Model",98472.5455928268,248821.013441046,0.996025471703293,0.971228974607106
"Landings Model",70942.5117705042,146529.73265142,0.921499397420951,0.359631404273104
"Consumption Model",0.16505216584823,0.189712343731059,0.994175489304549,0.996213852600424
"Exports Model",98472.5455928268,248821.013441046,0.996025471703293,0.971228974607106
"Market Value Model",0.0093747375431028,0.0110214576655181,0.985742973869182,0.98020340136869
"Landings Model",70942.5117705042,146529.73265142,0.921499397420951,0.359631404273104
"Consumption Model",0.16505216584823,0.189712343731059,0.994175489304549,0.996213852600424
"Exports Model",98472.5455928268,248821.013441046,0.996025471703293,0.971228974607106
"Market Value Model",0.0093747375431028,0.0110214576655181,0.985742973869182,0.98020340136869
"Landings Model",70942.5117705042,146529.73265142,0.921499397420951,0.359631404273104
"Consumption Model",0.16505216584823,0.189712343731059,0.994175489304549,0.996213852600424
"Exports Model",98472.5455928268,248821.013441046,0.996025471703293,0.971228974607106
"Market Value Model",0.0093747375431028,0.0110214576655181,0.985742973869182,0.98020340136869
"Blue Economy Model",11660.2271656914,6502.08340371151,0.972077396294797,0.986920779640786
"Landings Model",70942.5117705042,146529.73265142,0.921499397420951,0.359631404273104
"Consumption Model",0.16505216584823,0.189712343731059,0.994175489304549,0.996213852600424
"Exports Model",98472.5455928268,248821.013441046,0.996025471703293,0.971228974607106
"Market Value Model",0.0093747375431028,0.0110214576655181,0.985742973869182,0.98020340136869
"Blue Economy Model",11361.4655094713,6965.91032407273,0.970998232869702,0.985517950970373
"Landings Model",73519.0416443134,146883.511727285,0.920675818610978,0.427604869317432
"Consumption Model",0.144391865089114,0.260998518540475,0.995643073950358,0.990526301734949
"Exports Model",140574.278824095,96331.7768194664,0.990479145286078,0.996201468382732
"Market Value Model",0.00993626751234755,0.00738169470417635,0.984493965730007,0.989722559878491
"Blue Economy Model",11879.7101689547,5866.19791029904,0.969773170458567,0.955264061521953
"Landings Model",73519.0416443134,146883.511727285,0.920675818610978,0.427604869317432
"Consumption Model",0.144391865089114,0.260998518540475,0.995643073950358,0.990526301734949
"Exports Model",140574.278824095,96331.7768194664,0.990479145286078,0.996201468382732
"Market Value Model",0.00993626751234755,0.00738169470417635,0.984493965730007,0.989722559878491
"Blue Economy Model",12055.4654300836,4447.13738284785,0.972664232757087,0.978492073651967
"Landings Model",73519.0416443134,146883.511727285,0.920675818610978,0.427604869317432
"Consumption Model",0.144391865089114,0.260998518540475,0.995643073950358,0.990526301734949
"Exports Model",71877.2419777061,171113.163988746,0.997277725161628,0.989083649880521
"Market Value Model",0.0086493299513389,0.00388692635733774,0.987145143125907,0.997753737620941
"Blue Economy Model",10958.1795679524,4012.62028937578,0.973506159456696,0.971707787527112
"Landings Model",73519.0416443134,146883.511727285,0.920675818610978,0.427604869317432
"Consumption Model",0.144391865089114,0.260998518540475,0.995643073950358,0.990526301734949
"Exports Model",71877.2419777061,171113.163988746,0.997277725161628,0.989083649880521
"Market Value Model",0.00952569984097363,0.00296662792819176,0.985422842303476,0.998961212060112
"Blue Economy Model",10896.1213614044,2983.78476612438,0.973421821884414,0.998691165273927
"Landings Model",73519.0416443134,146883.511727285,0.920675818610978,0.427604869317432
"Consumption Model",0.144391865089114,0.260998518540475,0.995643073950358,0.990526301734949
"Exports Model",71877.2419777061,171113.163988746,0.997277725161628,0.989083649880521
"Market Value Model",0.00962198486439356,0.00429053466765972,0.984735255144514,0.997097158623892
"Blue Economy Model",10733.9545123656,5147.42773311552,0.9762087752207,0.983132491554704
"Landings Model",73519.0416443134,146883.511727285,0.920675818610978,0.427604869317432
"Consumption Model",0.144391865089114,0.260998518540475,0.995643073950358,0.990526301734949
"Exports Model",71877.2419777061,171113.163988746,0.997277725161628,0.989083649880521
"Market Value Model",0.0140289510588673,0.00722526084921906,0.968923909367921,0.99107718960091
"Blue Economy Model",10505.4959970096,6354.21455288023,0.973060668833416,0.994777960512457
"Landings Model",82662.4308515722,130289.362822075,0.905400188654051,0.537910876954114
"Consumption Model",0.161555150585114,0.197887102342757,0.994644776409152,0.99424147220064
"Exports Model",121973.618377461,43451.0687210188,0.993156009962832,0.998743738146111
