"Species","Year","Total_Contribution","Percent_Change"
"Alewife",2020,3148845.09333333,NA
"Alewife",2021,2883726.95893333,-8.41953562470578
"Alewife",2022,2796507.77493333,-3.02452989627914
"Alewife",2023,2796507.77493333,0
"Alewife",2024,2798966.58493333,0.0879243040924023
"Alewife",2025,2803884.20493333,0.175694130343352
"Alewife",2026,2798966.58493333,-0.175385987457944
"Alewife",2027,2796507.77493333,-0.0878470651716845
"Alewife",2028,2803884.20493333,0.26377291227719
"Alewife",2029,2891103.38893333,3.11065570562939
"Alewife",2030,3145384.51093333,8.79529673595717
"Alewife",2031,3060624.13693333,-2.69475397063136
"Alewife",2032,3060624.13693333,0
"Alewife",2033,3060624.13693333,0
"Alewife",2034,2975863.76293333,-2.76938200209478
"Alewife",2035,3060624.13693333,2.84826123614111
"Alewife",2036,3060624.13693333,0
"Alewife",2037,3145391.64853333,2.76961520943028
"Alewife",2038,3061489.28253333,-2.66746959918722
"Alewife",2039,3146249.65653333,2.76859940302853
"Alewife",2040,3146249.65653333,0
"Bloodworms",2020,14092516.2228,NA
"Bloodworms",2021,14092516.2228,0
"Bloodworms",2022,14092516.2228,0
"Bloodworms",2023,14090753.4956,-0.0125082502807251
"Bloodworms",2024,14381420.2992,2.06281944887308
"Bloodworms",2025,14477721.658,0.669623422419249
"Bloodworms",2026,14381420.2992,-0.66516929303435
"Bloodworms",2027,14477721.658,0.669623422419249
"Bloodworms",2028,14477721.658,0
"Bloodworms",2029,14477721.658,0
"Bloodworms",2030,14477721.658,0
"Bloodworms",2031,14477721.658,0
"Bloodworms",2032,14381420.2992,-0.66516929303435
"Bloodworms",2033,14379657.572,-0.0122569757598815
"Bloodworms",2034,14381420.2992,0.0122584782785926
"Bloodworms",2035,14285118.9404,-0.669623422419249
"Bloodworms",2036,14285118.9404,0
"Bloodworms",2037,14188817.5816,-0.674137605726543
"Bloodworms",2038,14188817.5816,0
"Bloodworms",2039,14188817.5816,0
"Bloodworms",2040,14188817.5816,0
"Clam_Northern_Quahog___Hard",2020,12547034.574,NA
"Clam_Northern_Quahog___Hard",2021,12547034.574,0
"Clam_Northern_Quahog___Hard",2022,12547034.574,0
"Clam_Northern_Quahog___Hard",2023,12547034.574,0
"Clam_Northern_Quahog___Hard",2024,12547034.574,0
"Clam_Northern_Quahog___Hard",2025,12536023.714,-0.0877566721846462
"Clam_Northern_Quahog___Hard",2026,12514001.994,-0.175667504325213
"Clam_Northern_Quahog___Hard",2027,12514001.994,0
"Clam_Northern_Quahog___Hard",2028,12514001.994,0
"Clam_Northern_Quahog___Hard",2029,12514001.994,0
"Clam_Northern_Quahog___Hard",2030,12514001.994,0
"Clam_Northern_Quahog___Hard",2031,12502991.134,-0.0879883190467662
"Clam_Northern_Quahog___Hard",2032,12502991.134,0
"Clam_Northern_Quahog___Hard",2033,12502991.134,0
"Clam_Northern_Quahog___Hard",2034,12502991.134,0
"Clam_Northern_Quahog___Hard",2035,12502991.134,0
"Clam_Northern_Quahog___Hard",2036,12502991.134,0
"Clam_Northern_Quahog___Hard",2037,12502991.134,0
"Clam_Northern_Quahog___Hard",2038,12502991.134,0
"Clam_Northern_Quahog___Hard",2039,12502991.134,0
"Clam_Northern_Quahog___Hard",2040,12502991.134,0
"Clam_Ocean_Quahog",2020,3679854.3648,NA
"Clam_Ocean_Quahog",2021,3732131.1736,1.42062167731578
"Clam_Ocean_Quahog",2022,3732131.1736,0
"Clam_Ocean_Quahog",2023,3732131.1736,0
"Clam_Ocean_Quahog",2024,3719061.9714,-0.350180676725604
"Clam_Ocean_Quahog",2025,3682576.099,-0.981050401434035
"Clam_Ocean_Quahog",2026,3661881.163,-0.561968997887632
"Clam_Ocean_Quahog",2027,3661881.163,0
"Clam_Ocean_Quahog",2028,3648811.9608,-0.356898588956208
"Clam_Ocean_Quahog",2029,3648811.9608,0
"Clam_Ocean_Quahog",2030,3648811.9608,0
"Clam_Ocean_Quahog",2031,3638464.4928,-0.283584577971269
"Clam_Ocean_Quahog",2032,3648811.9608,0.284391067178917
"Clam_Ocean_Quahog",2033,3648811.9608,0
"Clam_Ocean_Quahog",2034,3648811.9608,0
"Clam_Ocean_Quahog",2035,3672228.631,0.641761495291359
"Clam_Ocean_Quahog",2036,3672228.631,0
"Clam_Ocean_Quahog",2037,3682576.099,0.281776246518238
"Clam_Ocean_Quahog",2038,3682576.099,0
"Clam_Ocean_Quahog",2039,3682576.099,0
"Clam_Ocean_Quahog",2040,3695645.3012,0.354892929532376
"Clam_Soft",2020,79460580.384,NA
"Clam_Soft",2021,78737125.3776,-0.910457742573546
"Clam_Soft",2022,78737125.3776,0
"Clam_Soft",2023,79092855.2966667,0.451794394779765
"Clam_Soft",2024,79095542.2890667,0.00339726311550141
"Clam_Soft",2025,79090168.3042667,-0.0067942954109297
"Clam_Soft",2026,79110051.3696,0.0251397433582389
"Clam_Soft",2027,79110051.3696,0
"Clam_Soft",2028,79107364.3772,-0.00339652465580765
"Clam_Soft",2029,79107364.3772,0
"Clam_Soft",2030,79107364.3772,0
"Clam_Soft",2031,79107364.3772,0
"Clam_Soft",2032,79107364.3772,0
"Clam_Soft",2033,79107364.3772,0
"Clam_Soft",2034,79110051.3696,0.00339664002352351
"Clam_Soft",2035,79098375.0352,-0.0147596091746252
"Clam_Soft",2036,79084882.6812,-0.0170576879664062
"Clam_Soft",2037,79080396.3512,-0.00567280350919683
"Clam_Soft",2038,79086540.3912,0.00776935913763718
"Clam_Soft",2039,78534172.6573,-0.698434564424894
"Clam_Soft",2040,77981599.7251,-0.703608268226451
"Cod_Atlantic",2020,8145166.89466668,NA
"Cod_Atlantic",2021,8145166.89466668,0
"Cod_Atlantic",2022,8145166.89466668,0
"Cod_Atlantic",2023,8145166.89466668,0
"Cod_Atlantic",2024,8145166.89466668,0
"Cod_Atlantic",2025,8153234.99086668,0.0990537861818696
"Cod_Atlantic",2026,8153234.99086668,0
"Cod_Atlantic",2027,8161303.08706668,0.0989557667482716
"Cod_Atlantic",2028,8169371.18326668,0.09885794111465
"Cod_Atlantic",2029,8169371.18326668,0
"Cod_Atlantic",2030,8169371.18326668,0
"Cod_Atlantic",2031,8169371.18326668,0
"Cod_Atlantic",2032,8169371.18326668,0
"Cod_Atlantic",2033,8169371.18326668,0
"Cod_Atlantic",2034,8169371.18326668,0
"Cod_Atlantic",2035,8190897.19160001,0.26349651460838
"Cod_Atlantic",2036,8217813.01586667,0.328606545010281
"Cod_Atlantic",2037,8217813.01586667,0
"Cod_Atlantic",2038,8217813.01586667,0
"Cod_Atlantic",2039,8217813.01586667,0
"Cod_Atlantic",2040,8217813.01586667,0
"Crab_Unc",2020,5651779.24704688,NA
"Crab_Unc",2021,5651779.24704688,0
"Crab_Unc",2022,5651779.24704688,0
"Crab_Unc",2023,5651779.24704688,0
"Crab_Unc",2024,5651779.24704688,0
"Crab_Unc",2025,5651779.24704688,0
"Crab_Unc",2026,5651779.24704688,0
"Crab_Unc",2027,5913427.41635368,4.62948317458637
"Crab_Unc",2028,5923276.84973582,0.166560484954998
"Crab_Unc",2029,5913427.41635368,-0.166283522313831
"Crab_Unc",2030,5878163.00372808,-0.596344727730577
"Crab_Unc",2031,5923276.84973582,0.767482051435589
"Crab_Unc",2032,5848089.64851014,-1.26935146090689
"Crab_Unc",2033,5825795.25304203,-0.381225268559093
"Crab_Unc",2034,5778087.11427145,-0.818912040303317
"Crab_Unc",2035,5778087.11427145,0
"Crab_Unc",2036,5764878.23671881,-0.228602949235825
"Crab_Unc",2037,5754285.10079951,-0.183752986348055
"Crab_Unc",2038,5756050.66133284,0.0306825348831697
"Crab_Unc",2039,5756055.07949951,7.6756910770377e-05
"Crab_Unc",2040,5892124.26684417,2.36393129435605
"Cucumber_Sea",2020,952643.832533332,NA
"Cucumber_Sea",2021,952643.832533332,0
"Cucumber_Sea",2022,952643.832533332,0
"Cucumber_Sea",2023,952643.832533332,0
"Cucumber_Sea",2024,952643.832533332,0
"Cucumber_Sea",2025,952643.832533332,0
"Cucumber_Sea",2026,952643.832533332,0
"Cucumber_Sea",2027,950509.745199999,-0.224017335803023
"Cucumber_Sea",2028,949835.667866666,-0.0709174563161513
"Cucumber_Sea",2029,949835.667866666,0
"Cucumber_Sea",2030,947027.5032,-0.295647422145476
"Cucumber_Sea",2031,947027.5032,0
"Cucumber_Sea",2032,944219.338533334,-0.296524087967593
"Cucumber_Sea",2033,944219.338533334,0
"Cucumber_Sea",2034,944219.338533334,0
"Cucumber_Sea",2035,957173.165333334,1.37190865208516
"Cucumber_Sea",2036,957173.165333334,0
"Cucumber_Sea",2037,957173.165333334,0
"Cucumber_Sea",2038,957173.165333334,0
"Cucumber_Sea",2039,957173.165333334,0
"Cucumber_Sea",2040,970126.992133334,1.35334203560637
"Cusk",2020,469123.83,NA
"Cusk",2021,469123.83,0
"Cusk",2022,469123.83,0
"Cusk",2023,469123.83,0
"Cusk",2024,469123.83,0
"Cusk",2025,470496.461666667,0.292594743410712
"Cusk",2026,470496.461666667,0
"Cusk",2027,469324.093333334,-0.249176865045924
"Cusk",2028,469424.225000001,0.0213352921977276
"Cusk",2029,471969.225000001,0.542153528612631
"Cusk",2030,476493.808000001,0.958660599110032
"Cusk",2031,476493.808000001,0
"Cusk",2032,478119.849500001,0.341251338989066
"Cusk",2033,477775.321500001,-0.0720589200302571
"Cusk",2034,480084.938666668,0.48341072942315
"Cusk",2035,480084.938666668,0
"Cusk",2036,480084.938666668,0
"Cusk",2037,480084.938666668,0
"Cusk",2038,480084.938666668,0
"Cusk",2039,480084.938666668,0
"Cusk",2040,482820.586466668,0.569825791160561
"Elver",2020,36612535.8634667,NA
"Elver",2021,36612535.8634667,0
"Elver",2022,37026312.7443667,1.13015083807091
"Elver",2023,37164238.3713333,0.372507054426172
"Elver",2024,37106865.4988333,-0.154376559333063
