"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test","Species"
"Consumption Model",0.0632931118573458,0.0027674661727206,0.991779304318445,0.999983226093295,"Rockweed"
"Consumption Model",0.104408431008624,0.0221872765907547,0.995164282532513,0.999860018469418,"Oysters"
"Consumption Model",0.117210998360039,0.035301061898548,0.99830624291468,0.999860004855682,"Cusk"
"Consumption Model",0.0818183646294614,0.0357517033887233,0.999032958950365,0.999817279239168,"Redfish_Acadian_Ocean_Perch"
"Consumption Model",0.107934347618636,0.0414865164785585,0.998584182319268,0.999802208435134,"Cusk"
"Consumption Model",0.122999374238736,0.044129341036473,0.997864170731205,0.99973531809665,"Halibut_Atlantic"
"Consumption Model",0.07443907241612,0.0486189246849401,0.998884020025816,0.999698283944133,"Mackerel_Atlantic"
"Consumption Model",0.121538651892131,0.0440303402789881,0.997443038418432,0.999656087646965,"Shrimp_Northern"
"Consumption Model",0.114222115256095,0.0470064507178532,0.997169438340731,0.999633228720521,"Bloodworms"
"Consumption Model",0.156264670086729,0.0790464557039841,0.997253157069826,0.999572987440833,"Flounder_Yellowtail"
"Exports Model",117298.914274302,23667.5587668332,0.995141431003502,0.999924891339638,"Mackerel_Atlantic"
"Exports Model",49592.7851813563,9154.87184457532,0.995981478547615,0.999834843022968,"Rockweed"
"Exports Model",102367.88142156,29546.8876164914,0.997130395073239,0.99981517637708,"Hake_White"
"Exports Model",88514.211376634,30959.7654386271,0.996700933034991,0.999693690681449,"Sea_Urchins_Green"
"Exports Model",121711.030701508,34145.9814114321,0.995711172906182,0.999689609823764,"Mussel_Blue_Sea"
"Exports Model",94468.3143480638,34854.4310773788,0.997584130063956,0.999599074723388,"Cod_Atlantic"
"Exports Model",94255.7308954305,41638.7749704382,0.997422015056613,0.999588712811386,"Alewife"
"Exports Model",80416.4142575984,44305.3637800434,0.998024925925282,0.999558277928292,"Lobster_American"
"Exports Model",131233.15769315,49478.8160029042,0.993979209766643,0.999419095327568,"Flounder_Winter"
"Exports Model",123161.653520249,57584.0767326253,0.993428764205743,0.999289256233527,"Yellow_Eel"
"Landings Model",2037172.45032373,4330750.70583351,0.997946212358589,0.993580816903018,"Lobster_American"
"Landings Model",471250.015122543,676878.955771328,0.995550907693522,0.991892277754255,"Seaweed_Unc"
"Landings Model",161170.951489486,571548.127321041,0.999195149501389,0.988771627254826,"Rockweed"
"Landings Model",618290.71264521,481809.172104426,0.97123560554122,0.983548550359287,"Cod_Atlantic"
"Landings Model",81580.3761713655,93701.6665784314,0.984090595419151,0.981567202628209,"Clam_Northern_Quahog___Hard"
"Landings Model",1600146.31838052,2972736.78543287,0.99510210598606,0.980681979906865,"Redfish_Acadian_Ocean_Perch"
"Landings Model",1418157.55575707,1268374.87539357,0.983105995792177,0.976405081506837,"Salmon_Atlantic"
"Landings Model",1265376.39997339,1492854.48239559,0.979112640099023,0.955508475449618,"Mussel_Blue_Sea"
"Landings Model",115369.718966028,86140.2935390813,0.95840051039953,0.943207637812361,"Periwinkles_Atlantic__Cockles_"
"Landings Model",254347.901805093,1007541.80002845,0.994662006564426,0.935244429853983,"Monkfish"
"Market Value Model",0.000175138282095334,1.08712534837158e-05,0.999436650590079,0.999998133658881,"Rockweed"
"Market Value Model",0.0234122822412187,0.00233487950119069,0.984400143605268,0.999896127316211,"Monkfish"
"Market Value Model",0.00492526243720679,0.00291681044529768,0.998866808168498,0.99974620118414,"Menhaden_Atlantic"
"Market Value Model",0.0360251215771683,0.0209452061711698,0.998596605535967,0.999481974418027,"Cod_Atlantic"
"Market Value Model",0.025339671756456,0.0143660091295946,0.99735863135757,0.999418134883112,"Scallop_Sea"
"Market Value Model",0.0232821747029242,0.016258542570374,0.997996171201062,0.999366544875811,"Hake_White"
"Market Value Model",0.00301045992384126,0.00303130503066567,0.999075889832186,0.999354605529499,"Herring_Atlantic"
"Market Value Model",0.000164903960642833,0.000230748909913062,0.999448034235343,0.999340315588327,"Rockweed"
"Market Value Model",0.0475204831767399,0.0228287842921745,0.994748670441516,0.999324926838277,"Flounder_Winter"
"Market Value Model",0.0251953000216021,0.0272862554692205,0.998914923612409,0.99929887209265,"Plaice_American__Dab_"
