"Scenario","Species","Total_Landings_kg"
"Baseline","Lobster_American",2092538242.35828
"Baseline","Herring_Atlantic",853549780.773667
"Baseline","Rockweed",339525041.26105
"Baseline","Seaweed_Unc",331410291.20825
"Baseline","Salmon_Atlantic",304680775.341583
"Extreme_Climate","Lobster_American",2068065611.35898
"Extreme_Climate","Herring_Atlantic",804923693.92505
"Extreme_Climate","Rockweed",334860156.26545
"Extreme_Climate","Seaweed_Unc",322214596.949466
"Extreme_Climate","Salmon_Atlantic",314728006.922117
"Low_Climate","Lobster_American",2075841056.22185
"Low_Climate","Herring_Atlantic",812785258.213434
"Low_Climate","Rockweed",337515777.02585
"Low_Climate","Seaweed_Unc",326472088.723433
"Low_Climate","Salmon_Atlantic",309156561.215567
"Moderate_Climate","Lobster_American",2069964180.54585
"Moderate_Climate","Herring_Atlantic",804711178.908017
"Moderate_Climate","Rockweed",335973018.53225
"Moderate_Climate","Seaweed_Unc",323342545.807716
"Moderate_Climate","Salmon_Atlantic",310598407.941117
