"Species","Total_Economic_Contribution"
"Lobster_American",29800136147.563
"Salmon_Atlantic",4449064154.00107
"Clam_Soft",1659053704.2424
"Elver",776525289.035233
"Scallop_Sea",626346378.558167
"Oysters",571885100.356
"Sea_Urchins_Green",490793943.558
"Shrimp_Northern",367295947.4516
"Menhaden_Atlantic",363880179.6698
"Bloodworms",300465479.088
"Clam_Northern_Quahog___Hard",262871117.894
"Mussel_Blue_Sea",242537181.6444
"Plaice_American__Dab_",227961564.7512
"Pollock",202751694.8624
"Cod_Atlantic",171659168.095934
"Flounder_Atlantic_Witch__Gray_Sole_",130027400.809267
"Crab_Unc",121267478.740525
"Hake_White",114290205.3053
"Sandworms",91459043.7122462
"Monkfish",82607065.8305
"Clam_Ocean_Quahog",77220815.3998
"Haddock",77220009.9508
"Alewife",62442649.5484
"Seaweed_Unc",62012217.2176
"Periwinkles_Atlantic__Cockles_",59378423.09
"Redfish_Acadian_Ocean_Perch",49778751.5004667
"Rockweed",48594374.64
"Flounder_Winter",33335897.5133334
"Cucumber_Sea",20001393.7494667
"Halibut_Atlantic",17794864.0183
"Flounder_Yellowtail",13374001.8010667
"Mackerel_Atlantic",12502236.834
"Cusk",9969542.62213335
"Wolffish_Atlantic",6165734.0476
"Shark_Dogfish",5225603.34586666
"Hake_Silver__Whiting_",4978863.02
"Yellow_Eel",1818019.814
"Skates",597594.2464
