"Year","Species","Annual_Contribution"
2020,"Lobster_American",1522196230.792
2020,"Salmon_Atlantic",210237621.2012
2020,"Clam_Soft",79460580.384
2020,"Elver",36612535.8634667
2020,"Scallop_Sea",29807569.0701333
2020,"Oysters",27669949.408
2020,"Sea_Urchins_Green",23257059.816
2020,"Menhaden_Atlantic",17458926.0408
2020,"Shrimp_Northern",17011898.8713333
2020,"Bloodworms",14092516.2228
2020,"Clam_Northern_Quahog___Hard",12547034.574
2020,"Mussel_Blue_Sea",11548871.6144
2020,"Plaice_American__Dab_",10830466.7201333
2020,"Pollock",9654550.964
2020,"Cod_Atlantic",8145166.89466668
2020,"Flounder_Atlantic_Witch__Gray_Sole_",6168192.59426668
2020,"Crab_Unc",5651779.24704688
2020,"Hake_White",5537791.46693332
2020,"Sandworms",4331995.16029744
2020,"Monkfish",4105497.954
2020,"Clam_Ocean_Quahog",3679854.3648
2020,"Alewife",3148845.09333333
2020,"Seaweed_Unc",2989227.50893333
2020,"Periwinkles_Atlantic__Cockles_",2804154.44
2020,"Rockweed",2312026.584
2020,"Redfish_Acadian_Ocean_Perch",2096576.84746667
2020,"Haddock",1720454.4288
2020,"Flounder_Winter",1117839.88533333
2020,"Cucumber_Sea",952643.832533332
2020,"Halibut_Atlantic",847251.845866668
2020,"Flounder_Yellowtail",785641.849333332
2020,"Mackerel_Atlantic",594272.868
2020,"Cusk",469123.83
2020,"Wolffish_Atlantic",292842.852933333
2020,"Hake_Silver__Whiting_",267828.560266667
2020,"Shark_Dogfish",226998.501333333
2020,"Yellow_Eel",68136.912
2020,"Skates",28881.8053333333
2021,"Lobster_American",1522196230.792
2021,"Salmon_Atlantic",210064683.7552
2021,"Clam_Soft",78737125.3776
2021,"Elver",36612535.8634667
2021,"Scallop_Sea",29751233.7077333
2021,"Oysters",25165266.532
2021,"Sea_Urchins_Green",23257059.816
2021,"Menhaden_Atlantic",17371567.7962
2021,"Shrimp_Northern",17011898.8713333
2021,"Bloodworms",14092516.2228
2021,"Clam_Northern_Quahog___Hard",12547034.574
2021,"Mussel_Blue_Sea",11559749.3564
2021,"Plaice_American__Dab_",10857071.0699333
2021,"Pollock",9660675.5824
2021,"Cod_Atlantic",8145166.89466668
2021,"Flounder_Atlantic_Witch__Gray_Sole_",6168192.59426668
2021,"Crab_Unc",5651779.24704688
2021,"Hake_White",5537791.46693332
2021,"Sandworms",4353115.68829744
2021,"Monkfish",3827633.358
2021,"Haddock",3807498.736
2021,"Clam_Ocean_Quahog",3732131.1736
2021,"Seaweed_Unc",2989227.50893333
2021,"Alewife",2883726.95893333
2021,"Periwinkles_Atlantic__Cockles_",2804154.44
2021,"Rockweed",2312026.584
2021,"Redfish_Acadian_Ocean_Perch",2146346.3344
2021,"Flounder_Winter",1604741.6232
2021,"Cucumber_Sea",952643.832533332
2021,"Halibut_Atlantic",847251.845866668
2021,"Flounder_Yellowtail",785641.849333332
2021,"Mackerel_Atlantic",594272.868
2021,"Cusk",469123.83
2021,"Wolffish_Atlantic",294481.860933333
2021,"Hake_Silver__Whiting_",267828.560266667
2021,"Shark_Dogfish",240427.523333333
2021,"Yellow_Eel",69394.344
2021,"Skates",28881.8053333333
2022,"Lobster_American",1522739977.252
2022,"Salmon_Atlantic",210007037.939867
2022,"Clam_Soft",78737125.3776
2022,"Elver",37026312.7443667
2022,"Scallop_Sea",29891279.3664
2022,"Oysters",26835055.116
2022,"Sea_Urchins_Green",23306753.988
2022,"Menhaden_Atlantic",17438907.9492
2022,"Shrimp_Northern",17018442.9713333
2022,"Bloodworms",14092516.2228
2022,"Clam_Northern_Quahog___Hard",12547034.574
2022,"Mussel_Blue_Sea",11548871.6144
2022,"Plaice_American__Dab_",10864921.5013333
2022,"Pollock",9654550.964
2022,"Cod_Atlantic",8145166.89466668
2022,"Flounder_Atlantic_Witch__Gray_Sole_",6176576.53660001
2022,"Crab_Unc",5651779.24704688
2022,"Hake_White",5537791.46693332
2022,"Sandworms",4360155.86429744
2022,"Haddock",3755139.688
2022,"Monkfish",3735011.826
2022,"Clam_Ocean_Quahog",3732131.1736
2022,"Seaweed_Unc",2989227.50893333
2022,"Periwinkles_Atlantic__Cockles_",2804154.44
2022,"Alewife",2796507.77493333
2022,"Rockweed",2312026.584
2022,"Redfish_Acadian_Ocean_Perch",2146346.3344
2022,"Flounder_Winter",1618382.47386667
2022,"Cucumber_Sea",952643.832533332
2022,"Halibut_Atlantic",847251.845866668
2022,"Flounder_Yellowtail",621195.6896
2022,"Mackerel_Atlantic",597667.858
2022,"Cusk",469123.83
2022,"Wolffish_Atlantic",292842.852933333
2022,"Hake_Silver__Whiting_",267828.560266667
2022,"Shark_Dogfish",240220.457333333
2022,"Yellow_Eel",69391.336
2022,"Skates",28881.8053333333
2023,"Lobster_American",1490390205.765
2023,"Salmon_Atlantic",210007037.939867
2023,"Clam_Soft",79092855.2966667
2023,"Elver",37164238.3713333
2023,"Scallop_Sea",29826502.5716
2023,"Oysters",27669949.408
2023,"Sea_Urchins_Green",23306753.988
2023,"Menhaden_Atlantic",17371567.7962
2023,"Shrimp_Northern",17183307.3385333
