"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test"
"Landings Model",7919.91416483716,8617.84681179093,0.932618977687194,0.715441613433305
"Consumption Model",0.114111169044303,0.0686966161865434,0.997257529668431,0.998872006119232
"Exports Model",98565.1200636723,88944.7936208501,0.995955179159887,0.99768874394886
"Landings Model",7919.91416483716,8617.84681179093,0.932618977687194,0.715441613433305
"Consumption Model",0.114111169044303,0.0686966161865434,0.997257529668431,0.998872006119232
"Exports Model",98565.1200636723,88944.7936208501,0.995955179159887,0.99768874394886
"Market Value Model",0.102326304074143,0.124028068073979,0.991674817994053,0.978351419017098
"Landings Model",7919.91416483716,8617.84681179093,0.932618977687194,0.715441613433305
"Consumption Model",0.114111169044303,0.0686966161865434,0.997257529668431,0.998872006119232
"Exports Model",98565.1200636723,88944.7936208501,0.995955179159887,0.99768874394886
"Market Value Model",0.102326304074143,0.124028068073979,0.991674817994053,0.978351419017098
"Landings Model",7919.91416483716,8617.84681179093,0.932618977687194,0.715441613433305
"Consumption Model",0.114111169044303,0.0686966161865434,0.997257529668431,0.998872006119232
"Exports Model",98565.1200636723,88944.7936208501,0.995955179159887,0.99768874394886
"Market Value Model",0.102326304074143,0.124028068073979,0.991674817994053,0.978351419017098
"Blue Economy Model",3466.02516613842,4742.83600934555,0.979928337527096,0.967025470281179
"Landings Model",7919.91416483716,8617.84681179093,0.932618977687194,0.715441613433305
"Consumption Model",0.114111169044303,0.0686966161865434,0.997257529668431,0.998872006119232
"Exports Model",98565.1200636723,88944.7936208501,0.995955179159887,0.99768874394886
"Market Value Model",0.102326304074143,0.124028068073979,0.991674817994053,0.978351419017098
"Blue Economy Model",3163.9121830082,3841.02828175426,0.98313648660622,0.978872703580764
"Landings Model",7705.01845068694,8943.11723074441,0.935450720939559,0.681668926293236
"Consumption Model",0.113550021729961,0.0705872326759484,0.996906716979732,0.999218901515756
"Exports Model",96136.4944050243,112636.903882434,0.996338307859223,0.995954132863266
"Market Value Model",0.103727688435195,0.119977090213611,0.990396287708203,0.986527992697491
"Blue Economy Model",3616.81137119719,4689.40343487559,0.977582679461707,0.972501732595535
"Landings Model",7705.01845068694,8943.11723074441,0.935450720939559,0.681668926293236
"Consumption Model",0.113550021729961,0.0705872326759484,0.996906716979732,0.999218901515756
"Exports Model",96136.4944050243,112636.903882434,0.996338307859223,0.995954132863266
"Market Value Model",0.103727688435195,0.119977090213611,0.990396287708203,0.986527992697491
"Blue Economy Model",4385.24727780571,4429.36106583352,0.966858592317392,0.977079311273527
"Landings Model",7705.01845068694,8943.11723074441,0.935450720939559,0.681668926293236
"Consumption Model",0.113550021729961,0.0705872326759484,0.996906716979732,0.999218901515756
"Exports Model",58618.5909891109,71935.3799824959,0.998544948464038,0.998613539867716
"Market Value Model",0.112534105669509,0.0581562069304768,0.987864302056155,0.996607938813775
"Blue Economy Model",4112.46286570218,2235.59517383837,0.975061712890674,0.987837830342699
"Landings Model",7705.01845068694,8943.11723074441,0.935450720939559,0.681668926293236
"Consumption Model",0.113550021729961,0.0705872326759484,0.996906716979732,0.999218901515756
"Exports Model",58618.5909891109,71935.3799824959,0.998544948464038,0.998613539867716
"Market Value Model",0.114598982463466,0.0546778291408839,0.987458463985325,0.996993155294946
"Blue Economy Model",3721.38069401581,1515.6562298079,0.979350830829364,0.994979774467427
"Landings Model",7705.01845068694,8943.11723074441,0.935450720939559,0.681668926293236
"Consumption Model",0.113550021729961,0.0705872326759484,0.996906716979732,0.999218901515756
"Exports Model",58618.5909891109,71935.3799824959,0.998544948464038,0.998613539867716
"Market Value Model",0.112169307658172,0.0840812385670868,0.988309002284764,0.993031748270558
"Blue Economy Model",3710.77225959349,1320.30479981062,0.979456128029048,0.995964317839263
"Landings Model",7705.01845068694,8943.11723074441,0.935450720939559,0.681668926293236
"Consumption Model",0.113550021729961,0.0705872326759484,0.996906716979732,0.999218901515756
"Exports Model",58618.5909891109,71935.3799824959,0.998544948464038,0.998613539867716
"Market Value Model",0.130563190853655,0.10856873041649,0.985141814239281,0.988034547487244
"Blue Economy Model",4438.74391077573,2263.09224269825,0.970896760904226,0.986011546903639
"Landings Model",6183.39525012527,20269.9360888411,0.941425352310838,0.530293557599999
"Consumption Model",0.125156101804227,0.0492080095741684,0.996386467155948,0.999527857336877
"Exports Model",77051.9955802288,74637.7431937332,0.997751158742579,0.998095859832757
"Market Value Model",0.141711672214858,0.07045398427964,0.982547060583165,0.994571872744997
"Blue Economy Model",3138.63910314365,2606.86565310516,0.98521139665963,0.987517233768283
"Landings Model",6183.39525012527,20269.9360888411,0.941425352310838,0.530293557599999
"Consumption Model",0.125156101804227,0.0492080095741684,0.996386467155948,0.999527857336877
"Exports Model",77051.9955802288,74637.7431937332,0.997751158742579,0.998095859832757
"Market Value Model",0.122098842599069,0.0569188237504569,0.986366793091407,0.996429460713511
"Blue Economy Model",3517.12131960361,3354.31433728344,0.980360595582582,0.980140880502511
"Landings Model",6183.39525012527,20269.9360888411,0.941425352310838,0.530293557599999
"Consumption Model",0.125156101804227,0.0492080095741684,0.996386467155948,0.999527857336877
"Exports Model",77051.9955802288,74637.7431937332,0.997751158742579,0.998095859832757
"Market Value Model",0.122098842599069,0.0569188237504569,0.986366793091407,0.996429460713511
"Blue Economy Model",4884.5761132376,4198.20240111637,0.961794815500694,0.97082673020304
"Landings Model",6183.39525012527,20269.9360888411,0.941425352310838,0.530293557599999
"Consumption Model",0.125156101804227,0.0492080095741684,0.996386467155948,0.999527857336877
"Exports Model",77051.9955802288,74637.7431937332,0.997751158742579,0.998095859832757
"Market Value Model",0.122098842599069,0.0569188237504569,0.986366793091407,0.996429460713511
"Blue Economy Model",3484.65028457469,3493.85349927736,0.980987133329022,0.979598393712597
"Landings Model",6183.39525012527,20269.9360888411,0.941425352310838,0.530293557599999
"Consumption Model",0.125156101804227,0.0492080095741684,0.996386467155948,0.999527857336877
"Exports Model",77051.9955802288,74637.7431937332,0.997751158742579,0.998095859832757
"Market Value Model",0.125193396568296,0.0617362678950194,0.985676426396727,0.995794853611113
"Blue Economy Model",3411.36262547718,5449.25223576312,0.97880145769236,0.964024718314249
